PathParameter	MaxPathLikelihood	MLContribution
0.0000	-41086	-0.0094154
2.1544e-07	-41239	-0.085495
2.1715e-06	-41368	-0.27202
8.3895e-06	-41586	-0.59119
2.1888e-05	-41416	-1.0585
4.6050e-05	-41403	-1.6846
8.4561e-05	-41137	-2.4820
0.00014136	-41641	-3.4594
0.00022061	-41405	-4.6299
0.00032669	-41404	-5.9907
0.00046416	-40695	-7.5438
0.00063774	-41170	-9.3147
0.00085232	-40680	-11.259
0.0011130	-40755	-13.418
0.0014248	-40536	-15.823
0.0017932	-40279	-18.378
0.0022237	-39768	-21.085
0.0027216	-38844	-23.949
0.0032929	-38826	-26.956
0.0039432	-38033	-30.201
0.0046784	-38606	-33.553
0.0055047	-37364	-36.723
0.0064280	-36246	-39.384
0.0074546	-35472	-42.756
0.0085909	-33681	-44.999
0.0098431	-32502	-47.075
0.011218	-30920	-49.398
0.012722	-28533	-50.589
0.014361	-28137	-53.099
0.016143	-27564	-55.805
0.018075	-26386	-57.608
0.020162	-25198	-59.963
0.022413	-24163	-61.938
0.024834	-23968	-65.030
0.027432	-23502	-68.454
0.030215	-23156	-71.443
0.033190	-22709	-74.554
0.036364	-22729	-79.192
0.039745	-22276	-82.463
0.043339	-22160	-86.824
0.047156	-22037	-91.211
0.051201	-21961	-95.961
0.055484	-21852	-100.94
0.060011	-21789	-105.76
0.064790	-21799	-111.20
0.069830	-21638	-116.62
0.075138	-21576	-122.30
0.080722	-21500	-127.97
0.086591	-21538	-134.12
0.092751	-21498	-140.29
0.099213	-21405	-146.45
0.10598	-21363	-153.08
0.11307	-21347	-159.75
0.12048	-21360	-166.69
0.12823	-21322	-173.78
0.13631	-21286	-180.97
0.14475	-21248	-188.47
0.15355	-21262	-196.11
0.16271	-21239	-203.85
0.17226	-21221	-211.93
0.18218	-21219	-220.12
0.19250	-21204	-228.53
0.20322	-21199	-237.11
0.21436	-21196	-245.87
0.22591	-21183	-254.82
0.23789	-21172	-263.97
0.25031	-21163	-273.29
0.26318	-21159	-282.83
0.27650	-21149	-292.57
0.29029	-21145	-302.50
0.30455	-21137	-312.60
0.31930	-21129	-322.86
0.33454	-21128	-333.46
0.35028	-21122	-344.16
0.36653	-21099	-355.04
0.38330	-21108	-366.16
0.40060	-21107	-377.42
0.41844	-21107	-388.93
0.43683	-21097	-400.63
0.45578	-21096	-412.60
0.47530	-21089	-424.65
0.49539	-21086	-437.01
0.51608	-21091	-449.52
0.53735	-21087	-462.24
0.55924	-21083	-475.17
0.58174	-21081	-488.30
0.60487	-21079	-501.67
0.62863	-21073	-515.19
0.65304	-21076	-528.96
0.67811	-21072	-542.96
0.70384	-21069	-557.11
0.73025	-21068	-571.52
0.75734	-21066	-586.17
0.78513	-21066	-600.94
0.81363	-21056	-615.99
0.84284	-21061	-631.22
0.87278	-21061	-646.69
0.90345	-21061	-662.37
0.93488	-21057	-678.23
0.96705	-21052	-694.35
1.0000	-21053	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21572.197436874245
