PathParameter	MaxPathLikelihood	MLContribution
0.0000	-50935	-0.011648
2.1544e-07	-50232	-0.10581
2.1715e-06	-51275	-0.33579
8.3895e-06	-50611	-0.72846
2.1888e-05	-51123	-1.3078
4.6050e-05	-50941	-2.0806
8.4561e-05	-51046	-3.0638
0.00014136	-50565	-4.2690
0.00022061	-50630	-5.7044
0.00032669	-50908	-7.3714
0.00046416	-50091	-9.2915
0.00063774	-49981	-11.443
0.00085232	-49404	-13.825
0.0011130	-49396	-16.473
0.0014248	-48684	-19.242
0.0017932	-48951	-22.336
0.0022237	-47831	-25.462
0.0027216	-47263	-28.885
0.0032929	-45590	-32.152
0.0039432	-44976	-35.567
0.0046784	-41180	-37.968
0.0055047	-40859	-41.193
0.0064280	-38989	-43.708
0.0074546	-36833	-45.683
0.0085909	-33980	-45.529
0.0098431	-31768	-46.817
0.011218	-30598	-48.769
0.012722	-28698	-49.852
0.014361	-27080	-51.294
0.016143	-26477	-53.469
0.018075	-25838	-56.591
0.020162	-25119	-59.301
0.022413	-24940	-62.642
0.024834	-24793	-66.385
0.027432	-24551	-70.451
0.030215	-24447	-74.491
0.033190	-24237	-79.019
0.036364	-24102	-83.545
0.039745	-24081	-88.458
0.043339	-23898	-93.328
0.047156	-23948	-98.453
0.051201	-23799	-103.71
0.055484	-23801	-109.32
0.060011	-23742	-115.02
0.064790	-23701	-120.84
0.069830	-23652	-126.97
0.075138	-23629	-133.25
0.080722	-23607	-139.79
0.086591	-23560	-146.50
0.092751	-23538	-153.31
0.099213	-23503	-160.41
0.10598	-23470	-167.71
0.11307	-23469	-175.12
0.12048	-23444	-182.83
0.12823	-23423	-190.68
0.13631	-23414	-198.77
0.14475	-23379	-207.02
0.15355	-23392	-215.44
0.16271	-23375	-224.14
0.17226	-23360	-232.96
0.18218	-23342	-242.02
0.19250	-23342	-251.31
0.20322	-23337	-260.78
0.21436	-23312	-270.52
0.22591	-23324	-280.39
0.23789	-23314	-290.53
0.25031	-23306	-300.84
0.26318	-23302	-311.42
0.27650	-23307	-322.16
0.29029	-23277	-333.08
0.30455	-23281	-344.25
0.31930	-23281	-355.61
0.33454	-23273	-367.18
0.35028	-23279	-379.06
0.36653	-23267	-391.07
0.38330	-23264	-403.31
0.40060	-23258	-415.84
0.41844	-23265	-428.54
0.43683	-23250	-441.43
0.45578	-23254	-454.56
0.47530	-23250	-467.95
0.49539	-23249	-481.50
0.51608	-23241	-495.33
0.53735	-23235	-509.39
0.55924	-23238	-523.65
0.58174	-23238	-538.09
0.60487	-23229	-552.85
0.62863	-23231	-567.78
0.65304	-23228	-582.94
0.67811	-23228	-598.40
0.70384	-23224	-614.01
0.73025	-23222	-629.92
0.75734	-23224	-646.01
0.78513	-23222	-662.37
0.81363	-23222	-678.95
0.84284	-23218	-695.77
0.87278	-23215	-712.83
0.90345	-23215	-730.09
0.93488	-23214	-747.61
0.96705	-23213	-765.42
1.0000	-23211	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23685.13006913724
