PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.1303e+05	-0.026312
2.1544e-07	-1.1460e+05	-0.23925
2.1715e-06	-1.1052e+05	-0.75760
8.3895e-06	-1.1310e+05	-1.6464
2.1888e-05	-1.1190e+05	-2.9424
4.6050e-05	-1.1321e+05	-4.6713
8.4561e-05	-1.1285e+05	-6.8698
0.00014136	-1.1099e+05	-9.5511
0.00022061	-1.1021e+05	-12.678
0.00032669	-1.0801e+05	-16.302
0.00046416	-1.0683e+05	-20.345
0.00063774	-1.0717e+05	-24.718
0.00085232	-1.0174e+05	-29.515
0.0011130	-1.0222e+05	-34.213
0.0014248	-99105	-38.939
0.0017932	-91892	-42.984
0.0022237	-82434	-44.920
0.0027216	-76696	-47.900
0.0032929	-69045	-48.813
0.0039432	-65795	-51.732
0.0046784	-62057	-54.521
0.0055047	-60361	-58.888
0.0064280	-58023	-62.344
0.0074546	-56219	-66.576
0.0085909	-54588	-71.499
0.0098431	-54369	-77.155
0.011218	-53973	-83.446
0.012722	-53252	-89.460
0.014361	-52593	-96.301
0.016143	-52211	-103.11
0.018075	-51837	-110.55
0.020162	-51615	-118.35
0.022413	-51234	-126.42
0.024834	-51170	-134.89
0.027432	-50871	-143.91
0.030215	-50760	-152.91
0.033190	-50501	-162.26
0.036364	-50405	-172.23
0.039745	-50231	-182.60
0.043339	-50119	-193.35
0.047156	-50116	-204.39
0.051201	-49971	-215.86
0.055484	-49975	-227.70
0.060011	-49885	-239.94
0.064790	-49833	-252.57
0.069830	-49762	-265.76
0.075138	-49764	-279.25
0.080722	-49715	-293.09
0.086591	-49651	-307.42
0.092751	-49616	-322.04
0.099213	-49618	-337.18
0.10598	-49543	-352.77
0.11307	-49558	-368.62
0.12048	-49547	-384.96
0.12823	-49523	-401.75
0.13631	-49496	-418.89
0.14475	-49493	-436.53
0.15355	-49497	-454.77
0.16271	-49448	-473.01
0.17226	-49460	-491.91
0.18218	-49396	-511.29
0.19250	-49429	-531.04
0.20322	-49423	-551.27
0.21436	-49411	-571.89
0.22591	-49410	-592.93
0.23789	-49389	-614.51
0.25031	-49385	-636.45
0.26318	-49385	-658.89
0.27650	-49372	-681.83
0.29029	-49356	-705.06
0.30455	-49353	-728.84
0.31930	-49364	-753.06
0.33454	-49358	-777.98
0.35028	-49362	-803.14
0.36653	-49364	-828.80
0.38330	-49361	-854.90
0.40060	-49354	-881.42
0.41844	-49353	-908.44
0.43683	-49354	-935.93
0.45578	-49347	-963.90
0.47530	-49347	-992.32
0.49539	-49341	-1021.2
0.51608	-49345	-1050.7
0.53735	-49332	-1080.5
0.55924	-49330	-1110.9
0.58174	-49333	-1141.7
0.60487	-49328	-1173.0
0.62863	-49331	-1204.8
0.65304	-49326	-1237.1
0.67811	-49326	-1269.9
0.70384	-49326	-1303.2
0.73025	-49318	-1336.9
0.75734	-49318	-1371.2
0.78513	-49314	-1406.0
0.81363	-49315	-1441.3
0.84284	-49309	-1477.1
0.87278	-49310	-1513.4
0.90345	-49303	-1550.1
0.93488	-49310	-1587.4
0.96705	-49310	-1625.2
1.0000	-49308	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -49814.57578364477
