PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37207	-0.080079
2.1544e-07	-37579	-0.12937
2.1715e-06	-37441	-0.31145
8.3895e-06	-37282	-0.60030
2.1888e-05	-37296	-1.0271
4.6050e-05	-37406	-1.5985
8.4561e-05	-37408	-2.3180
0.00014136	-37098	-3.1577
0.00022061	-37152	-4.1904
0.00032669	-37180	-5.3973
0.00046416	-37072	-6.7673
0.00063774	-37104	-8.3492
0.00085232	-36826	-10.091
0.0011130	-37097	-12.029
0.0014248	-36767	-14.163
0.0017932	-36984	-16.498
0.0022237	-36791	-19.022
0.0027216	-36628	-21.774
0.0032929	-36506	-24.622
0.0039432	-36249	-27.753
0.0046784	-36127	-31.033
0.0055047	-35773	-34.507
0.0064280	-35162	-38.030
0.0074546	-34919	-41.679
0.0085909	-34159	-45.222
0.0098431	-33944	-48.960
0.011218	-33063	-52.342
0.012722	-31254	-54.653
0.014361	-29539	-56.283
0.016143	-26687	-55.728
0.018075	-24436	-54.809
0.020162	-23407	-55.880
0.022413	-22855	-58.003
0.024834	-21913	-60.078
0.027432	-21776	-63.061
0.030215	-21309	-65.997
0.033190	-21006	-69.215
0.036364	-21029	-73.088
0.039745	-20875	-76.913
0.043339	-20777	-81.000
0.047156	-20468	-85.194
0.051201	-20402	-89.420
0.055484	-20319	-94.105
0.060011	-20231	-98.634
0.064790	-20148	-103.33
0.069830	-20139	-108.59
0.075138	-20040	-113.60
0.080722	-19984	-119.04
0.086591	-19939	-124.52
0.092751	-19932	-130.19
0.099213	-19842	-136.16
0.10598	-19812	-141.95
0.11307	-19780	-148.08
0.12048	-19720	-154.37
0.12823	-19696	-160.89
0.13631	-19616	-167.43
0.14475	-19641	-174.22
0.15355	-19616	-181.26
0.16271	-19571	-188.36
0.17226	-19578	-195.61
0.18218	-19524	-203.04
0.19250	-19503	-210.69
0.20322	-19469	-218.49
0.21436	-19469	-226.48
0.22591	-19451	-234.47
0.23789	-19444	-242.64
0.25031	-19416	-251.37
0.26318	-19410	-259.90
0.27650	-19397	-268.62
0.29029	-19380	-277.71
0.30455	-19352	-286.80
0.31930	-19340	-296.08
0.33454	-19327	-305.67
0.35028	-19321	-315.38
0.36653	-19324	-325.27
0.38330	-19294	-335.19
0.40060	-19284	-345.47
0.41844	-19280	-355.87
0.43683	-19275	-366.55
0.45578	-19268	-377.20
0.47530	-19267	-388.18
0.49539	-19253	-399.32
0.51608	-19242	-410.67
0.53735	-19235	-422.25
0.55924	-19237	-433.94
0.58174	-19226	-445.79
0.60487	-19225	-457.89
0.62863	-19215	-470.24
0.65304	-19213	-482.58
0.67811	-19203	-495.26
0.70384	-19201	-508.14
0.73025	-19185	-521.28
0.75734	-19190	-534.50
0.78513	-19191	-547.89
0.81363	-19182	-561.50
0.84284	-19176	-575.31
0.87278	-19169	-589.30
0.90345	-19165	-603.56
0.93488	-19107	-617.68
0.96705	-19031	-631.24
1.0000	-18318	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19810.709698271145
