PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36302	-0.21415
2.1544e-07	-36367	-0.13740
2.1715e-06	-36292	-0.36000
8.3895e-06	-36029	-0.67553
2.1888e-05	-36156	-1.2616
4.6050e-05	-36254	-1.8561
8.4561e-05	-35808	-2.3724
0.00014136	-35817	-3.1142
0.00022061	-35721	-4.0815
0.00032669	-35849	-5.2212
0.00046416	-35735	-6.5398
0.00063774	-35735	-8.0321
0.00085232	-35683	-9.7282
0.0011130	-35391	-11.576
0.0014248	-35521	-13.657
0.0017932	-35637	-15.894
0.0022237	-35555	-18.343
0.0027216	-35534	-20.961
0.0032929	-35438	-23.804
0.0039432	-35022	-26.792
0.0046784	-35113	-30.014
0.0055047	-34844	-33.407
0.0064280	-34647	-36.913
0.0074546	-33919	-40.498
0.0085909	-33997	-44.395
0.0098431	-33434	-48.141
0.011218	-32916	-51.814
0.012722	-31838	-55.216
0.014361	-30561	-57.779
0.016143	-28998	-59.127
0.018075	-26857	-59.221
0.020162	-25319	-59.773
0.022413	-23865	-60.697
0.024834	-22211	-61.206
0.027432	-21964	-63.803
0.030215	-21702	-66.724
0.033190	-21142	-70.208
0.036364	-21022	-73.347
0.039745	-20795	-77.197
0.043339	-20678	-80.947
0.047156	-20375	-85.050
0.051201	-20313	-89.086
0.055484	-20272	-93.656
0.060011	-20129	-98.158
0.064790	-19965	-102.98
0.069830	-20061	-108.00
0.075138	-19937	-113.14
0.080722	-19903	-118.44
0.086591	-19779	-123.82
0.092751	-19789	-129.49
0.099213	-19718	-135.26
0.10598	-19659	-141.13
0.11307	-19612	-147.39
0.12048	-19598	-153.50
0.12823	-19546	-159.81
0.13631	-19486	-166.35
0.14475	-19492	-173.05
0.15355	-19407	-179.78
0.16271	-19405	-186.77
0.17226	-19329	-193.75
0.18218	-19277	-200.97
0.19250	-19230	-208.45
0.20322	-19235	-215.89
0.21436	-19139	-223.56
0.22591	-19137	-231.32
0.23789	-19123	-239.22
0.25031	-19091	-247.38
0.26318	-19052	-255.65
0.27650	-19018	-264.06
0.29029	-18972	-272.71
0.30455	-18952	-281.44
0.31930	-18954	-290.32
0.33454	-18922	-299.60
0.35028	-18907	-308.91
0.36653	-18853	-318.31
0.38330	-18862	-328.06
0.40060	-18842	-337.86
0.41844	-18835	-348.05
0.43683	-18813	-358.00
0.45578	-18795	-368.54
0.47530	-18766	-378.97
0.49539	-18776	-389.92
0.51608	-18768	-400.74
0.53735	-18755	-411.87
0.55924	-18757	-423.33
0.58174	-18735	-434.77
0.60487	-18728	-446.33
0.62863	-18724	-458.39
0.65304	-18714	-470.29
0.67811	-18702	-482.47
0.70384	-18695	-494.86
0.73025	-18684	-507.49
0.75734	-18683	-520.33
0.78513	-18668	-533.14
0.81363	-18660	-546.45
0.84284	-18636	-559.59
0.87278	-18632	-573.29
0.90345	-18631	-586.99
0.93488	-18602	-600.79
0.96705	-18458	-612.99
1.0000	4.3905e+10	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19434.946141396696
