PathParameter	MaxPathLikelihood	MLContribution
0.0000	-43957	-0.21274
2.1544e-07	-44121	-0.15329
2.1715e-06	-44597	-0.39846
8.3895e-06	-44661	-0.81451
2.1888e-05	-44412	-1.4219
4.6050e-05	-44614	-2.0876
8.4561e-05	-44423	-2.8957
0.00014136	-44490	-3.8264
0.00022061	-44261	-5.0152
0.00032669	-44408	-6.4399
0.00046416	-43973	-8.0489
0.00063774	-44028	-9.8979
0.00085232	-43110	-11.975
0.0011130	-43349	-14.270
0.0014248	-43355	-16.749
0.0017932	-43299	-19.491
0.0022237	-42849	-22.480
0.0027216	-42468	-25.706
0.0032929	-42399	-29.068
0.0039432	-42490	-32.582
0.0046784	-42114	-36.362
0.0055047	-40746	-40.143
0.0064280	-40709	-43.943
0.0074546	-38979	-47.050
0.0085909	-37426	-50.611
0.0098431	-36539	-53.701
0.011218	-34928	-56.004
0.012722	-32644	-57.130
0.014361	-30005	-57.854
0.016143	-29257	-59.463
0.018075	-27226	-60.375
0.020162	-25971	-62.915
0.022413	-25907	-65.034
0.024834	-24934	-67.487
0.027432	-24675	-70.986
0.030215	-24522	-75.112
0.033190	-24115	-78.521
0.036364	-23938	-82.784
0.039745	-23702	-87.370
0.043339	-23598	-91.961
0.047156	-23495	-96.908
0.051201	-23394	-102.00
0.055484	-23174	-107.31
0.060011	-23206	-112.63
0.064790	-23165	-118.17
0.069830	-23011	-123.96
0.075138	-22836	-129.93
0.080722	-22838	-135.96
0.086591	-22846	-142.36
0.092751	-22719	-148.65
0.099213	-22643	-155.19
0.10598	-22577	-162.02
0.11307	-22544	-168.88
0.12048	-22444	-175.93
0.12823	-22439	-183.14
0.13631	-22309	-190.50
0.14475	-22294	-198.08
0.15355	-22252	-205.87
0.16271	-22229	-213.64
0.17226	-22113	-221.54
0.18218	-22062	-229.91
0.19250	-22023	-238.26
0.20322	-22003	-246.81
0.21436	-21975	-255.58
0.22591	-21889	-264.51
0.23789	-21875	-273.61
0.25031	-21830	-282.91
0.26318	-21853	-292.52
0.27650	-21791	-302.09
0.29029	-21762	-312.19
0.30455	-21720	-322.12
0.31930	-21710	-332.40
0.33454	-21699	-342.94
0.35028	-21657	-353.66
0.36653	-21650	-364.51
0.38330	-21599	-375.67
0.40060	-21597	-386.98
0.41844	-21599	-398.71
0.43683	-21565	-410.30
0.45578	-21566	-422.31
0.47530	-21530	-434.41
0.49539	-21535	-446.80
0.51608	-21527	-459.35
0.53735	-21494	-472.08
0.55924	-21494	-485.10
0.58174	-21468	-498.10
0.60487	-21439	-511.37
0.62863	-21438	-524.97
0.65304	-21415	-538.91
0.67811	-21391	-552.34
0.70384	-21383	-566.47
0.73025	-21369	-580.74
0.75734	-21355	-595.18
0.78513	-21336	-609.75
0.81363	-21321	-624.67
0.84284	-21305	-639.56
0.87278	-21284	-654.67
0.90345	-21246	-670.37
0.93488	-21223	-685.79
0.96705	-21177	-701.18
1.0000	1.9775e+301	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -22210.80074538067
