PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47427	-0.20713
2.1544e-07	-46546	-0.14733
2.1715e-06	-47396	-0.36367
8.3895e-06	-47196	-0.76257
2.1888e-05	-46955	-1.3316
4.6050e-05	-47009	-2.0294
8.4561e-05	-47552	-2.9417
0.00014136	-47116	-4.0235
0.00022061	-47029	-5.3261
0.00032669	-47391	-6.8272
0.00046416	-47261	-8.5601
0.00063774	-47173	-10.517
0.00085232	-46512	-12.710
0.0011130	-46549	-15.196
0.0014248	-46844	-17.870
0.0017932	-46524	-20.794
0.0022237	-46085	-23.998
0.0027216	-46412	-27.382
0.0032929	-46116	-31.120
0.0039432	-45663	-34.911
0.0046784	-45703	-39.119
0.0055047	-45100	-43.343
0.0064280	-44633	-47.715
0.0074546	-43541	-52.173
0.0085909	-43253	-56.543
0.0098431	-41227	-59.923
0.011218	-38970	-63.193
0.012722	-36855	-63.484
0.014361	-34217	-64.724
0.016143	-31715	-64.700
0.018075	-29188	-64.587
0.020162	-27836	-65.869
0.022413	-27245	-69.192
0.024834	-26698	-71.993
0.027432	-26211	-75.673
0.030215	-25730	-79.266
0.033190	-25406	-83.463
0.036364	-25183	-87.674
0.039745	-25136	-92.389
0.043339	-24873	-97.157
0.047156	-24664	-102.14
0.051201	-24548	-107.25
0.055484	-24434	-112.84
0.060011	-24373	-118.41
0.064790	-24334	-124.32
0.069830	-24282	-130.51
0.075138	-24161	-136.66
0.080722	-24164	-143.31
0.086591	-24095	-149.99
0.092751	-24039	-156.86
0.099213	-23976	-163.93
0.10598	-23924	-171.22
0.11307	-23920	-178.82
0.12048	-23854	-186.40
0.12823	-23848	-194.36
0.13631	-23830	-202.37
0.14475	-23770	-210.67
0.15355	-23761	-219.20
0.16271	-23743	-227.84
0.17226	-23687	-236.82
0.18218	-23694	-245.93
0.19250	-23649	-255.13
0.20322	-23653	-264.63
0.21436	-23591	-274.37
0.22591	-23624	-284.29
0.23789	-23611	-294.52
0.25031	-23593	-304.87
0.26318	-23546	-315.28
0.27650	-23549	-326.09
0.29029	-23518	-337.00
0.30455	-23531	-348.26
0.31930	-23522	-359.67
0.33454	-23512	-371.23
0.35028	-23492	-383.01
0.36653	-23473	-395.07
0.38330	-23447	-407.35
0.40060	-23462	-419.84
0.41844	-23442	-432.43
0.43683	-23447	-445.45
0.45578	-23434	-458.51
0.47530	-23406	-471.73
0.49539	-23411	-485.46
0.51608	-23401	-499.30
0.53735	-23394	-513.25
0.55924	-23389	-527.59
0.58174	-23388	-541.89
0.60487	-23367	-556.67
0.62863	-23367	-571.56
0.65304	-23345	-586.70
0.67811	-23344	-602.01
0.70384	-23347	-617.78
0.73025	-23339	-633.62
0.75734	-23324	-649.57
0.78513	-23312	-665.78
0.81363	-23315	-682.42
0.84284	-23297	-699.09
0.87278	-23285	-715.99
0.90345	-23288	-733.23
0.93488	-23254	-750.47
0.96705	-23207	-767.47
1.0000	-20811	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24037.586824778147
