PathParameter	MaxPathLikelihood	MLContribution
0.0000	-46263	-0.010909
2.1544e-07	-46599	-0.098633
2.1715e-06	-46107	-0.31417
8.3895e-06	-46358	-0.68012
2.1888e-05	-46577	-1.2205
4.6050e-05	-46195	-1.9353
8.4561e-05	-46373	-2.8487
0.00014136	-45981	-3.9660
0.00022061	-45948	-5.2764
0.00032669	-45300	-6.8107
0.00046416	-45652	-8.5047
0.00063774	-45386	-10.477
0.00085232	-45077	-12.648
0.0011130	-44628	-14.971
0.0014248	-44375	-17.552
0.0017932	-43395	-20.324
0.0022237	-44020	-23.278
0.0027216	-43595	-26.293
0.0032929	-41425	-29.460
0.0039432	-42346	-32.922
0.0046784	-41406	-36.357
0.0055047	-40062	-39.604
0.0064280	-38456	-42.580
0.0074546	-36450	-45.684
0.0085909	-36236	-49.003
0.0098431	-34534	-50.199
0.011218	-31703	-51.607
0.012722	-30868	-53.552
0.014361	-28327	-54.372
0.016143	-27092	-56.094
0.018075	-25580	-56.919
0.020162	-25423	-59.927
0.022413	-24565	-62.437
0.024834	-24163	-65.259
0.027432	-23536	-68.801
0.030215	-23437	-71.956
0.033190	-22945	-75.539
0.036364	-22971	-79.510
0.039745	-22655	-83.985
0.043339	-22595	-88.230
0.047156	-22410	-92.773
0.051201	-22410	-97.766
0.055484	-22248	-102.67
0.060011	-22120	-107.74
0.064790	-22159	-113.16
0.069830	-22099	-118.78
0.075138	-22019	-124.54
0.080722	-21973	-130.40
0.086591	-21884	-136.63
0.092751	-21898	-142.93
0.099213	-21854	-149.53
0.10598	-21805	-156.11
0.11307	-21826	-163.04
0.12048	-21778	-170.01
0.12823	-21767	-177.40
0.13631	-21765	-184.86
0.14475	-21747	-192.48
0.15355	-21709	-200.26
0.16271	-21728	-208.33
0.17226	-21708	-216.53
0.18218	-21660	-224.88
0.19250	-21676	-233.52
0.20322	-21635	-242.31
0.21436	-21658	-251.23
0.22591	-21624	-260.35
0.23789	-21635	-269.67
0.25031	-21617	-279.27
0.26318	-21605	-288.99
0.27650	-21603	-298.95
0.29029	-21608	-309.07
0.30455	-21587	-319.37
0.31930	-21566	-329.95
0.33454	-21588	-340.72
0.35028	-21586	-351.66
0.36653	-21578	-362.69
0.38330	-21566	-373.98
0.40060	-21562	-385.57
0.41844	-21554	-397.26
0.43683	-21546	-409.28
0.45578	-21553	-421.40
0.47530	-21543	-433.73
0.49539	-21539	-446.33
0.51608	-21533	-459.14
0.53735	-21533	-472.09
0.55924	-21533	-485.27
0.58174	-21523	-498.69
0.60487	-21528	-512.31
0.62863	-21522	-526.15
0.65304	-21520	-540.16
0.67811	-21520	-554.49
0.70384	-21509	-568.90
0.73025	-21516	-583.67
0.75734	-21508	-598.54
0.78513	-21505	-613.70
0.81363	-21505	-629.01
0.84284	-21496	-644.60
0.87278	-21494	-660.33
0.90345	-21478	-676.32
0.93488	-21472	-692.40
0.96705	-21437	-708.59
1.0000	2.5341e+05	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -22051.69366796472
