PathParameter	MaxPathLikelihood	MLContribution
0.0000	-49242	-0.21213
2.1544e-07	-48621	-0.16645
2.1715e-06	-48988	-0.46582
8.3895e-06	-48733	-0.97239
2.1888e-05	-48864	-1.6579
4.6050e-05	-49153	-2.6232
8.4561e-05	-48087	-3.1937
0.00014136	-48053	-4.3282
0.00022061	-48226	-5.4981
0.00032669	-48335	-6.9905
0.00046416	-47893	-8.7335
0.00063774	-47823	-10.759
0.00085232	-47479	-13.005
0.0011130	-47793	-15.514
0.0014248	-47814	-18.250
0.0017932	-46967	-21.274
0.0022237	-47354	-24.544
0.0027216	-47076	-28.029
0.0032929	-45510	-31.676
0.0039432	-45704	-35.619
0.0046784	-44888	-39.429
0.0055047	-43021	-42.519
0.0064280	-41758	-46.404
0.0074546	-39456	-47.985
0.0085909	-38067	-50.735
0.0098431	-37439	-54.065
0.011218	-35742	-57.064
0.012722	-34384	-59.703
0.014361	-34142	-63.531
0.016143	-33353	-67.085
0.018075	-32315	-70.443
0.020162	-32020	-74.665
0.022413	-31589	-78.982
0.024834	-30622	-83.181
0.027432	-30886	-88.293
0.030215	-30462	-93.008
0.033190	-30197	-98.119
0.036364	-29988	-103.74
0.039745	-29854	-109.25
0.043339	-29647	-115.36
0.047156	-29584	-121.67
0.051201	-29318	-127.74
0.055484	-29235	-134.40
0.060011	-29161	-141.34
0.064790	-28973	-148.46
0.069830	-28937	-155.58
0.075138	-28893	-163.13
0.080722	-28780	-170.94
0.086591	-28720	-178.81
0.092751	-28643	-187.09
0.099213	-28576	-195.43
0.10598	-28569	-204.23
0.11307	-28426	-212.81
0.12048	-28450	-222.07
0.12823	-28373	-231.11
0.13631	-28311	-240.65
0.14475	-28268	-250.40
0.15355	-28233	-260.42
0.16271	-28194	-270.78
0.17226	-28114	-281.17
0.18218	-28127	-291.91
0.19250	-28064	-302.79
0.20322	-28015	-313.68
0.21436	-27984	-325.23
0.22591	-27944	-336.91
0.23789	-27907	-348.40
0.25031	-27849	-360.57
0.26318	-27760	-372.69
0.27650	-27822	-385.36
0.29029	-27782	-398.11
0.30455	-27746	-411.00
0.31930	-27713	-424.20
0.33454	-27685	-437.62
0.35028	-27692	-451.64
0.36653	-27642	-465.36
0.38330	-27582	-479.58
0.40060	-27620	-494.25
0.41844	-27591	-508.91
0.43683	-27573	-524.17
0.45578	-27507	-538.85
0.47530	-27525	-554.61
0.49539	-27459	-569.80
0.51608	-27422	-585.31
0.53735	-27360	-600.41
0.55924	-27350	-617.00
0.58174	-27344	-633.94
0.60487	-27333	-651.02
0.62863	-27294	-668.08
0.65304	-27300	-685.67
0.67811	-27294	-703.95
0.70384	-27276	-721.90
0.73025	-27266	-740.26
0.75734	-27242	-759.05
0.78513	-27245	-778.05
0.81363	-27244	-797.30
0.84284	-27233	-816.82
0.87278	-27216	-836.52
0.90345	-27204	-856.75
0.93488	-27175	-876.95
0.96705	-27125	-897.50
1.0000	5.0052e+300	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -28097.41382812799
