PathParameter	MaxPathLikelihood	MLContribution
0.0000	-35794	-0.26262
2.1544e-07	-35829	-0.14416
2.1715e-06	-36352	-0.37457
8.3895e-06	-42901	-0.80718
2.1888e-05	-35910	-1.3573
4.6050e-05	-35664	-2.1334
8.4561e-05	-35318	-2.7524
0.00014136	-35162	-3.8793
0.00022061	-35118	-4.2937
0.00032669	-35194	-5.2085
0.00046416	-35172	-6.4278
0.00063774	-35115	-7.8352
0.00085232	-35251	-9.4962
0.0011130	-35085	-11.327
0.0014248	-35161	-13.342
0.0017932	-35072	-15.566
0.0022237	-34915	-17.939
0.0027216	-34908	-20.527
0.0032929	-34857	-23.304
0.0039432	-34416	-26.281
0.0046784	-34610	-29.489
0.0055047	-34706	-32.835
0.0064280	-34365	-36.438
0.0074546	-34278	-40.173
0.0085909	-33792	-44.068
0.0098431	-33463	-47.958
0.011218	-33385	-52.252
0.012722	-33220	-56.603
0.014361	-33015	-60.981
0.016143	-32566	-64.920
0.018075	-30931	-67.352
0.020162	-28303	-67.580
0.022413	-26131	-66.829
0.024834	-24379	-67.455
0.027432	-23859	-69.740
0.030215	-23312	-71.902
0.033190	-22941	-74.992
0.036364	-22549	-78.950
0.039745	-22173	-82.303
0.043339	-21963	-86.408
0.047156	-21760	-90.096
0.051201	-21605	-94.541
0.055484	-21509	-99.270
0.060011	-21400	-104.13
0.064790	-21220	-108.99
0.069830	-21265	-114.54
0.075138	-21065	-119.63
0.080722	-20996	-125.37
0.086591	-20862	-130.96
0.092751	-20903	-136.75
0.099213	-20818	-142.91
0.10598	-20683	-149.10
0.11307	-20736	-155.62
0.12048	-20727	-162.15
0.12823	-20615	-168.77
0.13631	-20600	-175.65
0.14475	-20530	-182.72
0.15355	-20504	-189.90
0.16271	-20525	-197.37
0.17226	-20392	-204.81
0.18218	-20414	-212.54
0.19250	-20355	-220.30
0.20322	-20349	-228.36
0.21436	-20311	-236.46
0.22591	-20242	-244.62
0.23789	-20208	-253.12
0.25031	-20189	-261.59
0.26318	-20165	-270.48
0.27650	-20066	-279.12
0.29029	-20036	-287.96
0.30455	-20005	-297.35
0.31930	-19973	-306.56
0.33454	-19869	-315.82
0.35028	-19904	-325.53
0.36653	-19774	-334.98
0.38330	-19826	-345.20
0.40060	-19795	-355.25
0.41844	-19760	-365.62
0.43683	-19744	-376.20
0.45578	-19731	-386.92
0.47530	-19690	-397.62
0.49539	-19669	-408.81
0.51608	-19674	-420.17
0.53735	-19630	-431.54
0.55924	-19607	-442.87
0.58174	-19596	-454.94
0.60487	-19574	-466.98
0.62863	-19558	-479.23
0.65304	-19513	-491.47
0.67811	-19518	-504.18
0.70384	-19508	-516.98
0.73025	-19477	-529.82
0.75734	-19466	-542.94
0.78513	-19446	-556.25
0.81363	-19436	-569.79
0.84284	-19416	-583.39
0.87278	-19398	-597.12
0.90345	-19381	-611.14
0.93488	-19315	-625.25
0.96705	-19274	-638.91
1.0000	3.9366e+23	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20399.118663042296
