PathParameter	MaxPathLikelihood	MLContribution
0.0000	-45858	-0.19931
2.1544e-07	-46302	-0.12768
2.1715e-06	-45885	-0.35204
8.3895e-06	-46464	-0.73171
2.1888e-05	-45953	-1.3051
4.6050e-05	-45508	-2.0365
8.4561e-05	-46284	-2.9443
0.00014136	-46154	-4.0387
0.00022061	-45266	-5.3395
0.00032669	-45215	-6.8363
0.00046416	-35325	-7.0479
0.00063774	-35114	-8.1770
0.00085232	-35008	-9.8418
0.0011130	-35008	-11.370
0.0014248	-34906	-13.361
0.0017932	-35026	-15.568
0.0022237	-34619	-17.974
0.0027216	-34424	-20.529
0.0032929	-34659	-23.310
0.0039432	-34681	-26.223
0.0046784	-34471	-29.370
0.0055047	-34505	-32.714
0.0064280	-34321	-36.261
0.0074546	-34008	-39.972
0.0085909	-33733	-43.839
0.0098431	-33401	-47.886
0.011218	-33314	-52.027
0.012722	-32718	-55.896
0.014361	-31525	-59.076
0.016143	-30642	-61.878
0.018075	-30137	-65.101
0.020162	-28341	-67.241
0.022413	-27495	-69.725
0.024834	-25635	-70.308
0.027432	-23968	-69.981
0.030215	-23651	-72.918
0.033190	-22925	-75.643
0.036364	-22534	-78.839
0.039745	-22231	-82.673
0.043339	-22147	-86.679
0.047156	-21931	-90.819
0.051201	-21716	-95.434
0.055484	-21681	-100.13
0.060011	-21546	-104.95
0.064790	-21492	-110.25
0.069830	-21406	-115.35
0.075138	-21300	-120.81
0.080722	-21178	-126.32
0.086591	-21156	-132.18
0.092751	-21093	-138.17
0.099213	-21044	-144.10
0.10598	-20955	-150.36
0.11307	-20887	-156.77
0.12048	-20825	-163.35
0.12823	-20809	-170.00
0.13631	-20729	-176.98
0.14475	-20688	-183.95
0.15355	-20638	-191.11
0.16271	-20568	-198.26
0.17226	-20449	-205.75
0.18218	-20397	-213.13
0.19250	-20377	-220.81
0.20322	-20291	-228.61
0.21436	-20277	-236.58
0.22591	-20198	-244.47
0.23789	-20132	-252.59
0.25031	-20125	-261.09
0.26318	-19997	-269.02
0.27650	-19955	-277.43
0.29029	-19917	-286.34
0.30455	-19841	-294.80
0.31930	-19756	-303.62
0.33454	-19676	-312.70
0.35028	-19637	-321.82
0.36653	-19564	-330.90
0.38330	-19561	-340.86
0.40060	-19542	-350.67
0.41844	-19491	-360.49
0.43683	-19454	-370.80
0.45578	-19446	-381.37
0.47530	-19418	-392.03
0.49539	-19397	-402.81
0.51608	-19346	-413.78
0.53735	-19337	-425.05
0.55924	-19310	-436.40
0.58174	-19285	-448.05
0.60487	-19286	-459.91
0.62863	-19256	-471.92
0.65304	-19255	-484.20
0.67811	-19235	-496.64
0.70384	-19226	-509.32
0.73025	-19190	-522.02
0.75734	-19207	-535.13
0.78513	-19171	-548.20
0.81363	-19174	-561.72
0.84284	-19156	-575.15
0.87278	-19148	-589.25
0.90345	-19119	-602.90
0.93488	-19085	-616.77
0.96705	-18965	-629.90
1.0000	9.0979e+298	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20229.652504347087
