PathParameter	MaxPathLikelihood	MLContribution
0.0000	-44809	-0.20389
2.1544e-07	-44577	-0.15472
2.1715e-06	-45042	-0.36602
8.3895e-06	-44864	-0.75643
2.1888e-05	-44909	-1.2860
4.6050e-05	-44588	-1.9370
8.4561e-05	-44864	-2.7972
0.00014136	-44495	-3.8066
0.00022061	-44642	-5.0332
0.00032669	-44475	-6.4627
0.00046416	-44807	-8.1126
0.00063774	-44688	-9.9931
0.00085232	-44316	-12.055
0.0011130	-43993	-14.405
0.0014248	-44146	-16.934
0.0017932	-44074	-19.723
0.0022237	-44065	-22.770
0.0027216	-43378	-25.953
0.0032929	-43077	-29.429
0.0039432	-43271	-33.168
0.0046784	-43180	-36.917
0.0055047	-41863	-41.079
0.0064280	-41252	-44.729
0.0074546	-40613	-48.825
0.0085909	-39556	-52.296
0.0098431	-38808	-56.316
0.011218	-37184	-59.127
0.012722	-35037	-60.713
0.014361	-32180	-61.460
0.016143	-30977	-63.218
0.018075	-28773	-63.635
0.020162	-26961	-64.082
0.022413	-26842	-67.696
0.024834	-26314	-70.880
0.027432	-25781	-75.062
0.030215	-25825	-78.830
0.033190	-25500	-83.621
0.036364	-25665	-88.496
0.039745	-25422	-93.236
0.043339	-25292	-98.356
0.047156	-25103	-103.67
0.051201	-24967	-109.18
0.055484	-24935	-114.90
0.060011	-24871	-120.57
0.064790	-24761	-126.56
0.069830	-24685	-132.88
0.075138	-24612	-139.27
0.080722	-24520	-145.80
0.086591	-24500	-152.56
0.092751	-24434	-159.57
0.099213	-24355	-166.65
0.10598	-24290	-173.92
0.11307	-24280	-181.56
0.12048	-24238	-189.30
0.12823	-24171	-197.10
0.13631	-24095	-205.13
0.14475	-24061	-213.28
0.15355	-24003	-221.92
0.16271	-23980	-230.47
0.17226	-23920	-239.38
0.18218	-23932	-248.45
0.19250	-23889	-257.73
0.20322	-23852	-267.24
0.21436	-23790	-276.67
0.22591	-23800	-286.69
0.23789	-23750	-296.79
0.25031	-23732	-306.97
0.26318	-23700	-317.50
0.27650	-23685	-328.31
0.29029	-23673	-339.15
0.30455	-23652	-350.28
0.31930	-23625	-361.64
0.33454	-23623	-373.24
0.35028	-23603	-385.04
0.36653	-23595	-397.18
0.38330	-23579	-409.31
0.40060	-23568	-421.89
0.41844	-23559	-434.62
0.43683	-23553	-447.49
0.45578	-23519	-460.72
0.47530	-23529	-474.02
0.49539	-23517	-487.67
0.51608	-23507	-501.56
0.53735	-23490	-515.59
0.55924	-23497	-529.95
0.58174	-23493	-544.54
0.60487	-23473	-559.13
0.62863	-23470	-574.20
0.65304	-23455	-589.39
0.67811	-23454	-604.84
0.70384	-23441	-620.55
0.73025	-23423	-636.42
0.75734	-23383	-652.26
0.78513	-23382	-668.14
0.81363	-23367	-684.68
0.84284	-23364	-701.21
0.87278	-23347	-717.95
0.90345	-23312	-734.96
0.93488	-23284	-752.23
0.96705	-23251	-769.32
1.0000	1.8557e+148	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24133.097539602124
