PathParameter	MaxPathLikelihood	MLContribution
0.0000	-53659	-0.012281
2.1544e-07	-53494	-0.11173
2.1715e-06	-53709	-0.35460
8.3895e-06	-52910	-0.76826
2.1888e-05	-53545	-1.3776
4.6050e-05	-53631	-2.1951
8.4561e-05	-53769	-3.2317
0.00014136	-53021	-4.4964
0.00022061	-53429	-6.0127
0.00032669	-53073	-7.7750
0.00046416	-52709	-9.8028
0.00063774	-52957	-12.056
0.00085232	-52763	-14.574
0.0011130	-52231	-17.335
0.0014248	-52100	-20.299
0.0017932	-51499	-23.613
0.0022237	-50588	-26.969
0.0027216	-49993	-30.567
0.0032929	-49596	-34.320
0.0039432	-47585	-37.992
0.0046784	-48064	-42.060
0.0055047	-46560	-45.476
0.0064280	-44072	-48.591
0.0074546	-41764	-51.453
0.0085909	-39220	-53.287
0.0098431	-37178	-54.920
0.011218	-34867	-55.985
0.012722	-33049	-57.080
0.014361	-30353	-57.529
0.016143	-28945	-58.802
0.018075	-27660	-61.658
0.020162	-26802	-63.907
0.022413	-26435	-66.770
0.024834	-25848	-70.077
0.027432	-25386	-73.328
0.030215	-25212	-77.741
0.033190	-24834	-81.683
0.036364	-24677	-86.040
0.039745	-24452	-90.411
0.043339	-24422	-95.355
0.047156	-24364	-100.57
0.051201	-24240	-105.75
0.055484	-24155	-111.16
0.060011	-24070	-116.95
0.064790	-24105	-122.85
0.069830	-23958	-128.94
0.075138	-23904	-135.14
0.080722	-23922	-141.63
0.086591	-23830	-148.35
0.092751	-23845	-155.27
0.099213	-23751	-162.35
0.10598	-23731	-169.66
0.11307	-23692	-177.08
0.12048	-23681	-184.80
0.12823	-23697	-192.78
0.13631	-23658	-200.89
0.14475	-23613	-209.24
0.15355	-23619	-217.72
0.16271	-23611	-226.52
0.17226	-23595	-235.41
0.18218	-23593	-244.62
0.19250	-23597	-253.99
0.20322	-23579	-263.55
0.21436	-23561	-273.32
0.22591	-23564	-283.36
0.23789	-23554	-293.52
0.25031	-23558	-303.97
0.26318	-23548	-314.68
0.27650	-23543	-325.49
0.29029	-23540	-336.53
0.30455	-23527	-347.86
0.31930	-23523	-359.32
0.33454	-23511	-371.09
0.35028	-23511	-382.97
0.36653	-23517	-395.16
0.38330	-23503	-407.58
0.40060	-23498	-420.10
0.41844	-23496	-432.97
0.43683	-23492	-446.01
0.45578	-23477	-459.31
0.47530	-23490	-472.81
0.49539	-23485	-486.51
0.51608	-23485	-500.45
0.53735	-23476	-514.64
0.55924	-23479	-529.07
0.58174	-23475	-543.73
0.60487	-23470	-558.58
0.62863	-23468	-573.68
0.65304	-23467	-589.00
0.67811	-23468	-604.60
0.70384	-23466	-620.39
0.73025	-23461	-636.47
0.75734	-23464	-652.73
0.78513	-23462	-669.20
0.81363	-23454	-685.94
0.84284	-23458	-702.94
0.87278	-23455	-720.19
0.90345	-23455	-737.68
0.93488	-23454	-755.40
0.96705	-23448	-773.31
1.0000	-23454	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -24031.818837315444
