PathParameter	MaxPathLikelihood	MLContribution
0.0000	-44853	-0.010522
2.1544e-07	-45122	-0.095468
2.1715e-06	-45957	-0.30394
8.3895e-06	-45458	-0.66071
2.1888e-05	-45547	-1.1790
4.6050e-05	-45534	-1.8775
8.4561e-05	-45417	-2.7747
0.00014136	-44761	-3.8619
0.00022061	-44012	-5.1560
0.00032669	-44931	-6.6572
0.00046416	-44943	-8.3711
0.00063774	-44878	-10.287
0.00085232	-44528	-12.450
0.0011130	-43746	-14.731
0.0014248	-42587	-17.245
0.0017932	-43402	-20.009
0.0022237	-41998	-22.861
0.0027216	-41600	-25.766
0.0032929	-41162	-28.850
0.0039432	-40500	-31.987
0.0046784	-38542	-34.810
0.0055047	-37002	-37.511
0.0064280	-35632	-39.827
0.0074546	-34188	-42.195
0.0085909	-32281	-44.025
0.0098431	-31009	-45.674
0.011218	-28308	-46.981
0.012722	-27476	-48.165
0.014361	-26195	-50.486
0.016143	-25895	-52.790
0.018075	-24973	-54.765
0.020162	-24570	-57.527
0.022413	-23943	-60.488
0.024834	-23387	-63.480
0.027432	-22962	-66.502
0.030215	-23011	-70.406
0.033190	-22664	-74.032
0.036364	-22618	-78.253
0.039745	-22395	-82.403
0.043339	-22331	-87.007
0.047156	-22164	-91.417
0.051201	-22041	-96.262
0.055484	-22004	-101.40
0.060011	-21957	-106.51
0.064790	-21914	-111.93
0.069830	-21884	-117.65
0.075138	-21817	-123.29
0.080722	-21786	-129.23
0.086591	-21724	-135.41
0.092751	-21735	-141.73
0.099213	-21689	-148.24
0.10598	-21689	-155.01
0.11307	-21664	-161.80
0.12048	-21636	-168.85
0.12823	-21639	-176.15
0.13631	-21615	-183.60
0.14475	-21606	-191.14
0.15355	-21598	-198.93
0.16271	-21585	-206.94
0.17226	-21569	-215.12
0.18218	-21544	-223.49
0.19250	-21533	-232.02
0.20322	-21524	-240.79
0.21436	-21515	-249.72
0.22591	-21503	-258.82
0.23789	-21517	-268.14
0.25031	-21516	-277.66
0.26318	-21509	-287.42
0.27650	-21493	-297.33
0.29029	-21489	-307.39
0.30455	-21485	-317.70
0.31930	-21486	-328.20
0.33454	-21477	-338.90
0.35028	-21476	-349.81
0.36653	-21473	-360.91
0.38330	-21467	-372.24
0.40060	-21458	-383.72
0.41844	-21456	-395.44
0.43683	-21455	-407.35
0.45578	-21453	-419.46
0.47530	-21444	-431.79
0.49539	-21448	-444.35
0.51608	-21447	-457.07
0.53735	-21445	-470.07
0.55924	-21439	-483.18
0.58174	-21439	-496.56
0.60487	-21435	-510.13
0.62863	-21439	-523.98
0.65304	-21433	-537.98
0.67811	-21436	-552.20
0.70384	-21434	-566.64
0.73025	-21431	-581.29
0.75734	-21426	-596.12
0.78513	-21428	-611.25
0.81363	-21426	-626.53
0.84284	-21423	-642.03
0.87278	-21426	-657.80
0.90345	-21420	-673.72
0.93488	-21420	-689.90
0.96705	-21421	-706.33
1.0000	-21417	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -21888.46673054802
