PathParameter	MaxPathLikelihood	MLContribution
0.0000	-72264	-0.017067
2.1544e-07	-72930	-0.15535
2.1715e-06	-72764	-0.49368
8.3895e-06	-73020	-1.0674
2.1888e-05	-74282	-1.9172
4.6050e-05	-72459	-3.0398
8.4561e-05	-72724	-4.4854
0.00014136	-72935	-6.2524
0.00022061	-72192	-8.2929
0.00032669	-70226	-10.675
0.00046416	-71355	-13.418
0.00063774	-70703	-16.422
0.00085232	-70121	-19.706
0.0011130	-69145	-23.224
0.0014248	-68112	-27.055
0.0017932	-64928	-30.650
0.0022237	-63328	-34.499
0.0027216	-62002	-37.926
0.0032929	-59276	-41.094
0.0039432	-54105	-43.360
0.0046784	-52264	-46.273
0.0055047	-47093	-47.580
0.0064280	-45301	-50.383
0.0074546	-41141	-51.027
0.0085909	-39421	-53.117
0.0098431	-37387	-55.392
0.011218	-35920	-57.061
0.012722	-35017	-60.183
0.014361	-33400	-62.639
0.016143	-32520	-66.087
0.018075	-32851	-71.029
0.020162	-32111	-74.778
0.022413	-31646	-79.022
0.024834	-31211	-84.002
0.027432	-31149	-88.735
0.030215	-30938	-94.112
0.033190	-30758	-99.797
0.036364	-30526	-105.30
0.039745	-30279	-110.90
0.043339	-30212	-117.22
0.047156	-29980	-123.58
0.051201	-29976	-130.16
0.055484	-29830	-137.05
0.060011	-29849	-144.19
0.064790	-29744	-151.62
0.069830	-29663	-159.15
0.075138	-29703	-167.21
0.080722	-29582	-175.15
0.086591	-29507	-183.46
0.092751	-29496	-192.11
0.099213	-29490	-200.92
0.10598	-29431	-210.14
0.11307	-29414	-219.33
0.12048	-29367	-228.99
0.12823	-29367	-238.75
0.13631	-29339	-248.88
0.14475	-29289	-259.19
0.15355	-29296	-269.93
0.16271	-29294	-280.72
0.17226	-29272	-291.74
0.18218	-29253	-303.22
0.19250	-29245	-314.77
0.20322	-29232	-326.62
0.21436	-29233	-338.75
0.22591	-29219	-351.18
0.23789	-29197	-363.82
0.25031	-29212	-376.76
0.26318	-29204	-389.97
0.27650	-29184	-403.38
0.29029	-29186	-417.24
0.30455	-29171	-431.13
0.31930	-29157	-445.36
0.33454	-29149	-459.83
0.35028	-29149	-474.68
0.36653	-29149	-489.71
0.38330	-29130	-505.07
0.40060	-29130	-520.74
0.41844	-29132	-536.55
0.43683	-29130	-552.80
0.45578	-29122	-569.17
0.47530	-29116	-585.93
0.49539	-29118	-602.97
0.51608	-29112	-620.32
0.53735	-29102	-637.90
0.55924	-29104	-655.74
0.58174	-29099	-673.93
0.60487	-29101	-692.37
0.62863	-29101	-711.08
0.65304	-29097	-730.09
0.67811	-29091	-749.35
0.70384	-29094	-769.03
0.73025	-29090	-788.86
0.75734	-29089	-809.08
0.78513	-29090	-829.62
0.81363	-29084	-850.29
0.84284	-29085	-871.40
0.87278	-29081	-892.79
0.90345	-29080	-914.45
0.93488	-29080	-936.38
0.96705	-29081	-958.74
1.0000	-29076	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -29661.755103394786
