PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37615	-0.0087824
2.1544e-07	-37926	-0.079609
2.1715e-06	-37658	-0.25369
8.3895e-06	-37461	-0.54912
2.1888e-05	-38099	-0.98073
4.6050e-05	-37662	-1.5689
8.4561e-05	-38132	-2.3085
0.00014136	-37633	-3.2158
0.00022061	-37623	-4.3025
0.00032669	-37600	-5.5598
0.00046416	-37628	-6.9987
0.00063774	-36921	-8.5953
0.00085232	-36814	-10.391
0.0011130	-36855	-12.393
0.0014248	-37108	-14.560
0.0017932	-36390	-16.887
0.0022237	-35592	-19.288
0.0027216	-35988	-21.924
0.0032929	-35301	-24.600
0.0039432	-34639	-27.390
0.0046784	-33187	-30.019
0.0055047	-33508	-33.151
0.0064280	-31311	-35.594
0.0074546	-29443	-37.846
0.0085909	-30049	-40.589
0.0098431	-27584	-41.810
0.011218	-26439	-43.627
0.012722	-25609	-45.196
0.014361	-23977	-46.049
0.016143	-22698	-47.239
0.018075	-21906	-48.858
0.020162	-20863	-50.636
0.022413	-20801	-53.289
0.024834	-20315	-55.535
0.027432	-19809	-58.141
0.030215	-19664	-60.921
0.033190	-19562	-64.083
0.036364	-19234	-67.183
0.039745	-19123	-70.759
0.043339	-18941	-74.435
0.047156	-18793	-77.961
0.051201	-18771	-82.150
0.055484	-18594	-86.227
0.060011	-18568	-90.457
0.064790	-18513	-94.965
0.069830	-18498	-99.591
0.075138	-18374	-104.37
0.080722	-18395	-109.43
0.086591	-18336	-114.47
0.092751	-18314	-119.69
0.099213	-18281	-125.10
0.10598	-18287	-130.64
0.11307	-18241	-136.41
0.12048	-18190	-142.34
0.12823	-18198	-148.29
0.13631	-18197	-154.58
0.14475	-18156	-160.91
0.15355	-18121	-167.37
0.16271	-18144	-174.12
0.17226	-18119	-180.92
0.18218	-18099	-187.91
0.19250	-18105	-195.07
0.20322	-18093	-202.43
0.21436	-18075	-209.86
0.22591	-18082	-217.52
0.23789	-18056	-225.33
0.25031	-18065	-233.30
0.26318	-18050	-241.41
0.27650	-18042	-249.72
0.29029	-18042	-258.17
0.30455	-18037	-266.80
0.31930	-18027	-275.55
0.33454	-18022	-284.58
0.35028	-18017	-293.71
0.36653	-18011	-302.98
0.38330	-18010	-312.45
0.40060	-18010	-322.11
0.41844	-18000	-331.93
0.43683	-18001	-341.93
0.45578	-18001	-352.06
0.47530	-17998	-362.41
0.49539	-17980	-372.89
0.51608	-17991	-383.59
0.53735	-17989	-394.46
0.55924	-17989	-405.46
0.58174	-17986	-416.67
0.60487	-17983	-428.06
0.62863	-17984	-439.61
0.65304	-17978	-451.36
0.67811	-17978	-463.31
0.70384	-17979	-475.41
0.73025	-17973	-487.67
0.75734	-17966	-500.12
0.78513	-17972	-512.78
0.81363	-17968	-525.60
0.84284	-17967	-538.62
0.87278	-17967	-551.82
0.90345	-17970	-565.22
0.93488	-17966	-578.78
0.96705	-17966	-592.52
1.0000	-17968	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18437.966212028816
