PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37647	-0.0086756
2.1544e-07	-38021	-0.078825
2.1715e-06	-37762	-0.25045
8.3895e-06	-37114	-0.54343
2.1888e-05	-38190	-0.97321
4.6050e-05	-37994	-1.5504
8.4561e-05	-37937	-2.2887
0.00014136	-37777	-3.1882
0.00022061	-38047	-4.2587
0.00032669	-37495	-5.5001
0.00046416	-37742	-6.9485
0.00063774	-37512	-8.5586
0.00085232	-37464	-10.357
0.0011130	-37264	-12.345
0.0014248	-37131	-14.502
0.0017932	-37364	-16.893
0.0022237	-36825	-19.360
0.0027216	-36202	-22.063
0.0032929	-36121	-24.914
0.0039432	-35322	-27.861
0.0046784	-35470	-30.931
0.0055047	-33760	-33.917
0.0064280	-33814	-36.850
0.0074546	-33458	-40.083
0.0085909	-32173	-43.086
0.0098431	-30754	-45.378
0.011218	-29429	-47.523
0.012722	-27556	-48.444
0.014361	-25703	-49.590
0.016143	-24468	-50.503
0.018075	-23360	-51.753
0.020162	-22385	-53.433
0.022413	-21080	-54.200
0.024834	-20522	-56.375
0.027432	-20028	-58.501
0.030215	-19991	-61.436
0.033190	-19595	-64.440
0.036364	-19310	-67.634
0.039745	-19328	-71.143
0.043339	-18986	-74.909
0.047156	-18988	-78.557
0.051201	-18795	-82.612
0.055484	-18733	-86.632
0.060011	-18699	-91.186
0.064790	-18686	-95.777
0.069830	-18667	-100.47
0.075138	-18629	-105.38
0.080722	-18582	-110.41
0.086591	-18563	-115.64
0.092751	-18529	-120.94
0.099213	-18519	-126.48
0.10598	-18449	-132.19
0.11307	-18466	-137.99
0.12048	-18436	-143.98
0.12823	-18430	-150.19
0.13631	-18421	-156.48
0.14475	-18335	-162.96
0.15355	-18400	-169.60
0.16271	-18358	-176.34
0.17226	-18364	-183.27
0.18218	-18353	-190.42
0.19250	-18355	-197.71
0.20322	-18343	-205.14
0.21436	-18333	-212.70
0.22591	-18307	-220.46
0.23789	-18316	-228.39
0.25031	-18296	-236.44
0.26318	-18298	-244.71
0.27650	-18290	-253.13
0.29029	-18292	-261.72
0.30455	-18286	-270.47
0.31930	-18275	-279.38
0.33454	-18266	-288.47
0.35028	-18270	-297.72
0.36653	-18270	-307.19
0.38330	-18266	-316.79
0.40060	-18263	-326.57
0.41844	-18257	-336.53
0.43683	-18254	-346.67
0.45578	-18250	-356.95
0.47530	-18251	-367.44
0.49539	-18244	-378.09
0.51608	-18239	-388.93
0.53735	-18240	-399.93
0.55924	-18237	-411.13
0.58174	-18233	-422.49
0.60487	-18236	-434.05
0.62863	-18233	-445.77
0.65304	-18229	-457.66
0.67811	-18228	-469.76
0.70384	-18233	-482.06
0.73025	-18224	-494.48
0.75734	-18224	-507.12
0.78513	-18226	-519.93
0.81363	-18225	-532.97
0.84284	-18224	-546.14
0.87278	-18218	-559.52
0.90345	-18220	-573.09
0.93488	-18218	-586.83
0.96705	-18217	-600.78
1.0000	-18215	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18705.33407837118
