PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.9598e+05	-0.048964
2.1544e-07	-1.9249e+05	-0.44490
2.1715e-06	-2.0125e+05	-1.4087
8.3895e-06	-1.9713e+05	-3.0442
2.1888e-05	-1.9368e+05	-5.4345
4.6050e-05	-1.9480e+05	-8.5313
8.4561e-05	-1.9447e+05	-12.464
0.00014136	-1.8524e+05	-17.022
0.00022061	-1.8335e+05	-21.956
0.00032669	-1.7432e+05	-27.070
0.00046416	-1.6285e+05	-31.851
0.00063774	-1.4292e+05	-35.063
0.00085232	-1.2819e+05	-38.210
0.0011130	-1.1079e+05	-38.934
0.0014248	-1.0594e+05	-43.246
0.0017932	-89450	-42.407
0.0022237	-82663	-45.039
0.0027216	-77873	-47.970
0.0032929	-69744	-49.318
0.0039432	-68419	-53.471
0.0046784	-65881	-57.260
0.0055047	-63808	-62.097
0.0064280	-63079	-67.205
0.0074546	-61681	-73.277
0.0085909	-60311	-79.184
0.0098431	-60360	-85.574
0.011218	-59345	-91.755
0.012722	-58804	-98.856
0.014361	-58185	-106.55
0.016143	-57538	-113.92
0.018075	-57341	-122.43
0.020162	-57092	-130.73
0.022413	-56888	-140.07
0.024834	-56642	-149.41
0.027432	-56491	-159.32
0.030215	-56399	-169.68
0.033190	-56268	-180.35
0.036364	-56179	-191.44
0.039745	-56042	-203.07
0.043339	-55847	-215.13
0.047156	-55738	-227.42
0.051201	-55774	-240.40
0.055484	-55728	-253.67
0.060011	-55616	-267.43
0.064790	-55532	-281.49
0.069830	-55516	-296.16
0.075138	-55453	-311.28
0.080722	-55454	-326.74
0.086591	-55398	-342.70
0.092751	-55360	-359.02
0.099213	-55335	-375.92
0.10598	-55295	-393.15
0.11307	-55257	-410.84
0.12048	-55247	-429.21
0.12823	-55187	-447.89
0.13631	-55213	-467.06
0.14475	-55190	-486.75
0.15355	-55190	-506.85
0.16271	-55164	-527.41
0.17226	-55146	-548.52
0.18218	-55137	-570.05
0.19250	-55113	-592.08
0.20322	-55119	-614.62
0.21436	-55100	-637.61
0.22591	-55086	-661.12
0.23789	-55088	-685.10
0.25031	-55074	-709.59
0.26318	-55066	-734.69
0.27650	-55052	-760.10
0.29029	-55048	-786.15
0.30455	-55044	-812.63
0.31930	-55045	-839.69
0.33454	-55033	-867.27
0.35028	-55021	-895.24
0.36653	-55027	-923.82
0.38330	-55020	-952.90
0.40060	-55015	-982.45
0.41844	-55020	-1012.6
0.43683	-55013	-1043.3
0.45578	-55008	-1074.4
0.47530	-54991	-1106.1
0.49539	-55000	-1138.3
0.51608	-55002	-1171.1
0.53735	-54996	-1204.4
0.55924	-54989	-1238.2
0.58174	-54995	-1272.7
0.60487	-54992	-1307.7
0.62863	-54990	-1343.1
0.65304	-54986	-1379.0
0.67811	-54979	-1415.6
0.70384	-54983	-1452.7
0.73025	-54984	-1490.3
0.75734	-54975	-1528.5
0.78513	-54972	-1567.3
0.81363	-54975	-1606.6
0.84284	-54975	-1646.5
0.87278	-54971	-1686.9
0.90345	-54975	-1728.0
0.93488	-54969	-1769.5
0.96705	-54968	-1811.7
1.0000	-54970	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -55539.68611601887
