PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40309	-0.0093822
2.1544e-07	-40821	-0.085153
2.1715e-06	-40888	-0.27052
8.3895e-06	-41209	-0.58915
2.1888e-05	-40624	-1.0510
4.6050e-05	-40720	-1.6728
8.4561e-05	-40977	-2.4642
0.00014136	-41041	-3.4377
0.00022061	-41011	-4.6127
0.00032669	-40158	-5.9642
0.00046416	-40011	-7.4938
0.00063774	-39996	-9.2328
0.00085232	-39689	-11.171
0.0011130	-38815	-13.301
0.0014248	-39358	-15.600
0.0017932	-39678	-18.124
0.0022237	-38559	-20.692
0.0027216	-38006	-23.515
0.0032929	-37327	-26.295
0.0039432	-36618	-29.218
0.0046784	-34181	-31.331
0.0055047	-34815	-34.786
0.0064280	-33085	-36.548
0.0074546	-30590	-38.011
0.0085909	-28983	-39.388
0.0098431	-27545	-41.276
0.011218	-25733	-42.398
0.012722	-24286	-43.113
0.014361	-23350	-45.322
0.016143	-22470	-46.406
0.018075	-22020	-48.644
0.020162	-21876	-51.042
0.022413	-20908	-53.078
0.024834	-20856	-56.028
0.027432	-20252	-58.723
0.030215	-20240	-62.216
0.033190	-19967	-65.258
0.036364	-19767	-69.130
0.039745	-19737	-72.978
0.043339	-19670	-76.944
0.047156	-19596	-81.081
0.051201	-19588	-85.425
0.055484	-19440	-89.781
0.060011	-19415	-94.424
0.064790	-19403	-99.322
0.069830	-19379	-104.18
0.075138	-19344	-109.31
0.080722	-19297	-114.58
0.086591	-19280	-120.00
0.092751	-19224	-125.52
0.099213	-19224	-131.34
0.10598	-19186	-137.27
0.11307	-19165	-143.30
0.12048	-19164	-149.57
0.12823	-19126	-155.98
0.13631	-19148	-162.56
0.14475	-19117	-169.29
0.15355	-19083	-176.18
0.16271	-19099	-183.20
0.17226	-19057	-190.43
0.18218	-19072	-197.89
0.19250	-19057	-205.38
0.20322	-19047	-213.11
0.21436	-19054	-221.05
0.22591	-19043	-229.06
0.23789	-19013	-237.28
0.25031	-19005	-245.70
0.26318	-19014	-254.28
0.27650	-19012	-263.01
0.29029	-19002	-271.95
0.30455	-18998	-281.07
0.31930	-18995	-290.32
0.33454	-18990	-299.78
0.35028	-18985	-309.37
0.36653	-18980	-319.22
0.38330	-18979	-329.19
0.40060	-18969	-339.35
0.41844	-18972	-349.69
0.43683	-18959	-360.17
0.45578	-18955	-370.89
0.47530	-18961	-381.78
0.49539	-18952	-392.84
0.51608	-18956	-404.09
0.53735	-18948	-415.54
0.55924	-18947	-427.16
0.58174	-18945	-438.93
0.60487	-18945	-450.90
0.62863	-18940	-463.09
0.65304	-18941	-475.47
0.67811	-18934	-488.02
0.70384	-18933	-500.78
0.73025	-18930	-513.72
0.75734	-18932	-526.86
0.78513	-18930	-540.11
0.81363	-18932	-553.66
0.84284	-18924	-567.38
0.87278	-18925	-581.24
0.90345	-18923	-595.31
0.93488	-18916	-609.58
0.96705	-18917	-624.06
1.0000	-18920	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19368.45261934266
