PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47087	-0.010745
2.1544e-07	-46815	-0.097825
2.1715e-06	-46298	-0.30992
8.3895e-06	-46543	-0.67390
2.1888e-05	-46698	-1.2061
4.6050e-05	-46371	-1.9225
8.4561e-05	-46839	-2.8298
0.00014136	-46300	-3.9411
0.00022061	-46500	-5.2597
0.00032669	-46847	-6.8037
0.00046416	-45167	-8.5369
0.00063774	-45790	-10.523
0.00085232	-45340	-12.742
0.0011130	-45233	-15.119
0.0014248	-45092	-17.743
0.0017932	-44344	-20.516
0.0022237	-44105	-23.504
0.0027216	-42810	-26.513
0.0032929	-41215	-29.581
0.0039432	-41813	-32.781
0.0046784	-39648	-35.482
0.0055047	-36909	-37.511
0.0064280	-36188	-40.365
0.0074546	-32443	-40.542
0.0085909	-31787	-43.502
0.0098431	-30571	-44.957
0.011218	-28582	-45.853
0.012722	-27618	-48.458
0.014361	-26816	-50.408
0.016143	-25453	-51.831
0.018075	-24964	-55.004
0.020162	-24870	-58.243
0.022413	-24194	-61.051
0.024834	-24220	-64.948
0.027432	-23418	-68.107
0.030215	-23538	-72.037
0.033190	-23228	-75.957
0.036364	-23177	-80.346
0.039745	-23045	-84.686
0.043339	-22963	-89.368
0.047156	-22890	-94.159
0.051201	-22811	-99.279
0.055484	-22605	-104.37
0.060011	-22639	-109.89
0.064790	-22568	-115.43
0.069830	-22560	-121.23
0.075138	-22492	-127.14
0.080722	-22427	-133.28
0.086591	-22464	-139.64
0.092751	-22390	-146.11
0.099213	-22386	-152.77
0.10598	-22349	-159.67
0.11307	-22304	-166.74
0.12048	-22237	-174.01
0.12823	-22291	-181.37
0.13631	-22249	-189.05
0.14475	-22239	-196.86
0.15355	-22208	-204.88
0.16271	-22208	-213.02
0.17226	-22161	-221.36
0.18218	-22180	-229.92
0.19250	-22149	-238.73
0.20322	-22118	-247.62
0.21436	-22138	-256.80
0.22591	-22119	-266.19
0.23789	-22103	-275.66
0.25031	-22091	-285.37
0.26318	-22080	-295.32
0.27650	-22066	-305.42
0.29029	-22074	-315.81
0.30455	-22049	-326.36
0.31930	-22034	-337.06
0.33454	-22047	-348.01
0.35028	-22031	-359.09
0.36653	-22010	-370.52
0.38330	-22014	-382.04
0.40060	-22006	-393.80
0.41844	-22003	-405.74
0.43683	-21997	-417.87
0.45578	-21985	-430.24
0.47530	-21993	-442.91
0.49539	-21984	-455.66
0.51608	-21975	-468.66
0.53735	-21979	-481.93
0.55924	-21967	-495.29
0.58174	-21972	-509.04
0.60487	-21964	-522.80
0.62863	-21958	-536.94
0.65304	-21952	-551.21
0.67811	-21944	-565.77
0.70384	-21948	-580.47
0.73025	-21932	-595.40
0.75734	-21943	-610.67
0.78513	-21933	-625.97
0.81363	-21928	-641.53
0.84284	-21931	-657.47
0.87278	-21925	-673.47
0.90345	-21920	-689.85
0.93488	-21916	-706.33
0.96705	-21919	-723.06
1.0000	-21916	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -22441.571773073007
