PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.7495e+05	-0.047065
2.1544e-07	-1.7852e+05	-0.42541
2.1715e-06	-1.7618e+05	-1.3598
8.3895e-06	-1.7199e+05	-2.9324
2.1888e-05	-1.7405e+05	-5.1035
4.6050e-05	-1.6742e+05	-7.9175
8.4561e-05	-1.6707e+05	-11.205
0.00014136	-1.5980e+05	-14.941
0.00022061	-1.5378e+05	-19.055
0.00032669	-1.4657e+05	-23.483
0.00046416	-1.4913e+05	-28.322
0.00063774	-1.3577e+05	-32.627
0.00085232	-1.2926e+05	-37.066
0.0011130	-1.1602e+05	-39.852
0.0014248	-1.0396e+05	-42.458
0.0017932	-94072	-45.878
0.0022237	-90837	-49.405
0.0027216	-84916	-52.983
0.0032929	-78578	-54.572
0.0039432	-72843	-58.113
0.0046784	-69302	-60.884
0.0055047	-63960	-62.676
0.0064280	-61660	-66.526
0.0074546	-60180	-71.660
0.0085909	-57469	-75.259
0.0098431	-56416	-80.164
0.011218	-54933	-86.043
0.012722	-55150	-92.590
0.014361	-54220	-98.985
0.016143	-53577	-106.08
0.018075	-53435	-114.06
0.020162	-52954	-121.28
0.022413	-52359	-129.49
0.024834	-52212	-137.99
0.027432	-51956	-146.75
0.030215	-51885	-156.29
0.033190	-51651	-165.84
0.036364	-51207	-175.71
0.039745	-51299	-186.22
0.043339	-51080	-196.98
0.047156	-50881	-208.00
0.051201	-50727	-219.34
0.055484	-50653	-231.36
0.060011	-50687	-243.91
0.064790	-50529	-256.49
0.069830	-50381	-269.54
0.075138	-50386	-283.15
0.080722	-50308	-296.95
0.086591	-50300	-311.42
0.092751	-50223	-326.33
0.099213	-50179	-341.19
0.10598	-50090	-356.82
0.11307	-50033	-372.75
0.12048	-50045	-389.06
0.12823	-50019	-405.96
0.13631	-49992	-423.27
0.14475	-49911	-440.80
0.15355	-49921	-458.95
0.16271	-49855	-477.48
0.17226	-49896	-496.69
0.18218	-49828	-515.85
0.19250	-49797	-535.62
0.20322	-49784	-555.84
0.21436	-49779	-576.59
0.22591	-49755	-597.66
0.23789	-49736	-619.14
0.25031	-49720	-641.07
0.26318	-49732	-664.00
0.27650	-49716	-686.86
0.29029	-49716	-710.36
0.30455	-49712	-734.09
0.31930	-49691	-758.26
0.33454	-49665	-783.03
0.35028	-49663	-808.35
0.36653	-49650	-833.93
0.38330	-49637	-860.02
0.40060	-49631	-886.69
0.41844	-49640	-913.85
0.43683	-49620	-941.35
0.45578	-49615	-969.54
0.47530	-49619	-998.11
0.49539	-49600	-1026.9
0.51608	-49600	-1056.3
0.53735	-49580	-1086.4
0.55924	-49585	-1116.8
0.58174	-49591	-1147.8
0.60487	-49563	-1179.1
0.62863	-49563	-1211.0
0.65304	-49560	-1243.3
0.67811	-49563	-1276.2
0.70384	-49557	-1309.6
0.73025	-49543	-1343.6
0.75734	-49547	-1377.9
0.78513	-49552	-1412.9
0.81363	-49542	-1448.1
0.84284	-49542	-1484.1
0.87278	-49534	-1520.5
0.90345	-49532	-1557.4
0.93488	-49526	-1594.7
0.96705	-49531	-1632.7
1.0000	-49522	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -50284.26927230595
