PathParameter	MaxPathLikelihood	MLContribution
0.0000	-38637	-0.043649
2.1544e-07	-38812	-0.11648
2.1715e-06	-38740	-0.30451
8.3895e-06	-39029	-0.61792
2.1888e-05	-38352	-1.0874
4.6050e-05	-38456	-1.6972
8.4561e-05	-38688	-2.4717
0.00014136	-38589	-3.3927
0.00022061	-38368	-4.4818
0.00032669	-38895	-5.7432
0.00046416	-38429	-7.1782
0.00063774	-38057	-8.8026
0.00085232	-38298	-10.575
0.0011130	-38266	-12.585
0.0014248	-37208	-14.755
0.0017932	-37702	-17.099
0.0022237	-37333	-19.647
0.0027216	-36985	-22.425
0.0032929	-36668	-25.280
0.0039432	-36275	-28.273
0.0046784	-36070	-31.471
0.0055047	-35593	-34.649
0.0064280	-35034	-37.884
0.0074546	-34290	-41.164
0.0085909	-32881	-44.075
0.0098431	-32590	-47.725
0.011218	-31433	-50.379
0.012722	-30127	-52.232
0.014361	-28206	-53.101
0.016143	-25620	-52.335
0.018075	-23413	-52.858
0.020162	-22922	-54.758
0.022413	-21285	-55.072
0.024834	-20819	-56.989
0.027432	-20699	-59.867
0.030215	-20139	-62.470
0.033190	-19454	-65.176
0.036364	-19687	-68.972
0.039745	-19445	-72.273
0.043339	-19370	-75.893
0.047156	-19193	-79.675
0.051201	-19154	-83.762
0.055484	-18962	-88.046
0.060011	-18987	-92.434
0.064790	-18901	-97.166
0.069830	-18912	-101.84
0.075138	-18841	-106.78
0.080722	-18759	-111.78
0.086591	-18732	-117.02
0.092751	-18697	-122.37
0.099213	-18679	-127.94
0.10598	-18607	-133.59
0.11307	-18604	-139.40
0.12048	-18613	-145.49
0.12823	-18599	-151.62
0.13631	-18532	-157.94
0.14475	-18554	-164.41
0.15355	-18527	-171.05
0.16271	-18467	-177.78
0.17226	-18501	-184.79
0.18218	-18476	-191.92
0.19250	-18473	-199.18
0.20322	-18429	-206.62
0.21436	-18441	-214.26
0.22591	-18442	-221.99
0.23789	-18425	-229.92
0.25031	-18422	-238.06
0.26318	-18401	-246.25
0.27650	-18394	-254.72
0.29029	-18387	-263.29
0.30455	-18389	-272.07
0.31930	-18377	-281.05
0.33454	-18375	-290.17
0.35028	-18368	-299.44
0.36653	-18361	-308.85
0.38330	-18357	-318.49
0.40060	-18352	-328.29
0.41844	-18347	-338.31
0.43683	-18342	-348.41
0.45578	-18337	-358.73
0.47530	-18328	-369.29
0.49539	-18331	-379.95
0.51608	-18323	-390.81
0.53735	-18316	-401.81
0.55924	-18315	-413.04
0.58174	-18315	-424.45
0.60487	-18311	-436.03
0.62863	-18312	-447.78
0.65304	-18299	-459.72
0.67811	-18303	-471.85
0.70384	-18301	-484.10
0.73025	-18291	-496.56
0.75734	-18285	-509.23
0.78513	-18291	-522.13
0.81363	-18288	-535.19
0.84284	-18281	-548.30
0.87278	-18271	-561.68
0.90345	-18246	-575.15
0.93488	-18209	-588.79
0.96705	-18177	-602.22
1.0000	3.2059e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18838.926780026108
