PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36327	-0.026488
2.1544e-07	-36138	-0.094676
2.1715e-06	-36329	-0.27107
8.3895e-06	-36676	-0.56970
2.1888e-05	-37024	-1.0079
4.6050e-05	-36409	-1.5848
8.4561e-05	-36571	-2.3134
0.00014136	-36385	-3.1736
0.00022061	-35519	-4.2001
0.00032669	-35945	-5.3973
0.00046416	-36245	-6.7396
0.00063774	-36307	-8.2757
0.00085232	-35858	-9.9989
0.0011130	-35754	-11.869
0.0014248	-36164	-13.936
0.0017932	-35643	-16.170
0.0022237	-34886	-18.579
0.0027216	-34738	-21.212
0.0032929	-34965	-23.958
0.0039432	-34161	-26.849
0.0046784	-34286	-29.901
0.0055047	-33399	-32.917
0.0064280	-33421	-36.342
0.0074546	-32534	-39.414
0.0085909	-32455	-42.837
0.0098431	-31451	-45.822
0.011218	-29555	-47.693
0.012722	-28365	-49.801
0.014361	-26308	-51.163
0.016143	-23986	-50.434
0.018075	-22537	-50.648
0.020162	-21412	-50.392
0.022413	-20050	-51.950
0.024834	-19525	-53.727
0.027432	-19294	-56.614
0.030215	-19169	-59.175
0.033190	-18925	-62.369
0.036364	-18710	-65.309
0.039745	-18650	-68.999
0.043339	-18390	-72.602
0.047156	-18347	-76.249
0.051201	-18395	-80.292
0.055484	-18303	-84.456
0.060011	-18150	-88.640
0.064790	-18155	-93.127
0.069830	-18063	-97.598
0.075138	-18091	-102.52
0.080722	-18037	-107.34
0.086591	-18012	-112.34
0.092751	-17958	-117.47
0.099213	-17968	-122.92
0.10598	-17896	-128.34
0.11307	-17882	-133.92
0.12048	-17885	-139.76
0.12823	-17872	-145.69
0.13631	-17861	-151.80
0.14475	-17812	-157.96
0.15355	-17808	-164.37
0.16271	-17805	-170.94
0.17226	-17767	-177.54
0.18218	-17763	-184.46
0.19250	-17739	-191.45
0.20322	-17738	-198.66
0.21436	-17730	-205.89
0.22591	-17736	-213.43
0.23789	-17714	-221.06
0.25031	-17717	-228.84
0.26318	-17683	-236.76
0.27650	-17690	-244.87
0.29029	-17674	-253.17
0.30455	-17674	-261.64
0.31930	-17666	-270.21
0.33454	-17666	-278.96
0.35028	-17660	-287.93
0.36653	-17661	-297.05
0.38330	-17647	-306.24
0.40060	-17645	-315.73
0.41844	-17647	-325.34
0.43683	-17640	-335.07
0.45578	-17633	-345.03
0.47530	-17628	-355.12
0.49539	-17623	-365.39
0.51608	-17614	-375.81
0.53735	-17617	-386.44
0.55924	-17611	-397.26
0.58174	-17613	-408.20
0.60487	-17608	-419.29
0.62863	-17608	-430.61
0.65304	-17602	-442.12
0.67811	-17602	-453.74
0.70384	-17596	-465.52
0.73025	-17585	-477.53
0.75734	-17577	-489.71
0.78513	-17587	-502.04
0.81363	-17583	-514.62
0.84284	-17580	-527.33
0.87278	-17565	-540.18
0.90345	-17544	-553.13
0.93488	-17542	-566.32
0.96705	-17491	-578.84
1.0000	2.1793e+05	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -18098.581217817115
