PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47919	-0.053610
2.1544e-07	-47728	-0.13036
2.1715e-06	-47791	-0.37757
8.3895e-06	-46929	-0.78126
2.1888e-05	-47627	-1.3636
4.6050e-05	-47414	-2.1189
8.4561e-05	-47634	-3.0367
0.00014136	-47313	-4.1493
0.00022061	-47102	-5.4284
0.00032669	-46454	-6.9552
0.00046416	-46118	-8.6664
0.00063774	-46511	-10.663
0.00085232	-45740	-12.818
0.0011130	-45892	-15.195
0.0014248	-45906	-17.844
0.0017932	-45638	-20.692
0.0022237	-45326	-23.805
0.0027216	-44884	-27.103
0.0032929	-44477	-30.505
0.0039432	-43492	-34.087
0.0046784	-43054	-37.846
0.0055047	-42402	-41.399
0.0064280	-40697	-44.520
0.0074546	-40524	-48.498
0.0085909	-38862	-51.349
0.0098431	-37163	-54.249
0.011218	-34925	-55.965
0.012722	-33680	-58.435
0.014361	-31864	-59.836
0.016143	-29441	-59.484
0.018075	-27027	-60.406
0.020162	-26201	-62.795
0.022413	-25857	-65.841
0.024834	-25779	-69.393
0.027432	-25600	-73.692
0.030215	-25276	-77.505
0.033190	-25098	-81.619
0.036364	-24907	-86.339
0.039745	-24774	-90.940
0.043339	-24760	-96.178
0.047156	-24533	-101.15
0.051201	-24467	-106.54
0.055484	-24330	-112.01
0.060011	-24121	-117.72
0.064790	-24224	-123.59
0.069830	-24029	-129.37
0.075138	-23926	-135.63
0.080722	-23850	-141.90
0.086591	-23807	-148.32
0.092751	-23764	-155.12
0.099213	-23673	-162.03
0.10598	-23645	-169.20
0.11307	-23614	-176.66
0.12048	-23582	-184.12
0.12823	-23554	-191.98
0.13631	-23482	-199.82
0.14475	-23498	-207.99
0.15355	-23443	-216.35
0.16271	-23416	-224.85
0.17226	-23389	-233.70
0.18218	-23351	-242.54
0.19250	-23335	-251.79
0.20322	-23328	-261.07
0.21436	-23305	-270.78
0.22591	-23301	-280.49
0.23789	-23303	-290.56
0.25031	-23254	-300.62
0.26318	-23263	-311.10
0.27650	-23249	-321.75
0.29029	-23228	-332.48
0.30455	-23211	-343.57
0.31930	-23205	-354.79
0.33454	-23175	-366.20
0.35028	-23182	-377.89
0.36653	-23164	-389.79
0.38330	-23148	-401.82
0.40060	-23158	-414.26
0.41844	-23141	-426.79
0.43683	-23138	-439.67
0.45578	-23121	-452.53
0.47530	-23125	-465.70
0.49539	-23119	-479.27
0.51608	-23113	-492.89
0.53735	-23107	-506.82
0.55924	-23095	-520.78
0.58174	-23097	-535.21
0.60487	-23091	-549.68
0.62863	-23084	-564.45
0.65304	-23070	-579.50
0.67811	-23071	-594.82
0.70384	-23066	-610.26
0.73025	-23065	-625.89
0.75734	-23066	-641.89
0.78513	-23054	-657.99
0.81363	-23040	-674.28
0.84284	-23049	-691.07
0.87278	-23039	-707.93
0.90345	-23038	-725.08
0.93488	-23003	-742.30
0.96705	-22893	-756.99
1.0000	-22789	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23693.395176255
