PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36507	-0.014525
2.1544e-07	-35962	-0.091679
2.1715e-06	-36206	-0.27402
8.3895e-06	-36167	-0.57645
2.1888e-05	-35964	-1.0145
4.6050e-05	-35942	-1.5974
8.4561e-05	-35832	-2.3226
0.00014136	-35401	-3.1771
0.00022061	-35384	-4.1925
0.00032669	-35289	-5.3730
0.00046416	-35380	-6.6836
0.00063774	-35331	-8.1715
0.00085232	-35413	-9.8363
0.0011130	-35393	-11.658
0.0014248	-35076	-13.683
0.0017932	-35132	-15.868
0.0022237	-34949	-18.265
0.0027216	-35141	-20.846
0.0032929	-34313	-23.591
0.0039432	-34636	-26.502
0.0046784	-34211	-29.566
0.0055047	-34005	-32.890
0.0064280	-33739	-36.180
0.0074546	-33369	-39.716
0.0085909	-33044	-43.292
0.0098431	-32137	-46.649
0.011218	-31416	-50.091
0.012722	-30383	-52.986
0.014361	-29791	-56.170
0.016143	-28363	-57.851
0.018075	-27095	-59.762
0.020162	-26435	-62.265
0.022413	-24993	-63.812
0.024834	-24119	-66.170
0.027432	-23323	-68.178
0.030215	-23075	-71.415
0.033190	-22682	-74.561
0.036364	-22414	-78.105
0.039745	-22067	-82.319
0.043339	-21846	-85.673
0.047156	-21668	-89.758
0.051201	-21592	-94.364
0.055484	-21421	-98.914
0.060011	-21340	-103.69
0.064790	-21213	-108.66
0.069830	-20943	-113.98
0.075138	-21094	-119.46
0.080722	-20958	-124.86
0.086591	-20967	-130.82
0.092751	-20824	-136.62
0.099213	-20855	-142.81
0.10598	-20772	-148.95
0.11307	-20652	-155.21
0.12048	-20598	-161.59
0.12823	-20574	-168.25
0.13631	-20571	-175.21
0.14475	-20444	-181.87
0.15355	-20425	-189.15
0.16271	-20418	-196.31
0.17226	-20343	-203.75
0.18218	-20344	-211.51
0.19250	-20335	-219.49
0.20322	-20251	-227.37
0.21436	-20272	-235.61
0.22591	-20241	-243.98
0.23789	-20233	-252.76
0.25031	-20210	-261.50
0.26318	-20169	-270.23
0.27650	-20175	-279.44
0.29029	-20157	-288.82
0.30455	-20157	-298.45
0.31930	-20152	-308.12
0.33454	-20108	-317.99
0.35028	-20107	-328.13
0.36653	-20098	-338.41
0.38330	-20098	-348.93
0.40060	-20084	-359.56
0.41844	-20075	-370.26
0.43683	-20048	-381.32
0.45578	-20053	-392.57
0.47530	-20043	-403.94
0.49539	-20041	-415.63
0.51608	-20036	-427.49
0.53735	-20041	-439.49
0.55924	-20022	-451.71
0.58174	-20022	-464.02
0.60487	-20000	-476.58
0.62863	-20001	-489.40
0.65304	-20002	-502.38
0.67811	-20001	-515.63
0.70384	-19993	-528.97
0.73025	-19988	-542.66
0.75734	-19984	-556.37
0.78513	-19974	-570.34
0.81363	-19976	-584.58
0.84284	-19966	-598.95
0.87278	-19957	-613.48
0.90345	-19947	-628.20
0.93488	-19919	-643.07
0.96705	-19900	-657.95
1.0000	9.5107e+21	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20620.9126157001
