PathParameter	MaxPathLikelihood	MLContribution
0.0000	-47640	-0.019558
2.1544e-07	-47578	-0.12570
2.1715e-06	-47703	-0.36459
8.3895e-06	-47770	-0.78428
2.1888e-05	-47454	-1.3513
4.6050e-05	-47087	-2.1060
8.4561e-05	-46825	-3.0190
0.00014136	-47121	-4.1485
0.00022061	-46816	-5.4651
0.00032669	-47049	-6.9700
0.00046416	-46658	-8.6929
0.00063774	-46256	-10.627
0.00085232	-46507	-12.833
0.0011130	-46056	-15.224
0.0014248	-45849	-17.861
0.0017932	-45694	-20.744
0.0022237	-46044	-23.860
0.0027216	-45660	-27.215
0.0032929	-45368	-30.687
0.0039432	-44185	-34.306
0.0046784	-44372	-38.220
0.0055047	-43583	-42.260
0.0064280	-42621	-46.189
0.0074546	-41827	-50.039
0.0085909	-39459	-53.109
0.0098431	-38272	-55.546
0.011218	-34947	-56.780
0.012722	-31473	-55.890
0.014361	-30648	-58.502
0.016143	-29299	-59.540
0.018075	-27993	-61.173
0.020162	-26881	-63.209
0.022413	-26008	-66.029
0.024834	-25718	-69.468
0.027432	-25560	-73.380
0.030215	-25292	-77.218
0.033190	-25008	-81.640
0.036364	-24891	-86.573
0.039745	-24775	-91.113
0.043339	-24749	-96.206
0.047156	-24518	-101.39
0.051201	-24532	-106.91
0.055484	-24489	-112.43
0.060011	-24249	-118.16
0.064790	-24154	-124.14
0.069830	-24099	-130.15
0.075138	-24034	-136.33
0.080722	-23969	-142.75
0.086591	-23949	-149.25
0.092751	-23858	-156.06
0.099213	-23793	-162.91
0.10598	-23755	-170.24
0.11307	-23722	-177.43
0.12048	-23653	-184.96
0.12823	-23611	-192.79
0.13631	-23553	-200.77
0.14475	-23542	-208.76
0.15355	-23523	-217.26
0.16271	-23489	-225.77
0.17226	-23469	-234.44
0.18218	-23461	-243.56
0.19250	-23424	-252.57
0.20322	-23372	-261.81
0.21436	-23360	-271.49
0.22591	-23328	-281.10
0.23789	-23332	-291.30
0.25031	-23310	-301.26
0.26318	-23276	-311.74
0.27650	-23263	-322.35
0.29029	-23277	-333.16
0.30455	-23267	-344.20
0.31930	-23234	-355.40
0.33454	-23235	-366.94
0.35028	-23211	-378.59
0.36653	-23185	-390.48
0.38330	-23204	-402.65
0.40060	-23191	-415.01
0.41844	-23170	-427.45
0.43683	-23167	-440.33
0.45578	-23174	-453.35
0.47530	-23168	-466.61
0.49539	-23156	-480.02
0.51608	-23140	-493.61
0.53735	-23139	-507.58
0.55924	-23140	-521.63
0.58174	-23128	-535.98
0.60487	-23127	-550.66
0.62863	-23122	-565.41
0.65304	-23113	-580.41
0.67811	-23105	-595.71
0.70384	-23100	-611.12
0.73025	-23096	-626.89
0.75734	-23090	-642.90
0.78513	-23086	-659.10
0.81363	-23081	-675.49
0.84284	-23070	-692.17
0.87278	-23066	-708.97
0.90345	-23043	-725.90
0.93488	-22998	-743.01
0.96705	-22962	-759.41
1.0000	-22888	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23748.708850448784
