PathParameter	MaxPathLikelihood	MLContribution
0.0000	-48479	-0.012932
2.1544e-07	-48562	-0.11574
2.1715e-06	-48337	-0.37020
8.3895e-06	-48317	-0.79235
2.1888e-05	-47635	-1.4038
4.6050e-05	-48268	-2.2046
8.4561e-05	-48282	-3.1809
0.00014136	-48056	-4.3838
0.00022061	-47928	-5.7680
0.00032669	-47634	-7.3159
0.00046416	-46594	-9.0390
0.00063774	-46899	-10.972
0.00085232	-46325	-13.126
0.0011130	-46140	-15.504
0.0014248	-46229	-18.075
0.0017932	-45897	-20.935
0.0022237	-45506	-23.993
0.0027216	-44723	-27.099
0.0032929	-44377	-30.657
0.0039432	-43900	-34.219
0.0046784	-42856	-37.698
0.0055047	-41619	-41.200
0.0064280	-39993	-43.718
0.0074546	-37557	-46.549
0.0085909	-37949	-50.526
0.0098431	-36089	-52.981
0.011218	-34985	-55.590
0.012722	-34142	-58.357
0.014361	-32481	-61.028
0.016143	-31221	-63.633
0.018075	-30665	-66.696
0.020162	-29086	-69.346
0.022413	-29608	-74.078
0.024834	-28121	-76.986
0.027432	-28373	-81.590
0.030215	-28177	-85.950
0.033190	-27733	-90.335
0.036364	-27448	-95.156
0.039745	-27171	-100.16
0.043339	-27060	-105.81
0.047156	-26918	-110.95
0.051201	-26571	-116.56
0.055484	-26632	-122.55
0.060011	-26412	-128.27
0.064790	-26263	-134.94
0.069830	-26151	-141.15
0.075138	-26165	-148.00
0.080722	-26065	-154.79
0.086591	-25959	-162.09
0.092751	-25959	-169.55
0.099213	-25947	-177.09
0.10598	-25839	-184.71
0.11307	-25776	-192.61
0.12048	-25701	-200.80
0.12823	-25685	-209.38
0.13631	-25659	-218.10
0.14475	-25593	-227.04
0.15355	-25602	-236.11
0.16271	-25548	-245.44
0.17226	-25530	-255.01
0.18218	-25517	-264.89
0.19250	-25497	-274.74
0.20322	-25485	-285.12
0.21436	-25480	-295.49
0.22591	-25445	-306.26
0.23789	-25430	-317.19
0.25031	-25407	-328.31
0.26318	-25413	-339.85
0.27650	-25393	-351.51
0.29029	-25389	-363.25
0.30455	-25373	-375.35
0.31930	-25371	-387.58
0.33454	-25353	-400.28
0.35028	-25337	-413.00
0.36653	-25307	-426.03
0.38330	-25319	-439.36
0.40060	-25308	-452.84
0.41844	-25312	-466.62
0.43683	-25302	-480.54
0.45578	-25298	-494.81
0.47530	-25298	-509.21
0.49539	-25285	-524.02
0.51608	-25285	-538.98
0.53735	-25271	-554.13
0.55924	-25272	-569.66
0.58174	-25262	-585.30
0.60487	-25265	-601.44
0.62863	-25260	-617.51
0.65304	-25253	-633.99
0.67811	-25246	-650.67
0.70384	-25241	-667.56
0.73025	-25238	-684.65
0.75734	-25241	-702.22
0.78513	-25225	-719.85
0.81363	-25221	-737.89
0.84284	-25217	-756.07
0.87278	-25186	-774.24
0.90345	-25195	-793.22
0.93488	-25199	-812.33
0.96705	-25101	-830.92
1.0000	-25125	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -25848.60015108467
