PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36368	-0.020404
2.1544e-07	-36119	-0.097521
2.1715e-06	-36180	-0.26915
8.3895e-06	-36322	-0.56444
2.1888e-05	-36765	-0.99521
4.6050e-05	-36260	-1.5602
8.4561e-05	-36418	-2.2774
0.00014136	-36466	-3.1413
0.00022061	-36565	-4.1748
0.00032669	-36129	-5.3493
0.00046416	-36128	-6.7021
0.00063774	-35887	-8.2352
0.00085232	-36093	-9.9383
0.0011130	-35600	-11.811
0.0014248	-35952	-13.886
0.0017932	-35717	-16.120
0.0022237	-35411	-18.555
0.0027216	-35187	-21.178
0.0032929	-35282	-23.989
0.0039432	-34868	-26.888
0.0046784	-34605	-30.004
0.0055047	-34017	-33.302
0.0064280	-34271	-36.721
0.0074546	-33823	-40.216
0.0085909	-32671	-43.474
0.0098431	-32286	-47.095
0.011218	-31127	-50.163
0.012722	-30955	-53.605
0.014361	-29576	-56.170
0.016143	-27767	-57.350
0.018075	-26519	-58.752
0.020162	-25757	-61.390
0.022413	-24489	-62.287
0.024834	-22546	-62.198
0.027432	-22415	-65.196
0.030215	-21437	-66.717
0.033190	-21361	-70.397
0.036364	-20911	-73.549
0.039745	-20841	-77.155
0.043339	-20358	-80.658
0.047156	-20428	-84.666
0.051201	-20471	-89.349
0.055484	-20181	-93.378
0.060011	-19961	-97.836
0.064790	-19992	-102.71
0.069830	-19967	-107.84
0.075138	-19850	-112.78
0.080722	-19918	-118.20
0.086591	-19838	-123.65
0.092751	-19764	-129.20
0.099213	-19710	-135.08
0.10598	-19714	-141.19
0.11307	-19709	-147.36
0.12048	-19697	-153.65
0.12823	-19652	-160.13
0.13631	-19638	-166.94
0.14475	-19608	-173.83
0.15355	-19591	-180.81
0.16271	-19601	-188.08
0.17226	-19570	-195.44
0.18218	-19571	-202.98
0.19250	-19539	-210.68
0.20322	-19544	-218.58
0.21436	-19529	-226.69
0.22591	-19519	-234.87
0.23789	-19497	-243.35
0.25031	-19498	-251.82
0.26318	-19479	-260.71
0.27650	-19491	-269.69
0.29029	-19467	-278.69
0.30455	-19472	-288.05
0.31930	-19456	-297.50
0.33454	-19463	-307.22
0.35028	-19446	-317.03
0.36653	-19438	-327.02
0.38330	-19427	-337.22
0.40060	-19424	-347.70
0.41844	-19421	-358.19
0.43683	-19408	-368.91
0.45578	-19422	-379.89
0.47530	-19418	-391.00
0.49539	-19412	-402.27
0.51608	-19397	-413.77
0.53735	-19392	-425.44
0.55924	-19404	-437.34
0.58174	-19391	-449.48
0.60487	-19392	-461.65
0.62863	-19389	-474.08
0.65304	-19390	-486.74
0.67811	-19381	-499.61
0.70384	-19373	-512.62
0.73025	-19361	-525.75
0.75734	-19362	-539.15
0.78513	-19365	-552.83
0.81363	-19363	-566.60
0.84284	-19353	-580.57
0.87278	-19350	-594.81
0.90345	-19326	-609.10
0.93488	-19329	-623.50
0.96705	-19266	-637.62
1.0000	9.5913e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19914.94908675928
