PathParameter	MaxPathLikelihood	MLContribution
0.0000	-37167	-0.034535
2.1544e-07	-36897	-0.10185
2.1715e-06	-37018	-0.28446
8.3895e-06	-37006	-0.57289
2.1888e-05	-37230	-1.0209
4.6050e-05	-37203	-1.6008
8.4561e-05	-37135	-2.3071
0.00014136	-36810	-3.2078
0.00022061	-36985	-4.2227
0.00032669	-37131	-5.4415
0.00046416	-36690	-6.8107
0.00063774	-36200	-8.3525
0.00085232	-36661	-10.079
0.0011130	-36501	-12.011
0.0014248	-36390	-14.103
0.0017932	-35684	-16.392
0.0022237	-36376	-18.890
0.0027216	-35812	-21.595
0.0032929	-35442	-24.417
0.0039432	-35600	-27.437
0.0046784	-35464	-30.666
0.0055047	-35192	-33.954
0.0064280	-34378	-37.401
0.0074546	-34001	-40.754
0.0085909	-33157	-44.247
0.0098431	-33176	-48.045
0.011218	-31259	-50.686
0.012722	-31153	-53.920
0.014361	-30071	-56.836
0.016143	-27923	-57.558
0.018075	-26482	-58.692
0.020162	-24797	-59.405
0.022413	-24050	-60.914
0.024834	-22667	-62.241
0.027432	-22394	-65.538
0.030215	-21635	-68.085
0.033190	-21484	-70.793
0.036364	-21219	-74.217
0.039745	-21087	-77.993
0.043339	-20805	-81.874
0.047156	-20714	-85.814
0.051201	-20566	-90.265
0.055484	-20504	-94.865
0.060011	-20376	-99.627
0.064790	-20446	-104.57
0.069830	-20276	-109.32
0.075138	-20212	-114.63
0.080722	-20180	-119.98
0.086591	-20161	-125.54
0.092751	-20097	-131.36
0.099213	-20044	-137.27
0.10598	-20059	-143.33
0.11307	-19977	-149.68
0.12048	-19991	-156.06
0.12823	-19945	-162.61
0.13631	-19953	-169.51
0.14475	-19900	-176.49
0.15355	-19910	-183.65
0.16271	-19899	-190.88
0.17226	-19877	-198.41
0.18218	-19854	-206.03
0.19250	-19857	-213.92
0.20322	-19835	-221.90
0.21436	-19826	-230.05
0.22591	-19810	-238.52
0.23789	-19815	-247.05
0.25031	-19809	-255.82
0.26318	-19789	-264.66
0.27650	-19775	-273.80
0.29029	-19784	-283.06
0.30455	-19777	-292.46
0.31930	-19760	-302.15
0.33454	-19751	-312.02
0.35028	-19747	-322.00
0.36653	-19750	-332.14
0.38330	-19751	-342.54
0.40060	-19747	-353.14
0.41844	-19727	-363.86
0.43683	-19731	-374.81
0.45578	-19735	-385.93
0.47530	-19723	-397.24
0.49539	-19714	-408.76
0.51608	-19722	-420.46
0.53735	-19718	-432.35
0.55924	-19714	-444.46
0.58174	-19716	-456.71
0.60487	-19700	-469.15
0.62863	-19703	-481.78
0.65304	-19694	-494.67
0.67811	-19697	-507.69
0.70384	-19694	-520.95
0.73025	-19685	-534.40
0.75734	-19689	-548.02
0.78513	-19683	-561.87
0.81363	-19679	-575.86
0.84284	-19663	-590.00
0.87278	-19656	-604.36
0.90345	-19662	-618.99
0.93488	-19626	-633.62
0.96705	-19567	-648.11
1.0000	51265	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20221.872122247365
