PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.2022e+05	-0.059073
2.1544e-07	-1.2069e+05	-0.35508
2.1715e-06	-1.2140e+05	-1.0767
8.3895e-06	-1.2253e+05	-2.2159
2.1888e-05	-1.1788e+05	-3.7676
4.6050e-05	-1.2127e+05	-5.5997
8.4561e-05	-1.1761e+05	-7.8470
0.00014136	-1.1772e+05	-10.453
0.00022061	-1.1386e+05	-13.614
0.00032669	-1.1449e+05	-17.177
0.00046416	-1.1296e+05	-21.271
0.00063774	-1.1017e+05	-25.884
0.00085232	-1.0596e+05	-30.553
0.0011130	-99576	-34.796
0.0014248	-98311	-38.987
0.0017932	-92678	-42.972
0.0022237	-88048	-47.146
0.0027216	-79899	-49.798
0.0032929	-76639	-53.814
0.0039432	-73068	-57.426
0.0046784	-69654	-62.004
0.0055047	-66483	-65.413
0.0064280	-61464	-67.938
0.0074546	-56288	-68.291
0.0085909	-54841	-72.061
0.0098431	-50775	-73.808
0.011218	-50032	-78.288
0.012722	-48788	-83.114
0.014361	-48259	-88.383
0.016143	-47131	-94.196
0.018075	-47069	-100.45
0.020162	-46333	-106.74
0.022413	-46089	-114.20
0.024834	-45736	-121.44
0.027432	-45500	-128.98
0.030215	-45399	-136.91
0.033190	-45059	-145.31
0.036364	-44931	-154.05
0.039745	-44747	-163.07
0.043339	-44633	-172.61
0.047156	-44369	-182.02
0.051201	-44378	-191.87
0.055484	-44304	-202.47
0.060011	-44165	-213.21
0.064790	-44061	-224.06
0.069830	-43995	-235.31
0.075138	-43917	-247.16
0.080722	-43841	-259.15
0.086591	-43820	-271.54
0.092751	-43756	-284.24
0.099213	-43659	-297.36
0.10598	-43590	-311.00
0.11307	-43562	-324.60
0.12048	-43523	-338.93
0.12823	-43496	-353.43
0.13631	-43470	-368.41
0.14475	-43408	-383.57
0.15355	-43392	-399.22
0.16271	-43334	-415.37
0.17226	-43366	-432.00
0.18218	-43325	-448.55
0.19250	-43322	-465.61
0.20322	-43281	-483.24
0.21436	-43278	-501.30
0.22591	-43223	-519.67
0.23789	-43238	-538.26
0.25031	-43203	-557.31
0.26318	-43196	-576.84
0.27650	-43184	-596.73
0.29029	-43139	-616.97
0.30455	-43150	-637.71
0.31930	-43114	-658.41
0.33454	-43130	-680.06
0.35028	-43098	-701.85
0.36653	-43093	-724.13
0.38330	-43094	-746.77
0.40060	-43087	-769.83
0.41844	-43074	-793.41
0.43683	-43066	-817.24
0.45578	-43060	-841.53
0.47530	-43051	-866.19
0.49539	-43045	-891.33
0.51608	-43032	-917.00
0.53735	-43026	-942.80
0.55924	-43030	-969.35
0.58174	-43021	-996.22
0.60487	-43019	-1023.2
0.62863	-43008	-1050.9
0.65304	-42998	-1078.9
0.67811	-43000	-1107.5
0.70384	-42985	-1136.3
0.73025	-42979	-1165.6
0.75734	-42976	-1195.4
0.78513	-42981	-1225.7
0.81363	-42975	-1256.4
0.84284	-42961	-1287.6
0.87278	-42957	-1319.0
0.90345	-42927	-1351.0
0.93488	-42917	-1383.2
0.96705	-42819	-1415.3
1.0000	2.8249e+26	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -43751.24233435374
