PathParameter	MaxPathLikelihood	MLContribution
0.0000	-40364	-0.0096292
2.1544e-07	-41498	-0.087299
2.1715e-06	-41543	-0.27759
8.3895e-06	-41924	-0.60466
2.1888e-05	-41789	-1.0802
4.6050e-05	-41690	-1.7200
8.4561e-05	-41293	-2.5361
0.00014136	-41202	-3.5345
0.00022061	-40896	-4.7065
0.00032669	-41029	-6.0720
0.00046416	-40820	-7.6602
0.00063774	-40330	-9.4221
0.00085232	-40818	-11.385
0.0011130	-40091	-13.504
0.0014248	-40074	-15.832
0.0017932	-39677	-18.287
0.0022237	-38555	-21.030
0.0027216	-39385	-23.888
0.0032929	-38054	-26.690
0.0039432	-37247	-29.806
0.0046784	-37221	-33.035
0.0055047	-36324	-35.911
0.0064280	-35453	-38.979
0.0074546	-33375	-41.664
0.0085909	-33324	-44.542
0.0098431	-31719	-46.715
0.011218	-29567	-48.020
0.012722	-28137	-49.354
0.014361	-27375	-51.840
0.016143	-25603	-52.453
0.018075	-25050	-54.946
0.020162	-23757	-56.103
0.022413	-22861	-58.537
0.024834	-22267	-60.999
0.027432	-21920	-63.529
0.030215	-21766	-66.752
0.033190	-21143	-69.505
0.036364	-20952	-73.190
0.039745	-20555	-76.570
0.043339	-20542	-80.657
0.047156	-20378	-84.478
0.051201	-20223	-88.723
0.055484	-20170	-93.299
0.060011	-20083	-97.729
0.064790	-19956	-102.50
0.069830	-19839	-107.40
0.075138	-19809	-112.55
0.080722	-19732	-117.58
0.086591	-19638	-123.18
0.092751	-19639	-128.56
0.099213	-19604	-134.34
0.10598	-19463	-140.14
0.11307	-19481	-146.19
0.12048	-19436	-152.41
0.12823	-19407	-158.66
0.13631	-19375	-165.16
0.14475	-19377	-171.78
0.15355	-19317	-178.63
0.16271	-19285	-185.56
0.17226	-19291	-192.79
0.18218	-19245	-200.10
0.19250	-19230	-207.63
0.20322	-19242	-215.35
0.21436	-19212	-223.14
0.22591	-19156	-231.21
0.23789	-19135	-239.28
0.25031	-19151	-247.67
0.26318	-19120	-256.13
0.27650	-19092	-264.86
0.29029	-19105	-273.84
0.30455	-19101	-282.75
0.31930	-19087	-291.96
0.33454	-19051	-301.37
0.35028	-19061	-310.97
0.36653	-19044	-320.72
0.38330	-19005	-330.56
0.40060	-19027	-340.68
0.41844	-19032	-350.99
0.43683	-19015	-361.40
0.45578	-19004	-372.05
0.47530	-19004	-383.01
0.49539	-18984	-393.83
0.51608	-18987	-405.09
0.53735	-18986	-416.49
0.55924	-18973	-428.02
0.58174	-18971	-439.66
0.60487	-18966	-451.71
0.62863	-18959	-463.79
0.65304	-18954	-476.17
0.67811	-18940	-488.55
0.70384	-18951	-501.39
0.73025	-18940	-514.14
0.75734	-18935	-527.28
0.78513	-18933	-540.45
0.81363	-18934	-554.00
0.84284	-18926	-567.50
0.87278	-18923	-581.35
0.90345	-18902	-595.16
0.93488	-18908	-609.62
0.96705	-18916	-624.17
1.0000	-18774	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19567.10311273361
