PathParameter	MaxPathLikelihood	MLContribution
0.0000	-45068	-0.010534
2.1544e-07	-45481	-0.095418
2.1715e-06	-45096	-0.30400
8.3895e-06	-44629	-0.65912
2.1888e-05	-45541	-1.1814
4.6050e-05	-45016	-1.8809
8.4561e-05	-45504	-2.7680
0.00014136	-44608	-3.8584
0.00022061	-45525	-5.1326
0.00032669	-44787	-6.6406
0.00046416	-44276	-8.3336
0.00063774	-43446	-10.250
0.00085232	-44285	-12.360
0.0011130	-44206	-14.680
0.0014248	-43603	-17.171
0.0017932	-42810	-19.815
0.0022237	-41634	-22.663
0.0027216	-41941	-25.633
0.0032929	-40518	-28.705
0.0039432	-40714	-32.029
0.0046784	-39782	-35.072
0.0055047	-38424	-38.200
0.0064280	-36680	-40.498
0.0074546	-35401	-43.356
0.0085909	-33566	-45.031
0.0098431	-30815	-46.746
0.011218	-29912	-49.106
0.012722	-27181	-48.460
0.014361	-27011	-51.169
0.016143	-25967	-53.026
0.018075	-24632	-55.064
0.020162	-23690	-56.850
0.022413	-23752	-60.101
0.024834	-23216	-62.497
0.027432	-22522	-65.124
0.030215	-21990	-68.667
0.033190	-22045	-72.380
0.036364	-21897	-76.181
0.039745	-21602	-80.028
0.043339	-21352	-84.165
0.047156	-21404	-88.567
0.051201	-21340	-93.203
0.055484	-21083	-97.702
0.060011	-21078	-102.84
0.064790	-20975	-107.45
0.069830	-20774	-112.86
0.075138	-20756	-117.99
0.080722	-20728	-123.59
0.086591	-20683	-129.21
0.092751	-20588	-134.95
0.099213	-20593	-140.97
0.10598	-20482	-147.14
0.11307	-20451	-153.33
0.12048	-20403	-159.85
0.12823	-20336	-166.64
0.13631	-20387	-173.51
0.14475	-20348	-180.38
0.15355	-20318	-187.64
0.16271	-20264	-194.83
0.17226	-20245	-202.30
0.18218	-20220	-210.22
0.19250	-20186	-217.85
0.20322	-20175	-226.01
0.21436	-20167	-234.23
0.22591	-20097	-242.64
0.23789	-20107	-251.20
0.25031	-20109	-259.95
0.26318	-20100	-268.91
0.27650	-20070	-278.12
0.29029	-20055	-287.24
0.30455	-20058	-296.85
0.31930	-20035	-306.58
0.33454	-20007	-316.40
0.35028	-20014	-326.49
0.36653	-20010	-336.77
0.38330	-19978	-347.18
0.40060	-19992	-357.79
0.41844	-19972	-368.56
0.43683	-19970	-379.57
0.45578	-19949	-390.72
0.47530	-19974	-402.25
0.49539	-19944	-413.64
0.51608	-19949	-425.51
0.53735	-19947	-437.52
0.55924	-19932	-449.45
0.58174	-19918	-461.81
0.60487	-19923	-474.41
0.62863	-19917	-487.11
0.65304	-19912	-500.09
0.67811	-19907	-513.20
0.70384	-19903	-526.41
0.73025	-19893	-540.15
0.75734	-19890	-553.73
0.78513	-19886	-567.67
0.81363	-19890	-581.93
0.84284	-19881	-596.18
0.87278	-19883	-610.76
0.90345	-19878	-625.48
0.93488	-19851	-640.10
0.96705	-19848	-655.50
1.0000	-19303	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -20527.02467282815
