PathParameter	MaxPathLikelihood	MLContribution
0.0000	-1.4207e+05	-0.034436
2.1544e-07	-1.4410e+05	-0.31405
2.1715e-06	-1.4044e+05	-0.99538
8.3895e-06	-1.4406e+05	-2.1558
2.1888e-05	-1.4222e+05	-3.8380
4.6050e-05	-1.3918e+05	-6.0509
8.4561e-05	-1.4149e+05	-8.8954
0.00014136	-1.3930e+05	-12.184
0.00022061	-1.3590e+05	-16.013
0.00032669	-1.3013e+05	-20.180
0.00046416	-1.2766e+05	-24.680
0.00063774	-1.2263e+05	-29.612
0.00085232	-1.1964e+05	-34.110
0.0011130	-1.1734e+05	-39.468
0.0014248	-1.0893e+05	-43.527
0.0017932	-1.0030e+05	-47.244
0.0022237	-91633	-50.051
0.0027216	-84589	-52.599
0.0032929	-78816	-54.699
0.0039432	-68006	-54.838
0.0046784	-65725	-57.144
0.0055047	-60653	-59.676
0.0064280	-58451	-63.398
0.0074546	-55052	-66.668
0.0085909	-53883	-71.374
0.0098431	-53790	-77.071
0.011218	-53367	-82.722
0.012722	-52162	-88.406
0.014361	-51618	-94.628
0.016143	-50905	-100.97
0.018075	-50466	-108.18
0.020162	-50370	-115.48
0.022413	-50013	-123.14
0.024834	-49538	-131.10
0.027432	-49344	-139.62
0.030215	-49037	-148.06
0.033190	-48829	-157.48
0.036364	-48704	-166.84
0.039745	-48522	-176.62
0.043339	-48192	-186.79
0.047156	-48246	-197.02
0.051201	-48143	-207.97
0.055484	-48036	-219.41
0.060011	-47922	-230.99
0.064790	-47793	-242.73
0.069830	-47725	-255.29
0.075138	-47641	-267.95
0.080722	-47524	-281.09
0.086591	-47547	-294.57
0.092751	-47470	-308.41
0.099213	-47421	-322.96
0.10598	-47317	-337.38
0.11307	-47335	-352.62
0.12048	-47314	-367.94
0.12823	-47248	-383.64
0.13631	-47179	-399.66
0.14475	-47182	-416.53
0.15355	-47110	-433.40
0.16271	-47126	-450.96
0.17226	-47043	-468.58
0.18218	-47051	-486.92
0.19250	-46997	-505.60
0.20322	-47035	-524.96
0.21436	-46997	-544.27
0.22591	-46977	-564.16
0.23789	-46948	-584.40
0.25031	-46933	-605.14
0.26318	-46901	-626.48
0.27650	-46925	-648.16
0.29029	-46907	-670.23
0.30455	-46892	-692.73
0.31930	-46874	-715.45
0.33454	-46872	-738.81
0.35028	-46871	-762.90
0.36653	-46865	-787.06
0.38330	-46849	-811.77
0.40060	-46845	-836.92
0.41844	-46839	-862.42
0.43683	-46817	-888.29
0.45578	-46812	-914.87
0.47530	-46808	-941.70
0.49539	-46804	-969.06
0.51608	-46802	-996.79
0.53735	-46791	-1025.1
0.55924	-46785	-1053.7
0.58174	-46781	-1082.8
0.60487	-46773	-1112.6
0.62863	-46773	-1142.8
0.65304	-46770	-1173.3
0.67811	-46756	-1204.1
0.70384	-46750	-1235.6
0.73025	-46748	-1267.6
0.75734	-46739	-1299.9
0.78513	-46743	-1333.0
0.81363	-46740	-1366.5
0.84284	-46737	-1400.1
0.87278	-46722	-1434.3
0.90345	-46721	-1469.0
0.93488	-46725	-1504.5
0.96705	-46722	-1540.3
1.0000	-46719	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -47480.35067705955
