PathParameter	MaxPathLikelihood	MLContribution
0.0000	-36440	-0.0083190
2.1544e-07	-36489	-0.075390
2.1715e-06	-36684	-0.24004
8.3895e-06	-35761	-0.52048
2.1888e-05	-35824	-0.93094
4.6050e-05	-36596	-1.4858
8.4561e-05	-36259	-2.1884
0.00014136	-36825	-3.0499
0.00022061	-36110	-4.0792
0.00032669	-36470	-5.2856
0.00046416	-36224	-6.6553
0.00063774	-35853	-8.2168
0.00085232	-36161	-9.9409
0.0011130	-35687	-11.854
0.0014248	-35676	-13.936
0.0017932	-35708	-16.208
0.0022237	-35533	-18.648
0.0027216	-35338	-21.271
0.0032929	-35263	-24.026
0.0039432	-34806	-26.929
0.0046784	-34405	-30.141
0.0055047	-33860	-33.104
0.0064280	-33471	-36.432
0.0074546	-32681	-39.324
0.0085909	-31885	-42.374
0.0098431	-30422	-44.727
0.011218	-29311	-47.797
0.012722	-28346	-49.400
0.014361	-26844	-50.975
0.016143	-25305	-51.566
0.018075	-24261	-53.315
0.020162	-23297	-55.113
0.022413	-22534	-57.098
0.024834	-21758	-59.076
0.027432	-20871	-60.652
0.030215	-20481	-63.310
0.033190	-20195	-66.542
0.036364	-20121	-70.254
0.039745	-19960	-73.980
0.043339	-19783	-77.554
0.047156	-19691	-81.612
0.051201	-19609	-85.852
0.055484	-19476	-90.029
0.060011	-19451	-94.658
0.064790	-19345	-99.335
0.069830	-19355	-104.24
0.075138	-19270	-109.14
0.080722	-19207	-114.36
0.086591	-19210	-119.78
0.092751	-19184	-125.38
0.099213	-19197	-131.08
0.10598	-19130	-136.87
0.11307	-19149	-143.01
0.12048	-19117	-149.17
0.12823	-19112	-155.53
0.13631	-19076	-162.04
0.14475	-19055	-168.69
0.15355	-19008	-175.54
0.16271	-19020	-182.58
0.17226	-19019	-189.79
0.18218	-19018	-197.19
0.19250	-19005	-204.66
0.20322	-18978	-212.35
0.21436	-18987	-220.25
0.22591	-18974	-228.26
0.23789	-18960	-236.44
0.25031	-18961	-244.85
0.26318	-18941	-253.41
0.27650	-18939	-262.12
0.29029	-18948	-271.07
0.30455	-18937	-280.12
0.31930	-18933	-289.35
0.33454	-18923	-298.80
0.35028	-18924	-308.40
0.36653	-18923	-318.16
0.38330	-18918	-328.10
0.40060	-18920	-338.29
0.41844	-18907	-348.54
0.43683	-18900	-359.08
0.45578	-18907	-369.74
0.47530	-18900	-380.61
0.49539	-18900	-391.63
0.51608	-18900	-402.86
0.53735	-18891	-414.26
0.55924	-18889	-425.82
0.58174	-18891	-437.66
0.60487	-18886	-449.60
0.62863	-18879	-461.73
0.65304	-18879	-474.07
0.67811	-18884	-486.59
0.70384	-18875	-499.27
0.73025	-18875	-512.20
0.75734	-18875	-525.30
0.78513	-18877	-538.55
0.81363	-18869	-551.99
0.84284	-18870	-565.63
0.87278	-18862	-579.51
0.90345	-18862	-593.52
0.93488	-18861	-607.74
0.96705	-18859	-622.13
1.0000	-18855	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -19346.839735283054
