PathParameter	MaxPathLikelihood	MLContribution
0.0000	-45721	-0.010405
2.1544e-07	-45167	-0.094457
2.1715e-06	-45625	-0.30017
8.3895e-06	-45398	-0.65093
2.1888e-05	-45685	-1.1641
4.6050e-05	-45323	-1.8582
8.4561e-05	-44677	-2.7338
0.00014136	-45744	-3.8148
0.00022061	-45178	-5.0985
0.00032669	-45404	-6.5985
0.00046416	-44821	-8.2790
0.00063774	-44517	-10.196
0.00085232	-44921	-12.363
0.0011130	-44427	-14.706
0.0014248	-43291	-17.287
0.0017932	-43985	-20.001
0.0022237	-43848	-23.019
0.0027216	-43322	-26.190
0.0032929	-42717	-29.465
0.0039432	-41886	-32.843
0.0046784	-41607	-36.368
0.0055047	-41037	-39.905
0.0064280	-40166	-43.543
0.0074546	-38222	-46.302
0.0085909	-37435	-50.082
0.0098431	-35409	-52.247
0.011218	-34261	-54.613
0.012722	-31712	-55.935
0.014361	-31144	-58.924
0.016143	-29444	-59.659
0.018075	-28274	-61.675
0.020162	-26644	-63.313
0.022413	-26120	-66.216
0.024834	-25826	-69.659
0.027432	-25247	-72.642
0.030215	-24991	-76.707
0.033190	-24675	-80.905
0.036364	-24169	-84.490
0.039745	-24217	-89.379
0.043339	-24060	-94.080
0.047156	-23897	-98.798
0.051201	-23793	-103.98
0.055484	-23729	-109.23
0.060011	-23638	-114.77
0.064790	-23517	-120.51
0.069830	-23427	-126.22
0.075138	-23349	-132.35
0.080722	-23282	-138.59
0.086591	-23258	-145.15
0.092751	-23206	-151.74
0.099213	-23201	-158.55
0.10598	-23138	-165.58
0.11307	-23137	-172.91
0.12048	-23102	-180.32
0.12823	-23056	-187.91
0.13631	-23025	-195.73
0.14475	-22985	-203.78
0.15355	-22977	-212.04
0.16271	-22961	-220.42
0.17226	-22909	-228.95
0.18218	-22892	-237.79
0.19250	-22887	-246.77
0.20322	-22875	-256.02
0.21436	-22852	-265.39
0.22591	-22841	-274.94
0.23789	-22829	-284.86
0.25031	-22796	-294.72
0.26318	-22783	-304.94
0.27650	-22797	-315.42
0.29029	-22771	-325.95
0.30455	-22744	-336.90
0.31930	-22730	-347.84
0.33454	-22740	-359.12
0.35028	-22722	-370.57
0.36653	-22728	-382.24
0.38330	-22708	-394.23
0.40060	-22711	-406.24
0.41844	-22705	-418.62
0.43683	-22683	-431.06
0.45578	-22676	-443.87
0.47530	-22678	-456.77
0.49539	-22673	-470.02
0.51608	-22668	-483.44
0.53735	-22659	-496.99
0.55924	-22657	-510.85
0.58174	-22658	-525.01
0.60487	-22646	-539.25
0.62863	-22639	-553.81
0.65304	-22631	-568.42
0.67811	-22634	-583.44
0.70384	-22633	-598.64
0.73025	-22625	-614.02
0.75734	-22630	-629.72
0.78513	-22621	-645.54
0.81363	-22621	-661.66
0.84284	-22617	-678.00
0.87278	-22614	-694.59
0.90345	-22608	-711.34
0.93488	-22608	-728.41
0.96705	-22606	-745.68
1.0000	-22602	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -23233.915598909596
