PathParameter	MaxPathLikelihood	MLContribution
0.0000	-67800	-0.016083
2.1544e-07	-66760	-0.14566
2.1715e-06	-66459	-0.46283
8.3895e-06	-66082	-1.0067
2.1888e-05	-66569	-1.7930
4.6050e-05	-67417	-2.8553
8.4561e-05	-66890	-4.1885
0.00014136	-63779	-5.8103
0.00022061	-65575	-7.7641
0.00032669	-65231	-9.9495
0.00046416	-64944	-12.362
0.00063774	-63488	-15.026
0.00085232	-62638	-17.926
0.0011130	-60986	-21.042
0.0014248	-58520	-24.204
0.0017932	-57592	-27.386
0.0022237	-55680	-30.219
0.0027216	-50883	-32.488
0.0032929	-48754	-35.138
0.0039432	-45529	-36.852
0.0046784	-42502	-38.558
0.0055047	-39875	-40.253
0.0064280	-37736	-41.887
0.0074546	-35403	-43.516
0.0085909	-32851	-44.817
0.0098431	-32126	-46.851
0.011218	-31600	-50.188
0.012722	-30565	-52.717
0.014361	-29811	-56.108
0.016143	-29522	-59.462
0.018075	-28647	-62.345
0.020162	-28499	-66.259
0.022413	-27970	-70.274
0.024834	-27718	-74.511
0.027432	-27483	-78.665
0.030215	-27281	-83.270
0.033190	-27035	-88.034
0.036364	-26942	-93.089
0.039745	-26813	-98.199
0.043339	-26551	-103.74
0.047156	-26572	-109.28
0.051201	-26473	-115.26
0.055484	-26486	-121.45
0.060011	-26432	-127.74
0.064790	-26336	-134.31
0.069830	-26288	-141.04
0.075138	-26202	-148.01
0.080722	-26184	-155.09
0.086591	-26120	-162.43
0.092751	-26060	-170.01
0.099213	-26050	-177.84
0.10598	-26030	-185.89
0.11307	-25986	-193.97
0.12048	-25937	-202.42
0.12823	-25938	-211.17
0.13631	-25887	-219.94
0.14475	-25876	-229.14
0.15355	-25843	-238.33
0.16271	-25836	-247.83
0.17226	-25795	-257.55
0.18218	-25770	-267.46
0.19250	-25764	-277.61
0.20322	-25735	-288.01
0.21436	-25742	-298.69
0.22591	-25735	-309.56
0.23789	-25695	-320.47
0.25031	-25701	-331.92
0.26318	-25676	-343.43
0.27650	-25664	-355.12
0.29029	-25654	-367.15
0.30455	-25656	-379.37
0.31930	-25627	-391.87
0.33454	-25633	-404.58
0.35028	-25621	-417.46
0.36653	-25603	-430.60
0.38330	-25599	-444.15
0.40060	-25582	-457.80
0.41844	-25581	-471.67
0.43683	-25587	-485.93
0.45578	-25569	-500.22
0.47530	-25574	-514.88
0.49539	-25563	-529.72
0.51608	-25550	-544.84
0.53735	-25549	-560.25
0.55924	-25545	-575.93
0.58174	-25541	-591.81
0.60487	-25533	-607.87
0.62863	-25532	-624.25
0.65304	-25533	-640.96
0.67811	-25524	-657.74
0.70384	-25520	-674.97
0.73025	-25515	-692.35
0.75734	-25515	-709.97
0.78513	-25514	-727.89
0.81363	-25509	-746.02
0.84284	-25502	-764.46
0.87278	-25497	-783.23
0.90345	-25501	-802.12
0.93488	-25490	-821.33
0.96705	-25473	-840.49
1.0000	-25412	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -26082.24866984889
