PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5851.1	-0.0040027
2.1544e-07	-5837.0	-0.018092
2.1715e-06	-5839.3	-0.042110
8.3895e-06	-5851.7	-0.091071
2.1888e-05	-5844.3	-0.15474
4.6050e-05	-5830.2	-0.24388
8.4561e-05	-5828.3	-0.35192
0.00014136	-5840.7	-0.48326
0.00022061	-5844.6	-0.64967
0.00032669	-5846.8	-0.83160
0.00046416	-5836.9	-1.0489
0.00063774	-5836.4	-1.2900
0.00085232	-5845.2	-1.5625
0.0011130	-5857.7	-1.8662
0.0014248	-5839.6	-2.2004
0.0017932	-5850.2	-2.5689
0.0022237	-5846.9	-2.9648
0.0027216	-5845.3	-3.3995
0.0032929	-5844.6	-3.8686
0.0039432	-5847.9	-4.3698
0.0046784	-5856.7	-4.9094
0.0055047	-5845.4	-5.4821
0.0064280	-5821.4	-6.0931
0.0074546	-5840.1	-6.7388
0.0085909	-5836.9	-7.4206
0.0098431	-5849.2	-8.1491
0.011218	-5827.2	-8.9030
0.012722	-5839.1	-9.6986
0.014361	-5837.2	-10.542
0.016143	-5844.8	-11.420
0.018075	-5824.9	-12.338
0.020162	-5834.4	-13.296
0.022413	-5825.9	-14.299
0.024834	-5830.8	-15.339
0.027432	-5832.0	-16.426
0.030215	-5817.5	-17.545
0.033190	-5826.2	-18.710
0.036364	-5827.6	-19.923
0.039745	-5826.1	-21.188
0.043339	-5828.1	-22.475
0.047156	-5817.7	-23.816
0.051201	-5812.1	-25.190
0.055484	-5814.6	-26.621
0.060011	-5809.2	-28.094
0.064790	-5802.4	-29.620
0.069830	-5795.1	-31.175
0.075138	-5815.5	-32.819
0.080722	-5783.2	-34.459
0.086591	-5801.3	-36.155
0.092751	-5790.9	-37.902
0.099213	-5792.0	-39.663
0.10598	-5797.6	-41.517
0.11307	-5797.9	-43.400
0.12048	-5791.5	-45.277
0.12823	-5793.3	-47.290
0.13631	-5777.7	-49.281
0.14475	-5769.8	-51.384
0.15355	-5750.5	-53.460
0.16271	-5754.8	-55.663
0.17226	-5728.5	-57.776
0.18218	-5761.6	-60.069
0.19250	-5740.3	-62.241
0.20322	-5749.9	-64.720
0.21436	-5696.0	-66.865
0.22591	-5737.2	-69.463
0.23789	-5717.7	-71.798
0.25031	-5700.3	-74.277
0.26318	-5710.3	-76.891
0.27650	-5678.5	-79.348
0.29029	-5689.9	-81.910
0.30455	-5667.7	-84.558
0.31930	-5689.1	-87.529
0.33454	-5676.9	-90.051
0.35028	-5650.9	-92.573
0.36653	-5637.2	-95.460
0.38330	-5641.3	-98.405
0.40060	-5626.7	-101.39
0.41844	-5625.8	-104.04
0.43683	-5625.1	-107.37
0.45578	-5621.2	-110.17
0.47530	-5639.6	-113.84
0.49539	-5621.5	-116.93
0.51608	-5624.1	-120.19
0.53735	-5621.5	-123.41
0.55924	-5618.8	-127.02
0.58174	-5617.8	-130.28
0.60487	-5620.6	-133.91
0.62863	-5618.4	-137.53
0.65304	-5611.3	-141.23
0.67811	-5615.1	-144.92
0.70384	-5607.2	-148.67
0.73025	-5601.2	-152.52
0.75734	-5604.3	-156.45
0.78513	-5599.7	-160.53
0.81363	-5599.9	-164.41
0.84284	-5607.1	-168.47
0.87278	-5596.1	-172.56
0.90345	-5576.5	-176.79
0.93488	-5546.4	-180.71
0.96705	-5475.5	-183.63
1.0000	-5408.8	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5702.580581313915
