PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5551.2	-0.0084232
2.1544e-07	-5553.4	-0.032946
2.1715e-06	-5551.3	-0.049201
8.3895e-06	-5552.3	-0.091945
2.1888e-05	-5549.7	-0.15820
4.6050e-05	-5548.9	-0.23527
8.4561e-05	-5552.3	-0.33580
0.00014136	-5552.4	-0.46593
0.00022061	-5552.2	-0.61461
0.00032669	-5552.5	-0.79371
0.00046416	-5551.0	-0.99453
0.00063774	-5546.8	-1.2203
0.00085232	-5551.0	-1.4788
0.0011130	-5550.4	-1.7661
0.0014248	-5549.5	-2.0793
0.0017932	-5553.1	-2.4234
0.0022237	-5549.3	-2.8043
0.0027216	-5550.8	-3.2104
0.0032929	-5552.3	-3.6535
0.0039432	-5548.1	-4.1244
0.0046784	-5550.2	-4.6341
0.0055047	-5550.5	-5.1765
0.0064280	-5545.5	-5.7494
0.0074546	-5550.9	-6.3632
0.0085909	-5552.8	-7.0108
0.0098431	-5549.9	-7.6914
0.011218	-5550.8	-8.4106
0.012722	-5549.2	-9.1657
0.014361	-5551.0	-9.9542
0.016143	-5550.7	-10.790
0.018075	-5551.0	-11.656
0.020162	-5545.9	-12.562
0.022413	-5548.1	-13.511
0.024834	-5547.7	-14.494
0.027432	-5548.9	-15.523
0.030215	-5550.0	-16.593
0.033190	-5550.5	-17.696
0.036364	-5548.3	-18.844
0.039745	-5549.7	-20.030
0.043339	-5547.1	-21.260
0.047156	-5548.5	-22.535
0.051201	-5547.2	-23.850
0.055484	-5548.6	-25.205
0.060011	-5546.4	-26.610
0.064790	-5549.7	-28.055
0.069830	-5548.9	-29.548
0.075138	-5546.2	-31.075
0.080722	-5549.5	-32.656
0.086591	-5548.6	-34.280
0.092751	-5547.3	-35.948
0.099213	-5546.9	-37.658
0.10598	-5548.6	-39.420
0.11307	-5546.4	-41.227
0.12048	-5547.9	-43.077
0.12823	-5547.4	-44.976
0.13631	-5549.2	-46.922
0.14475	-5545.1	-48.913
0.15355	-5546.2	-50.957
0.16271	-5547.8	-53.047
0.17226	-5546.2	-55.182
0.18218	-5544.3	-57.367
0.19250	-5545.4	-59.598
0.20322	-5548.3	-61.886
0.21436	-5543.8	-64.213
0.22591	-5547.0	-66.597
0.23789	-5547.2	-69.029
0.25031	-5546.3	-71.506
0.26318	-5543.9	-74.036
0.27650	-5544.7	-76.623
0.29029	-5544.6	-79.230
0.30455	-5545.8	-81.935
0.31930	-5541.1	-84.663
0.33454	-5545.1	-87.454
0.35028	-5543.0	-90.284
0.36653	-5543.0	-93.169
0.38330	-5542.0	-96.116
0.40060	-5541.6	-99.109
0.41844	-5542.9	-102.14
0.43683	-5539.4	-105.25
0.45578	-5540.1	-108.42
0.47530	-5540.5	-111.62
0.49539	-5542.2	-114.86
0.51608	-5540.9	-118.18
0.53735	-5541.7	-121.53
0.55924	-5539.1	-124.96
0.58174	-5533.8	-128.45
0.60487	-5534.9	-131.93
0.62863	-5531.9	-135.51
0.65304	-5535.2	-139.14
0.67811	-5533.6	-142.82
0.70384	-5533.3	-146.57
0.73025	-5520.8	-150.37
0.75734	-5523.6	-154.22
0.78513	-5519.2	-158.10
0.81363	-5509.9	-161.98
0.84284	-5516.5	-166.06
0.87278	-5502.8	-170.00
0.90345	-5514.7	-174.23
0.93488	-5486.4	-178.02
0.96705	-5445.9	-182.28
1.0000	7.1048e+14	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5554.276871674433
