PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5759.9	-0.0015638
2.1544e-07	-5744.2	-0.014211
2.1715e-06	-5758.0	-0.042205
8.3895e-06	-5744.9	-0.088137
2.1888e-05	-5757.1	-0.15238
4.6050e-05	-5748.2	-0.23776
8.4561e-05	-5759.0	-0.34785
0.00014136	-5752.0	-0.47821
0.00022061	-5755.2	-0.63334
0.00032669	-5747.2	-0.81840
0.00046416	-5745.2	-1.0293
0.00063774	-5740.5	-1.2670
0.00085232	-5753.7	-1.5384
0.0011130	-5743.6	-1.8341
0.0014248	-5744.0	-2.1622
0.0017932	-5753.4	-2.5240
0.0022237	-5752.5	-2.9207
0.0027216	-5729.2	-3.3448
0.0032929	-5736.9	-3.8026
0.0039432	-5748.5	-4.2967
0.0046784	-5746.4	-4.8256
0.0055047	-5749.7	-5.3895
0.0064280	-5719.3	-5.9879
0.0074546	-5746.1	-6.6247
0.0085909	-5746.0	-7.2971
0.0098431	-5747.3	-8.0070
0.011218	-5745.4	-8.7536
0.012722	-5745.1	-9.5442
0.014361	-5746.9	-10.369
0.016143	-5746.9	-11.231
0.018075	-5735.2	-12.134
0.020162	-5724.6	-13.080
0.022413	-5706.2	-14.063
0.024834	-5730.4	-15.090
0.027432	-5745.3	-16.159
0.030215	-5731.1	-17.262
0.033190	-5722.2	-18.412
0.036364	-5726.9	-19.612
0.039745	-5734.2	-20.842
0.043339	-5731.7	-22.114
0.047156	-5728.3	-23.437
0.051201	-5728.7	-24.804
0.055484	-5726.4	-26.199
0.060011	-5702.1	-27.652
0.064790	-5722.8	-29.147
0.069830	-5716.3	-30.685
0.075138	-5703.2	-32.266
0.080722	-5689.4	-33.894
0.086591	-5706.3	-35.569
0.092751	-5706.6	-37.284
0.099213	-5702.4	-39.050
0.10598	-5666.8	-40.838
0.11307	-5701.6	-42.701
0.12048	-5680.6	-44.581
0.12823	-5690.9	-46.514
0.13631	-5675.5	-48.493
0.14475	-5674.4	-50.547
0.15355	-5672.6	-52.665
0.16271	-5657.3	-54.722
0.17226	-5660.0	-56.902
0.18218	-5651.0	-59.024
0.19250	-5629.6	-61.314
0.20322	-5649.7	-63.604
0.21436	-5627.3	-65.873
0.22591	-5652.2	-68.358
0.23789	-5630.4	-70.701
0.25031	-5621.8	-73.127
0.26318	-5611.3	-75.635
0.27650	-5607.0	-78.126
0.29029	-5610.8	-80.741
0.30455	-5604.1	-83.444
0.31930	-5604.2	-86.072
0.33454	-5599.7	-88.794
0.35028	-5601.3	-91.539
0.36653	-5596.0	-94.428
0.38330	-5598.9	-97.236
0.40060	-5598.3	-100.28
0.41844	-5595.4	-103.29
0.43683	-5595.1	-106.44
0.45578	-5597.0	-109.54
0.47530	-5594.7	-112.68
0.49539	-5584.9	-116.02
0.51608	-5589.8	-119.36
0.53735	-5596.3	-122.75
0.55924	-5590.0	-126.16
0.58174	-5595.7	-129.66
0.60487	-5591.6	-133.22
0.62863	-5586.7	-136.82
0.65304	-5594.0	-140.54
0.67811	-5580.3	-144.22
0.70384	-5588.0	-148.00
0.73025	-5581.9	-151.84
0.75734	-5573.8	-155.70
0.78513	-5586.2	-159.67
0.81363	-5578.5	-163.64
0.84284	-5557.5	-167.65
0.87278	-5549.4	-171.75
0.90345	-5551.8	-175.89
0.93488	-5516.5	-180.05
0.96705	-5457.4	-184.05
1.0000	1.6641e+20	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5649.535908939957
