PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5703.5	-0.0031522
2.1544e-07	-5694.7	-0.019289
2.1715e-06	-5708.5	-0.043232
8.3895e-06	-5701.2	-0.088110
2.1888e-05	-5694.0	-0.15197
4.6050e-05	-5705.4	-0.23723
8.4561e-05	-5698.1	-0.34169
0.00014136	-5699.9	-0.47333
0.00022061	-5705.1	-0.62890
0.00032669	-5695.6	-0.80852
0.00046416	-5697.9	-1.0157
0.00063774	-5708.8	-1.2532
0.00085232	-5695.8	-1.5193
0.0011130	-5703.7	-1.8153
0.0014248	-5698.0	-2.1399
0.0017932	-5692.4	-2.4963
0.0022237	-5699.5	-2.8817
0.0027216	-5701.8	-3.3069
0.0032929	-5699.1	-3.7584
0.0039432	-5704.8	-4.2458
0.0046784	-5681.2	-4.7699
0.0055047	-5698.7	-5.3264
0.0064280	-5695.4	-5.9217
0.0074546	-5676.1	-6.5503
0.0085909	-5671.7	-7.2170
0.0098431	-5696.8	-7.9213
0.011218	-5695.3	-8.6552
0.012722	-5695.4	-9.4373
0.014361	-5695.0	-10.256
0.016143	-5694.5	-11.109
0.018075	-5698.7	-12.001
0.020162	-5692.4	-12.940
0.022413	-5667.6	-13.912
0.024834	-5689.0	-14.923
0.027432	-5695.9	-15.982
0.030215	-5689.2	-17.085
0.033190	-5684.6	-18.222
0.036364	-5690.7	-19.403
0.039745	-5687.0	-20.625
0.043339	-5681.3	-21.891
0.047156	-5691.8	-23.209
0.051201	-5677.5	-24.553
0.055484	-5685.6	-25.955
0.060011	-5678.3	-27.393
0.064790	-5674.1	-28.873
0.069830	-5679.1	-30.405
0.075138	-5684.3	-31.979
0.080722	-5676.7	-33.604
0.086591	-5670.3	-35.268
0.092751	-5657.5	-36.983
0.099213	-5674.3	-38.736
0.10598	-5663.7	-40.545
0.11307	-5670.5	-42.390
0.12048	-5674.0	-44.283
0.12823	-5662.0	-46.216
0.13631	-5665.3	-48.192
0.14475	-5656.8	-50.229
0.15355	-5654.5	-52.280
0.16271	-5656.9	-54.465
0.17226	-5651.9	-56.605
0.18218	-5639.2	-58.760
0.19250	-5636.0	-61.026
0.20322	-5640.6	-63.338
0.21436	-5641.5	-65.753
0.22591	-5640.9	-68.117
0.23789	-5627.8	-70.520
0.25031	-5615.1	-72.955
0.26318	-5616.9	-75.467
0.27650	-5617.5	-78.041
0.29029	-5613.0	-80.681
0.30455	-5606.7	-83.400
0.31930	-5605.7	-86.012
0.33454	-5604.9	-88.753
0.35028	-5600.5	-91.564
0.36653	-5598.9	-94.435
0.38330	-5602.0	-97.469
0.40060	-5597.4	-100.25
0.41844	-5596.8	-103.33
0.43683	-5599.1	-106.50
0.45578	-5596.6	-109.51
0.47530	-5594.3	-112.72
0.49539	-5596.5	-116.13
0.51608	-5594.8	-119.35
0.53735	-5594.2	-122.69
0.55924	-5597.9	-126.19
0.58174	-5586.8	-129.67
0.60487	-5592.1	-133.25
0.62863	-5588.4	-136.82
0.65304	-5589.9	-140.53
0.67811	-5593.4	-144.23
0.70384	-5585.8	-148.01
0.73025	-5580.8	-151.82
0.75734	-5583.0	-155.73
0.78513	-5582.1	-159.65
0.81363	-5580.7	-163.68
0.84284	-5566.5	-167.71
0.87278	-5552.8	-171.80
0.90345	-5548.1	-175.85
0.93488	-5552.4	-180.02
0.96705	-5462.6	-183.79
1.0000	18196	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5639.072667020127
