PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5661.5	-0.0046285
2.1544e-07	-5658.0	-0.015337
2.1715e-06	-5664.1	-0.042379
8.3895e-06	-5659.3	-0.084524
2.1888e-05	-5664.7	-0.14547
4.6050e-05	-5661.2	-0.22881
8.4561e-05	-5661.1	-0.33558
0.00014136	-5656.2	-0.46257
0.00022061	-5662.7	-0.61994
0.00032669	-5657.1	-0.79745
0.00046416	-5661.3	-1.0087
0.00063774	-5657.2	-1.2359
0.00085232	-5660.9	-1.4985
0.0011130	-5655.9	-1.7890
0.0014248	-5659.4	-2.1116
0.0017932	-5660.3	-2.4675
0.0022237	-5659.9	-2.8503
0.0027216	-5661.1	-3.2675
0.0032929	-5659.1	-3.7175
0.0039432	-5655.5	-4.2022
0.0046784	-5664.1	-4.7184
0.0055047	-5658.3	-5.2710
0.0064280	-5659.7	-5.8583
0.0074546	-5660.1	-6.4828
0.0085909	-5654.9	-7.1422
0.0098431	-5666.2	-7.8365
0.011218	-5660.6	-8.5735
0.012722	-5661.8	-9.3425
0.014361	-5660.2	-10.152
0.016143	-5659.1	-11.000
0.018075	-5662.0	-11.886
0.020162	-5656.6	-12.813
0.022413	-5664.7	-13.781
0.024834	-5660.3	-14.785
0.027432	-5654.9	-15.837
0.030215	-5654.3	-16.921
0.033190	-5658.4	-18.051
0.036364	-5656.8	-19.223
0.039745	-5654.1	-20.438
0.043339	-5659.2	-21.696
0.047156	-5654.3	-22.995
0.051201	-5652.2	-24.338
0.055484	-5654.3	-25.725
0.060011	-5659.7	-27.158
0.064790	-5655.6	-28.630
0.069830	-5651.5	-30.152
0.075138	-5652.5	-31.718
0.080722	-5652.9	-33.327
0.086591	-5647.2	-34.984
0.092751	-5656.0	-36.689
0.099213	-5655.5	-38.433
0.10598	-5641.7	-40.235
0.11307	-5653.6	-42.073
0.12048	-5655.1	-43.966
0.12823	-5652.8	-45.902
0.13631	-5653.0	-47.888
0.14475	-5646.3	-49.921
0.15355	-5651.0	-52.001
0.16271	-5646.4	-54.134
0.17226	-5646.8	-56.301
0.18218	-5647.4	-58.537
0.19250	-5646.7	-60.803
0.20322	-5644.9	-63.130
0.21436	-5635.7	-65.526
0.22591	-5642.5	-67.927
0.23789	-5639.6	-70.405
0.25031	-5638.0	-72.911
0.26318	-5640.8	-75.461
0.27650	-5634.1	-78.102
0.29029	-5638.6	-80.799
0.30455	-5626.8	-83.493
0.31930	-5629.5	-86.232
0.33454	-5628.8	-89.115
0.35028	-5627.7	-91.945
0.36653	-5624.2	-94.886
0.38330	-5627.4	-97.838
0.40060	-5627.1	-100.80
0.41844	-5628.1	-103.93
0.43683	-5625.0	-106.99
0.45578	-5620.4	-110.11
0.47530	-5624.3	-113.40
0.49539	-5620.3	-116.60
0.51608	-5621.1	-119.94
0.53735	-5622.2	-123.47
0.55924	-5616.9	-126.82
0.58174	-5618.8	-130.27
0.60487	-5618.7	-133.90
0.62863	-5618.5	-137.48
0.65304	-5615.1	-141.18
0.67811	-5609.1	-144.91
0.70384	-5610.1	-148.72
0.73025	-5601.0	-152.60
0.75734	-5608.4	-156.43
0.78513	-5595.1	-160.40
0.81363	-5600.0	-164.40
0.84284	-5585.3	-168.46
0.87278	-5600.8	-172.57
0.90345	-5562.8	-176.65
0.93488	-5557.7	-180.74
0.96705	-5521.1	-184.83
1.0000	7933.3	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5647.983703689105
