PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5675.6	-0.0021005
2.1544e-07	-5665.3	-0.015881
2.1715e-06	-5673.6	-0.044982
8.3895e-06	-5665.3	-0.086739
2.1888e-05	-5676.9	-0.14796
4.6050e-05	-5671.9	-0.23183
8.4561e-05	-5675.6	-0.33606
0.00014136	-5676.5	-0.46807
0.00022061	-5659.6	-0.62558
0.00032669	-5677.8	-0.80317
0.00046416	-5660.4	-1.0090
0.00063774	-5665.2	-1.2463
0.00085232	-5675.3	-1.5108
0.0011130	-5666.5	-1.8000
0.0014248	-5677.7	-2.1242
0.0017932	-5672.0	-2.4791
0.0022237	-5657.2	-2.8644
0.0027216	-5671.1	-3.2852
0.0032929	-5649.4	-3.7370
0.0039432	-5665.4	-4.2215
0.0046784	-5664.2	-4.7386
0.0055047	-5674.6	-5.2954
0.0064280	-5667.2	-5.8844
0.0074546	-5676.2	-6.5089
0.0085909	-5666.1	-7.1722
0.0098431	-5668.8	-7.8674
0.011218	-5665.4	-8.6080
0.012722	-5669.2	-9.3794
0.014361	-5666.4	-10.193
0.016143	-5670.9	-11.044
0.018075	-5664.6	-11.931
0.020162	-5655.6	-12.860
0.022413	-5669.7	-13.831
0.024834	-5663.3	-14.843
0.027432	-5664.9	-15.888
0.030215	-5666.0	-16.977
0.033190	-5655.8	-18.114
0.036364	-5662.3	-19.292
0.039745	-5657.6	-20.506
0.043339	-5663.6	-21.775
0.047156	-5667.8	-23.068
0.051201	-5658.0	-24.420
0.055484	-5660.2	-25.807
0.060011	-5653.6	-27.245
0.064790	-5656.5	-28.723
0.069830	-5659.7	-30.239
0.075138	-5658.6	-31.809
0.080722	-5653.4	-33.424
0.086591	-5660.0	-35.081
0.092751	-5658.5	-36.789
0.099213	-5655.2	-38.537
0.10598	-5649.0	-40.346
0.11307	-5650.3	-42.172
0.12048	-5642.6	-44.045
0.12823	-5648.6	-46.007
0.13631	-5647.3	-47.975
0.14475	-5627.8	-49.989
0.15355	-5628.9	-52.052
0.16271	-5615.4	-54.166
0.17226	-5640.1	-56.367
0.18218	-5633.8	-58.561
0.19250	-5619.3	-60.836
0.20322	-5623.1	-63.088
0.21436	-5634.0	-65.531
0.22591	-5617.6	-67.935
0.23789	-5614.0	-70.300
0.25031	-5615.1	-72.773
0.26318	-5606.5	-75.332
0.27650	-5605.1	-77.971
0.29029	-5590.9	-80.456
0.30455	-5604.3	-83.214
0.31930	-5602.1	-85.933
0.33454	-5590.7	-88.575
0.35028	-5586.1	-91.299
0.36653	-5590.4	-94.280
0.38330	-5591.3	-97.376
0.40060	-5598.3	-100.28
0.41844	-5581.2	-103.12
0.43683	-5585.1	-106.21
0.45578	-5582.9	-109.46
0.47530	-5581.5	-112.50
0.49539	-5584.9	-115.89
0.51608	-5580.4	-119.13
0.53735	-5578.9	-122.44
0.55924	-5580.8	-126.00
0.58174	-5577.9	-129.38
0.60487	-5577.5	-132.97
0.62863	-5577.2	-136.54
0.65304	-5574.9	-140.20
0.67811	-5572.6	-143.90
0.70384	-5574.5	-147.67
0.73025	-5568.1	-151.48
0.75734	-5556.2	-155.36
0.78513	-5566.5	-159.30
0.81363	-5563.3	-163.26
0.84284	-5549.3	-167.31
0.87278	-5559.4	-171.40
0.90345	-5551.2	-175.51
0.93488	-5504.7	-179.66
0.96705	-5509.7	-183.55
1.0000	3.7696e+09	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5623.977148963237
