# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 16:42:11 AEST 2019 [seed=1557470530614]
# -overwrite GSS_strict_dates_utlra_clock_sim_9.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-11402.277754074863	-99.45577560973223	-11302.82197846513	4.174093668082323	-1.2675857087257927	27.109198908676007	1.0	0.0	0.5	0.25	0.25	-11302.82197846513	0.0	-88.83402449092739
5000	-5710.530105210806	-3.3618841591605078	-5707.168221051646	3.111460076575428	-0.20495211721889772	16.260899603635675	0.48779174877833265	0.17434539692848006	0.12026314969020768	2.1996900710699314E-4	2.1996900710699322E-4	-5707.168221051646	0.0	-3.366416186065572
10000	-5732.406143947272	-37.281798664496876	-5695.124345282775	3.1847394997082787	-0.2782315403517486	19.32936993589846	1.0448061217807387	0.41659598786723917	0.06953646844920089	1.573246964504982E-4	1.5732469645049837E-4	-5695.124345282775	0.0	-37.394517790124695
15000	-5746.727403124362	-53.11686113690745	-5693.610541987455	3.1980787759245	-0.2915708165679698	21.592123464040807	1.8959845603629641	0.7643755382436379	0.14710137140434829	1.1299438510669605E-4	1.1299438510669614E-4	-5693.610541987455	0.0	-52.93959860441188
20000	-5726.825626457691	-33.79970213638886	-5693.025924321302	3.0654203272466534	-0.1589123678901232	19.75969898533085	2.2594719341439435	0.9905417049848413	0.3667837591019373	1.6557848329031138E-4	1.6557848329031157E-4	-5693.025924321302	0.0	-32.71704614144072
25000	-5737.386353955206	-45.08498762742722	-5692.301366327779	3.410929092974387	-0.504421133617857	21.55333823249565	2.5771700993602824	1.0021974357198253	0.29776444197795093	2.2998423325666667E-4	2.2998423325666667E-4	-5692.301366327779	0.0	-44.003012806579406
30000	-5757.768151205526	-61.984560086651655	-5695.783591118874	3.1020727699659507	-0.19556481060942055	24.054049678557742	5.48099739850078	1.281059327380691	0.0211846726861399	2.152995481098864E-4	2.1529954810988638E-4	-5695.783591118874	0.0	-61.23549929531629
35000	-5797.705541240694	-101.94323864124819	-5695.762302599446	3.0482600182269692	-0.14175205887043907	26.969671568580857	5.449917585463494	1.0599829344450176	0.007920348696936455	7.294887010803907E-5	7.294887010803903E-5	-5695.762302599446	0.0	-102.04364566314266
40000	-5808.358819413993	-116.58396324246803	-5691.774856171525	3.120753729508529	-0.21424577015199864	29.706471708783283	4.603462536648527	0.869159771172739	0.026385131582341965	8.546319905199737E-5	8.546319905199744E-5	-5691.774856171525	0.0	-116.81531945368106
45000	-5817.90018826997	-123.60220012212348	-5694.297988147847	3.4497426598125336	-0.5432347004560034	30.98984434872594	6.427158132806467	0.835243788175549	0.06987739162161383	9.680085142463125E-5	9.680085142463125E-5	-5694.297988147847	0.0	-123.72065215574086
