PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5578.3	-0.0098759
2.1544e-07	-5575.9	-0.024735
2.1715e-06	-5577.5	-0.051206
8.3895e-06	-5578.2	-0.092765
2.1888e-05	-5577.6	-0.15128
4.6050e-05	-5578.3	-0.23415
8.4561e-05	-5576.7	-0.33753
0.00014136	-5576.8	-0.46617
0.00022061	-5577.2	-0.61299
0.00032669	-5576.0	-0.79370
0.00046416	-5577.9	-0.99456
0.00063774	-5577.1	-1.2232
0.00085232	-5578.5	-1.4840
0.0011130	-5575.8	-1.7706
0.0014248	-5577.4	-2.0860
0.0017932	-5575.3	-2.4365
0.0022237	-5576.6	-2.8134
0.0027216	-5576.6	-3.2275
0.0032929	-5573.6	-3.6673
0.0039432	-5573.2	-4.1422
0.0046784	-5576.5	-4.6567
0.0055047	-5577.1	-5.1974
0.0064280	-5576.6	-5.7759
0.0074546	-5575.3	-6.3903
0.0085909	-5574.5	-7.0413
0.0098431	-5577.2	-7.7205
0.011218	-5577.7	-8.4420
0.012722	-5575.7	-9.2063
0.014361	-5577.1	-9.9981
0.016143	-5576.0	-10.831
0.018075	-5577.4	-11.707
0.020162	-5576.0	-12.616
0.022413	-5577.7	-13.566
0.024834	-5576.4	-14.561
0.027432	-5575.8	-15.588
0.030215	-5575.2	-16.657
0.033190	-5576.1	-17.769
0.036364	-5577.1	-18.919
0.039745	-5576.1	-20.117
0.043339	-5575.7	-21.356
0.047156	-5573.9	-22.630
0.051201	-5574.7	-23.953
0.055484	-5573.1	-25.317
0.060011	-5574.5	-26.726
0.064790	-5573.6	-28.178
0.069830	-5575.6	-29.675
0.075138	-5573.6	-31.211
0.080722	-5574.1	-32.798
0.086591	-5574.7	-34.430
0.092751	-5574.3	-36.107
0.099213	-5574.1	-37.832
0.10598	-5575.7	-39.596
0.11307	-5575.0	-41.411
0.12048	-5574.5	-43.274
0.12823	-5570.5	-45.179
0.13631	-5575.0	-47.130
0.14475	-5573.3	-49.138
0.15355	-5573.1	-51.186
0.16271	-5574.4	-53.285
0.17226	-5573.9	-55.432
0.18218	-5572.3	-57.630
0.19250	-5573.7	-59.872
0.20322	-5575.4	-62.163
0.21436	-5575.0	-64.508
0.22591	-5570.8	-66.899
0.23789	-5573.7	-69.343
0.25031	-5572.6	-71.834
0.26318	-5570.0	-74.378
0.27650	-5574.0	-76.975
0.29029	-5569.5	-79.616
0.30455	-5571.0	-82.313
0.31930	-5567.8	-85.065
0.33454	-5571.4	-87.857
0.35028	-5563.9	-90.707
0.36653	-5570.2	-93.608
0.38330	-5571.4	-96.570
0.40060	-5570.9	-99.572
0.41844	-5569.9	-102.64
0.43683	-5568.4	-105.75
0.45578	-5568.0	-108.91
0.47530	-5568.9	-112.13
0.49539	-5565.4	-115.41
0.51608	-5569.7	-118.74
0.53735	-5567.4	-122.12
0.55924	-5561.3	-125.56
0.58174	-5565.9	-129.05
0.60487	-5565.5	-132.58
0.62863	-5558.7	-136.17
0.65304	-5565.3	-139.83
0.67811	-5560.3	-143.55
0.70384	-5561.6	-147.32
0.73025	-5558.0	-151.10
0.75734	-5559.1	-155.00
0.78513	-5553.0	-158.90
0.81363	-5549.4	-162.89
0.84284	-5548.4	-166.92
0.87278	-5540.4	-170.96
0.90345	-5544.0	-175.09
0.93488	-5508.1	-179.22
0.96705	-5463.5	-183.10
1.0000	6.5365e+167	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5581.0713151521895
