PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5656.8	-0.0036826
2.1544e-07	-5656.3	-0.022335
2.1715e-06	-5660.5	-0.045976
8.3895e-06	-5659.9	-0.089074
2.1888e-05	-5654.6	-0.15288
4.6050e-05	-5658.7	-0.23674
8.4561e-05	-5655.3	-0.33957
0.00014136	-5659.2	-0.46973
0.00022061	-5657.3	-0.62344
0.00032669	-5657.9	-0.80652
0.00046416	-5662.4	-1.0084
0.00063774	-5658.7	-1.2437
0.00085232	-5655.1	-1.5013
0.0011130	-5658.2	-1.7978
0.0014248	-5663.4	-2.1208
0.0017932	-5657.6	-2.4771
0.0022237	-5658.2	-2.8560
0.0027216	-5657.6	-3.2724
0.0032929	-5657.1	-3.7279
0.0039432	-5663.1	-4.2054
0.0046784	-5657.7	-4.7251
0.0055047	-5657.9	-5.2820
0.0064280	-5657.9	-5.8637
0.0074546	-5654.4	-6.4869
0.0085909	-5649.9	-7.1466
0.0098431	-5656.3	-7.8419
0.011218	-5649.1	-8.5804
0.012722	-5654.9	-9.3498
0.014361	-5647.7	-10.160
0.016143	-5657.1	-11.002
0.018075	-5651.2	-11.890
0.020162	-5651.9	-12.821
0.022413	-5648.5	-13.782
0.024834	-5652.3	-14.790
0.027432	-5656.5	-15.838
0.030215	-5652.1	-16.928
0.033190	-5653.0	-18.058
0.036364	-5652.0	-19.225
0.039745	-5656.4	-20.444
0.043339	-5650.0	-21.697
0.047156	-5649.4	-22.994
0.051201	-5650.0	-24.337
0.055484	-5646.6	-25.723
0.060011	-5651.7	-27.153
0.064790	-5649.6	-28.628
0.069830	-5648.6	-30.149
0.075138	-5652.2	-31.716
0.080722	-5651.2	-33.324
0.086591	-5644.6	-34.977
0.092751	-5645.8	-36.672
0.099213	-5647.2	-38.423
0.10598	-5637.8	-40.226
0.11307	-5636.1	-42.052
0.12048	-5639.8	-43.949
0.12823	-5642.9	-45.876
0.13631	-5641.6	-47.858
0.14475	-5640.2	-49.891
0.15355	-5643.2	-51.971
0.16271	-5643.2	-54.101
0.17226	-5631.9	-56.255
0.18218	-5630.2	-58.492
0.19250	-5642.2	-60.763
0.20322	-5633.7	-63.072
0.21436	-5631.6	-65.415
0.22591	-5630.9	-67.866
0.23789	-5633.1	-70.322
0.25031	-5617.5	-72.773
0.26318	-5630.3	-75.413
0.27650	-5628.1	-77.981
0.29029	-5616.7	-80.606
0.30455	-5626.3	-83.363
0.31930	-5617.1	-86.151
0.33454	-5617.3	-88.874
0.35028	-5614.4	-91.650
0.36653	-5612.3	-94.571
0.38330	-5613.3	-97.545
0.40060	-5613.5	-100.59
0.41844	-5611.8	-103.63
0.43683	-5612.4	-106.74
0.45578	-5612.3	-109.85
0.47530	-5608.3	-113.14
0.49539	-5607.8	-116.40
0.51608	-5609.3	-119.66
0.53735	-5605.1	-123.19
0.55924	-5607.9	-126.49
0.58174	-5610.1	-130.01
0.60487	-5601.0	-133.56
0.62863	-5604.8	-137.25
0.65304	-5606.2	-140.87
0.67811	-5607.1	-144.60
0.70384	-5601.8	-148.47
0.73025	-5601.6	-152.21
0.75734	-5595.6	-156.13
0.78513	-5591.9	-160.02
0.81363	-5587.0	-164.05
0.84284	-5592.5	-168.09
0.87278	-5582.9	-172.24
0.90345	-5591.0	-176.42
0.93488	-5525.3	-179.98
0.96705	-5521.2	-184.53
1.0000	1.0385e+28	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5638.156860848359
