PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5696.4	-0.0016594
2.1544e-07	-5687.4	-0.012996
2.1715e-06	-5688.2	-0.042831
8.3895e-06	-5690.1	-0.084831
2.1888e-05	-5691.5	-0.15292
4.6050e-05	-5688.8	-0.23458
8.4561e-05	-5687.5	-0.33984
0.00014136	-5688.4	-0.47158
0.00022061	-5683.1	-0.62556
0.00032669	-5689.4	-0.80573
0.00046416	-5694.9	-1.0171
0.00063774	-5693.8	-1.2505
0.00085232	-5686.7	-1.5168
0.0011130	-5679.3	-1.8103
0.0014248	-5693.6	-2.1341
0.0017932	-5677.8	-2.4928
0.0022237	-5677.7	-2.8744
0.0027216	-5691.9	-3.2937
0.0032929	-5691.5	-3.7492
0.0039432	-5684.9	-4.2359
0.0046784	-5690.9	-4.7562
0.0055047	-5681.6	-5.3127
0.0064280	-5681.0	-5.9071
0.0074546	-5674.5	-6.5322
0.0085909	-5678.7	-7.1935
0.0098431	-5686.6	-7.8942
0.011218	-5682.3	-8.6306
0.012722	-5679.2	-9.4057
0.014361	-5682.3	-10.222
0.016143	-5679.9	-11.079
0.018075	-5690.2	-11.971
0.020162	-5681.4	-12.905
0.022413	-5686.8	-13.870
0.024834	-5682.0	-14.889
0.027432	-5679.8	-15.940
0.030215	-5680.8	-17.032
0.033190	-5685.7	-18.174
0.036364	-5678.9	-19.350
0.039745	-5676.8	-20.568
0.043339	-5682.6	-21.837
0.047156	-5685.1	-23.143
0.051201	-5678.0	-24.490
0.055484	-5676.0	-25.884
0.060011	-5671.5	-27.325
0.064790	-5666.9	-28.803
0.069830	-5676.6	-30.336
0.075138	-5675.7	-31.909
0.080722	-5677.6	-33.526
0.086591	-5661.3	-35.185
0.092751	-5668.9	-36.903
0.099213	-5675.9	-38.661
0.10598	-5672.9	-40.462
0.11307	-5657.2	-42.314
0.12048	-5666.6	-44.195
0.12823	-5667.9	-46.130
0.13631	-5663.3	-48.136
0.14475	-5658.8	-50.186
0.15355	-5658.9	-52.277
0.16271	-5658.2	-54.358
0.17226	-5653.3	-56.538
0.18218	-5647.2	-58.753
0.19250	-5637.7	-61.067
0.20322	-5640.7	-63.369
0.21436	-5644.6	-65.719
0.22591	-5634.5	-68.143
0.23789	-5617.4	-70.554
0.25031	-5643.0	-73.127
0.26318	-5631.5	-75.638
0.27650	-5628.6	-78.214
0.29029	-5617.8	-80.675
0.30455	-5603.6	-83.478
0.31930	-5613.6	-86.290
0.33454	-5618.9	-89.009
0.35028	-5616.9	-91.784
0.36653	-5605.1	-94.746
0.38330	-5602.1	-97.452
0.40060	-5601.4	-100.47
0.41844	-5598.2	-103.33
0.43683	-5597.4	-106.42
0.45578	-5597.2	-109.63
0.47530	-5598.8	-112.93
0.49539	-5595.7	-116.30
0.51608	-5596.0	-119.48
0.53735	-5594.1	-122.77
0.55924	-5595.4	-126.24
0.58174	-5595.6	-129.75
0.60487	-5593.3	-133.27
0.62863	-5590.7	-136.88
0.65304	-5587.2	-140.57
0.67811	-5586.5	-144.23
0.70384	-5584.7	-148.03
0.73025	-5589.2	-151.87
0.75734	-5584.6	-155.75
0.78513	-5582.9	-159.68
0.81363	-5564.3	-163.66
0.84284	-5563.5	-167.70
0.87278	-5538.9	-171.74
0.90345	-5560.0	-175.88
0.93488	-5531.1	-180.05
0.96705	-5481.3	-184.02
1.0000	1.3598e+16	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5640.025572294387
