PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5751.3	-0.0019951
2.1544e-07	-5756.6	-0.015432
2.1715e-06	-5756.7	-0.043009
8.3895e-06	-5753.4	-0.090103
2.1888e-05	-5763.9	-0.15417
4.6050e-05	-5736.3	-0.23941
8.4561e-05	-5761.8	-0.34852
0.00014136	-5743.5	-0.47756
0.00022061	-5744.2	-0.63603
0.00032669	-5751.6	-0.81874
0.00046416	-5752.7	-1.0311
0.00063774	-5749.5	-1.2716
0.00085232	-5757.1	-1.5406
0.0011130	-5749.8	-1.8386
0.0014248	-5759.5	-2.1639
0.0017932	-5751.6	-2.5258
0.0022237	-5760.5	-2.9175
0.0027216	-5759.4	-3.3481
0.0032929	-5731.2	-3.8068
0.0039432	-5747.9	-4.3021
0.0046784	-5746.0	-4.8292
0.0055047	-5756.6	-5.3903
0.0064280	-5754.5	-5.9923
0.0074546	-5750.0	-6.6325
0.0085909	-5734.3	-7.3023
0.0098431	-5738.2	-8.0154
0.011218	-5736.0	-8.7630
0.012722	-5747.2	-9.5478
0.014361	-5751.2	-10.370
0.016143	-5735.1	-11.235
0.018075	-5751.8	-12.145
0.020162	-5738.6	-13.088
0.022413	-5745.0	-14.075
0.024834	-5752.0	-15.097
0.027432	-5736.0	-16.173
0.030215	-5735.8	-17.272
0.033190	-5734.8	-18.424
0.036364	-5712.1	-19.614
0.039745	-5731.8	-20.848
0.043339	-5741.2	-22.133
0.047156	-5709.7	-23.439
0.051201	-5724.9	-24.812
0.055484	-5718.4	-26.218
0.060011	-5725.6	-27.666
0.064790	-5710.0	-29.146
0.069830	-5697.5	-30.699
0.075138	-5716.8	-32.299
0.080722	-5697.2	-33.917
0.086591	-5701.1	-35.578
0.092751	-5707.2	-37.299
0.099213	-5704.1	-39.063
0.10598	-5692.8	-40.855
0.11307	-5678.7	-42.730
0.12048	-5695.6	-44.609
0.12823	-5676.9	-46.558
0.13631	-5683.9	-48.548
0.14475	-5690.1	-50.566
0.15355	-5674.2	-52.654
0.16271	-5652.5	-54.694
0.17226	-5639.1	-56.895
0.18218	-5668.1	-59.125
0.19250	-5662.4	-61.352
0.20322	-5651.4	-63.623
0.21436	-5640.9	-65.959
0.22591	-5626.6	-68.218
0.23789	-5630.6	-70.753
0.25031	-5627.7	-73.152
0.26318	-5616.9	-75.549
0.27650	-5618.3	-78.138
0.29029	-5605.8	-80.776
0.30455	-5602.0	-83.324
0.31930	-5601.1	-86.036
0.33454	-5603.5	-88.736
0.35028	-5600.6	-91.633
0.36653	-5599.6	-94.484
0.38330	-5599.3	-97.381
0.40060	-5600.3	-100.27
0.41844	-5598.5	-103.42
0.43683	-5595.6	-106.53
0.45578	-5596.8	-109.58
0.47530	-5594.5	-112.76
0.49539	-5593.2	-116.05
0.51608	-5595.5	-119.37
0.53735	-5593.0	-122.72
0.55924	-5595.7	-126.20
0.58174	-5595.9	-129.65
0.60487	-5591.4	-133.23
0.62863	-5581.4	-136.81
0.65304	-5579.7	-140.49
0.67811	-5588.6	-144.24
0.70384	-5585.1	-148.01
0.73025	-5581.3	-151.84
0.75734	-5581.2	-155.70
0.78513	-5564.0	-159.65
0.81363	-5570.0	-163.65
0.84284	-5573.7	-167.68
0.87278	-5578.9	-171.83
0.90345	-5551.1	-175.82
0.93488	-5523.5	-180.08
0.96705	-5511.0	-183.97
1.0000	1.3150e+26	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5650.569413107584
