PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5657.1	-0.0017182
2.1544e-07	-5655.3	-0.014015
2.1715e-06	-5654.7	-0.043777
8.3895e-06	-5647.4	-0.086012
2.1888e-05	-5660.8	-0.14736
4.6050e-05	-5654.2	-0.23231
8.4561e-05	-5654.5	-0.33378
0.00014136	-5663.6	-0.46281
0.00022061	-5658.7	-0.61938
0.00032669	-5658.0	-0.79824
0.00046416	-5661.1	-1.0032
0.00063774	-5652.9	-1.2371
0.00085232	-5653.9	-1.4999
0.0011130	-5656.1	-1.7911
0.0014248	-5654.1	-2.1163
0.0017932	-5657.9	-2.4681
0.0022237	-5652.4	-2.8500
0.0027216	-5660.4	-3.2702
0.0032929	-5658.6	-3.7198
0.0039432	-5654.2	-4.2011
0.0046784	-5656.7	-4.7162
0.0055047	-5655.2	-5.2732
0.0064280	-5657.3	-5.8554
0.0074546	-5654.0	-6.4803
0.0085909	-5652.8	-7.1369
0.0098431	-5655.2	-7.8361
0.011218	-5654.2	-8.5677
0.012722	-5657.7	-9.3387
0.014361	-5658.5	-10.149
0.016143	-5656.3	-10.994
0.018075	-5652.5	-11.883
0.020162	-5655.4	-12.809
0.022413	-5654.3	-13.776
0.024834	-5652.4	-14.782
0.027432	-5645.6	-15.825
0.030215	-5646.0	-16.917
0.033190	-5656.1	-18.048
0.036364	-5651.6	-19.216
0.039745	-5649.2	-20.431
0.043339	-5653.6	-21.690
0.047156	-5655.5	-22.987
0.051201	-5654.7	-24.328
0.055484	-5642.9	-25.720
0.060011	-5653.1	-27.145
0.064790	-5652.4	-28.622
0.069830	-5646.7	-30.136
0.075138	-5648.9	-31.704
0.080722	-5653.0	-33.317
0.086591	-5645.1	-34.974
0.092751	-5651.2	-36.669
0.099213	-5649.1	-38.419
0.10598	-5643.9	-40.219
0.11307	-5642.2	-42.058
0.12048	-5647.9	-43.944
0.12823	-5642.4	-45.876
0.13631	-5643.0	-47.865
0.14475	-5640.7	-49.883
0.15355	-5640.7	-51.969
0.16271	-5642.9	-54.087
0.17226	-5636.1	-56.272
0.18218	-5642.1	-58.508
0.19250	-5640.2	-60.762
0.20322	-5628.5	-63.079
0.21436	-5640.9	-65.482
0.22591	-5635.4	-67.870
0.23789	-5629.7	-70.292
0.25031	-5635.0	-72.889
0.26318	-5629.6	-75.404
0.27650	-5629.1	-78.020
0.29029	-5638.6	-80.745
0.30455	-5631.7	-83.452
0.31930	-5618.0	-86.164
0.33454	-5614.1	-88.872
0.35028	-5609.6	-91.696
0.36653	-5617.8	-94.728
0.38330	-5615.1	-97.628
0.40060	-5616.3	-100.60
0.41844	-5611.6	-103.66
0.43683	-5614.3	-106.76
0.45578	-5608.8	-109.95
0.47530	-5614.0	-113.28
0.49539	-5607.5	-116.35
0.51608	-5610.3	-119.75
0.53735	-5610.2	-123.19
0.55924	-5608.1	-126.59
0.58174	-5607.8	-129.99
0.60487	-5608.9	-133.60
0.62863	-5601.8	-137.17
0.65304	-5602.5	-140.89
0.67811	-5603.9	-144.69
0.70384	-5604.9	-148.39
0.73025	-5596.2	-152.21
0.75734	-5595.0	-156.14
0.78513	-5598.8	-160.13
0.81363	-5591.2	-164.09
0.84284	-5594.9	-168.16
0.87278	-5576.0	-172.16
0.90345	-5576.6	-176.37
0.93488	-5548.8	-180.38
0.96705	-5445.2	-184.02
1.0000	-5136.4	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5638.939259004211
