PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5622.6	-0.0024402
2.1544e-07	-5623.0	-0.017588
2.1715e-06	-5622.1	-0.042077
8.3895e-06	-5629.7	-0.088008
2.1888e-05	-5621.7	-0.14744
4.6050e-05	-5625.2	-0.22905
8.4561e-05	-5626.7	-0.33337
0.00014136	-5621.4	-0.46010
0.00022061	-5619.2	-0.61481
0.00032669	-5626.8	-0.79275
0.00046416	-5622.5	-0.99704
0.00063774	-5625.8	-1.2334
0.00085232	-5623.7	-1.4925
0.0011130	-5619.0	-1.7826
0.0014248	-5620.0	-2.1005
0.0017932	-5625.5	-2.4501
0.0022237	-5621.6	-2.8338
0.0027216	-5628.5	-3.2495
0.0032929	-5625.0	-3.6956
0.0039432	-5619.7	-4.1748
0.0046784	-5627.2	-4.6916
0.0055047	-5626.2	-5.2391
0.0064280	-5617.8	-5.8177
0.0074546	-5621.7	-6.4382
0.0085909	-5621.7	-7.0972
0.0098431	-5621.9	-7.7867
0.011218	-5623.4	-8.5159
0.012722	-5624.2	-9.2844
0.014361	-5623.3	-10.083
0.016143	-5624.2	-10.929
0.018075	-5621.8	-11.807
0.020162	-5615.9	-12.729
0.022413	-5617.2	-13.686
0.024834	-5615.5	-14.685
0.027432	-5625.2	-15.731
0.030215	-5624.7	-16.812
0.033190	-5612.1	-17.932
0.036364	-5617.8	-19.096
0.039745	-5619.3	-20.300
0.043339	-5617.9	-21.551
0.047156	-5621.2	-22.844
0.051201	-5620.1	-24.180
0.055484	-5617.2	-25.553
0.060011	-5619.2	-26.975
0.064790	-5622.5	-28.440
0.069830	-5616.5	-29.951
0.075138	-5616.4	-31.504
0.080722	-5609.5	-33.105
0.086591	-5621.5	-34.755
0.092751	-5618.1	-36.442
0.099213	-5618.2	-38.180
0.10598	-5616.7	-39.967
0.11307	-5609.8	-41.796
0.12048	-5615.1	-43.675
0.12823	-5617.6	-45.604
0.13631	-5617.4	-47.573
0.14475	-5616.3	-49.596
0.15355	-5615.3	-51.664
0.16271	-5617.2	-53.780
0.17226	-5615.3	-55.938
0.18218	-5612.3	-58.159
0.19250	-5616.1	-60.437
0.20322	-5603.3	-62.711
0.21436	-5605.3	-65.091
0.22591	-5606.4	-67.492
0.23789	-5604.4	-69.978
0.25031	-5606.7	-72.481
0.26318	-5615.6	-75.039
0.27650	-5603.6	-77.618
0.29029	-5604.7	-80.314
0.30455	-5601.3	-83.023
0.31930	-5599.8	-85.744
0.33454	-5603.9	-88.600
0.35028	-5604.4	-91.444
0.36653	-5600.9	-94.369
0.38330	-5599.4	-97.306
0.40060	-5599.7	-100.24
0.41844	-5599.7	-103.40
0.43683	-5598.0	-106.48
0.45578	-5598.7	-109.59
0.47530	-5598.8	-112.74
0.49539	-5598.6	-116.10
0.51608	-5595.4	-119.55
0.53735	-5584.1	-122.79
0.55924	-5593.7	-126.19
0.58174	-5585.4	-129.68
0.60487	-5587.7	-133.24
0.62863	-5592.9	-136.86
0.65304	-5593.2	-140.60
0.67811	-5587.3	-144.25
0.70384	-5578.4	-148.03
0.73025	-5587.4	-151.90
0.75734	-5589.5	-155.75
0.78513	-5577.5	-159.70
0.81363	-5579.6	-163.68
0.84284	-5538.3	-167.64
0.87278	-5563.0	-171.83
0.90345	-5569.3	-175.97
0.93488	-5511.8	-180.09
0.96705	-5535.2	-183.99
1.0000	-5486.3	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5618.570404488807
