PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5673.2	-0.0085390
2.1544e-07	-5674.0	-0.021608
2.1715e-06	-5672.0	-0.046267
8.3895e-06	-5671.2	-0.084309
2.1888e-05	-5675.2	-0.14990
4.6050e-05	-5664.6	-0.23093
8.4561e-05	-5652.3	-0.33682
0.00014136	-5668.3	-0.46692
0.00022061	-5662.3	-0.62356
0.00032669	-5668.6	-0.79967
0.00046416	-5673.6	-1.0071
0.00063774	-5665.9	-1.2438
0.00085232	-5669.7	-1.5046
0.0011130	-5673.5	-1.8001
0.0014248	-5674.8	-2.1219
0.0017932	-5674.2	-2.4776
0.0022237	-5673.8	-2.8627
0.0027216	-5671.9	-3.2819
0.0032929	-5659.2	-3.7333
0.0039432	-5670.8	-4.2151
0.0046784	-5667.6	-4.7375
0.0055047	-5672.8	-5.2927
0.0064280	-5671.6	-5.8841
0.0074546	-5670.8	-6.5097
0.0085909	-5670.7	-7.1692
0.0098431	-5661.5	-7.8726
0.011218	-5667.8	-8.6031
0.012722	-5677.2	-9.3798
0.014361	-5655.4	-10.192
0.016143	-5671.2	-11.043
0.018075	-5665.5	-11.933
0.020162	-5665.2	-12.861
0.022413	-5662.3	-13.828
0.024834	-5660.7	-14.844
0.027432	-5654.3	-15.889
0.030215	-5666.6	-16.984
0.033190	-5655.8	-18.116
0.036364	-5663.6	-19.297
0.039745	-5661.8	-20.508
0.043339	-5666.8	-21.769
0.047156	-5653.7	-23.075
0.051201	-5650.0	-24.417
0.055484	-5663.3	-25.812
0.060011	-5658.5	-27.240
0.064790	-5653.3	-28.720
0.069830	-5655.9	-30.246
0.075138	-5655.6	-31.819
0.080722	-5649.8	-33.422
0.086591	-5654.5	-35.086
0.092751	-5654.9	-36.789
0.099213	-5658.4	-38.539
0.10598	-5648.4	-40.336
0.11307	-5641.2	-42.166
0.12048	-5648.6	-44.074
0.12823	-5640.9	-45.979
0.13631	-5633.7	-47.964
0.14475	-5644.7	-50.012
0.15355	-5640.2	-52.092
0.16271	-5640.4	-54.207
0.17226	-5631.0	-56.327
0.18218	-5627.4	-58.573
0.19250	-5627.2	-60.871
0.20322	-5623.6	-63.125
0.21436	-5629.0	-65.551
0.22591	-5620.0	-67.920
0.23789	-5613.9	-70.321
0.25031	-5615.4	-72.827
0.26318	-5592.2	-75.325
0.27650	-5590.8	-77.820
0.29029	-5605.0	-80.607
0.30455	-5603.7	-83.194
0.31930	-5602.8	-85.960
0.33454	-5603.3	-88.819
0.35028	-5588.3	-91.406
0.36653	-5593.2	-94.396
0.38330	-5586.3	-97.087
0.40060	-5591.3	-100.25
0.41844	-5585.3	-103.10
0.43683	-5580.6	-106.25
0.45578	-5577.5	-109.30
0.47530	-5582.4	-112.62
0.49539	-5580.8	-115.84
0.51608	-5585.4	-119.19
0.53735	-5578.6	-122.52
0.55924	-5579.6	-125.93
0.58174	-5582.6	-129.43
0.60487	-5581.1	-132.99
0.62863	-5576.2	-136.58
0.65304	-5574.2	-140.30
0.67811	-5574.1	-143.90
0.70384	-5573.4	-147.67
0.73025	-5576.8	-151.50
0.75734	-5566.6	-155.38
0.78513	-5570.9	-159.29
0.81363	-5562.1	-163.32
0.84284	-5559.1	-167.30
0.87278	-5550.4	-171.41
0.90345	-5551.7	-175.58
0.93488	-5495.2	-179.23
0.96705	-5445.2	-183.04
1.0000	11171	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5623.75725583606
