PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5650.9	-0.0039602
2.1544e-07	-5653.4	-0.015353
2.1715e-06	-5647.7	-0.043508
8.3895e-06	-5654.6	-0.082006
2.1888e-05	-5647.5	-0.14555
4.6050e-05	-5645.3	-0.22810
8.4561e-05	-5651.2	-0.33500
0.00014136	-5645.4	-0.46444
0.00022061	-5651.5	-0.61547
0.00032669	-5655.0	-0.79418
0.00046416	-5655.1	-0.99876
0.00063774	-5650.6	-1.2332
0.00085232	-5649.0	-1.4935
0.0011130	-5647.9	-1.7838
0.0014248	-5652.4	-2.1074
0.0017932	-5652.3	-2.4606
0.0022237	-5653.0	-2.8439
0.0027216	-5649.6	-3.2599
0.0032929	-5650.6	-3.7114
0.0039432	-5650.5	-4.1890
0.0046784	-5651.1	-4.7069
0.0055047	-5647.7	-5.2591
0.0064280	-5650.6	-5.8463
0.0074546	-5651.2	-6.4691
0.0085909	-5655.1	-7.1261
0.0098431	-5651.4	-7.8187
0.011218	-5647.5	-8.5527
0.012722	-5653.2	-9.3194
0.014361	-5646.6	-10.127
0.016143	-5648.5	-10.972
0.018075	-5639.9	-11.861
0.020162	-5648.8	-12.787
0.022413	-5654.8	-13.749
0.024834	-5653.4	-14.754
0.027432	-5645.5	-15.799
0.030215	-5646.3	-16.888
0.033190	-5645.7	-18.013
0.036364	-5647.4	-19.184
0.039745	-5648.0	-20.396
0.043339	-5649.3	-21.652
0.047156	-5653.4	-22.947
0.051201	-5650.4	-24.286
0.055484	-5644.9	-25.675
0.060011	-5647.2	-27.103
0.064790	-5643.5	-28.578
0.069830	-5644.3	-30.093
0.075138	-5646.5	-31.656
0.080722	-5640.8	-33.262
0.086591	-5646.5	-34.918
0.092751	-5647.1	-36.618
0.099213	-5646.0	-38.363
0.10598	-5644.1	-40.154
0.11307	-5645.1	-41.992
0.12048	-5644.9	-43.883
0.12823	-5643.4	-45.814
0.13631	-5642.8	-47.798
0.14475	-5641.4	-49.829
0.15355	-5640.4	-51.907
0.16271	-5646.7	-54.041
0.17226	-5644.2	-56.204
0.18218	-5644.4	-58.435
0.19250	-5644.1	-60.714
0.20322	-5638.7	-63.015
0.21436	-5632.2	-65.394
0.22591	-5633.1	-67.817
0.23789	-5643.0	-70.300
0.25031	-5634.6	-72.820
0.26318	-5633.4	-75.388
0.27650	-5640.6	-78.027
0.29029	-5632.2	-80.704
0.30455	-5636.7	-83.409
0.31930	-5631.1	-86.187
0.33454	-5628.8	-89.019
0.35028	-5628.6	-91.868
0.36653	-5631.5	-94.829
0.38330	-5634.5	-97.822
0.40060	-5630.8	-100.85
0.41844	-5626.3	-103.82
0.43683	-5628.7	-107.02
0.45578	-5627.2	-110.20
0.47530	-5621.8	-113.40
0.49539	-5624.6	-116.59
0.51608	-5622.9	-119.99
0.53735	-5621.8	-123.42
0.55924	-5615.7	-126.83
0.58174	-5619.2	-130.48
0.60487	-5621.1	-134.06
0.62863	-5619.8	-137.54
0.65304	-5620.3	-141.28
0.67811	-5612.6	-145.05
0.70384	-5618.6	-148.78
0.73025	-5606.4	-152.60
0.75734	-5612.2	-156.51
0.78513	-5612.7	-160.49
0.81363	-5585.1	-164.46
0.84284	-5606.2	-168.54
0.87278	-5580.7	-172.61
0.90345	-5584.8	-176.79
0.93488	-5559.3	-180.93
0.96705	-5563.1	-185.19
1.0000	2.3922e+09	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5646.429821399575
