PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5842.0	-0.0012687
2.1544e-07	-5842.4	-0.011520
2.1715e-06	-5825.2	-0.036613
8.3895e-06	-5838.0	-0.079501
2.1888e-05	-5825.1	-0.14225
4.6050e-05	-5831.4	-0.22676
8.4561e-05	-5801.1	-0.33434
0.00014136	-5829.0	-0.46670
0.00022061	-5830.0	-0.62469
0.00032669	-5833.9	-0.80961
0.00046416	-5830.9	-1.0220
0.00063774	-5837.4	-1.2634
0.00085232	-5832.8	-1.5346
0.0011130	-5821.3	-1.8359
0.0014248	-5837.6	-2.1693
0.0017932	-5828.7	-2.5336
0.0022237	-5825.9	-2.9311
0.0027216	-5815.5	-3.3631
0.0032929	-5829.7	-3.8274
0.0039432	-5834.4	-4.3272
0.0046784	-5823.3	-4.8633
0.0055047	-5827.2	-5.4337
0.0064280	-5828.1	-6.0402
0.0074546	-5822.4	-6.6873
0.0085909	-5818.8	-7.3672
0.0098431	-5831.3	-8.0880
0.011218	-5833.5	-8.8472
0.012722	-5820.4	-9.6431
0.014361	-5819.5	-10.481
0.016143	-5821.2	-11.360
0.018075	-5812.1	-12.276
0.020162	-5820.1	-13.238
0.022413	-5816.9	-14.230
0.024834	-5820.0	-15.270
0.027432	-5817.3	-16.360
0.030215	-5823.3	-17.477
0.033190	-5823.2	-18.648
0.036364	-5819.5	-19.860
0.039745	-5812.6	-21.118
0.043339	-5820.8	-22.411
0.047156	-5820.1	-23.755
0.051201	-5808.8	-25.131
0.055484	-5807.3	-26.572
0.060011	-5798.0	-28.051
0.064790	-5789.5	-29.570
0.069830	-5801.0	-31.125
0.075138	-5797.3	-32.732
0.080722	-5791.3	-34.384
0.086591	-5797.6	-36.102
0.092751	-5797.5	-37.836
0.099213	-5778.3	-39.616
0.10598	-5783.7	-41.449
0.11307	-5793.0	-43.348
0.12048	-5774.9	-45.237
0.12823	-5768.2	-47.226
0.13631	-5777.9	-49.241
0.14475	-5771.2	-51.296
0.15355	-5748.8	-53.403
0.16271	-5748.3	-55.527
0.17226	-5735.3	-57.741
0.18218	-5732.8	-59.970
0.19250	-5719.8	-62.190
0.20322	-5727.4	-64.511
0.21436	-5721.8	-66.919
0.22591	-5722.3	-69.346
0.23789	-5704.7	-71.692
0.25031	-5696.1	-74.177
0.26318	-5694.6	-76.669
0.27650	-5676.3	-79.159
0.29029	-5681.4	-81.898
0.30455	-5667.2	-84.465
0.31930	-5664.1	-87.126
0.33454	-5652.6	-89.940
0.35028	-5643.3	-92.593
0.36653	-5650.2	-95.552
0.38330	-5643.2	-98.392
0.40060	-5644.4	-101.28
0.41844	-5644.9	-104.26
0.43683	-5637.5	-107.28
0.45578	-5634.8	-110.45
0.47530	-5641.4	-113.74
0.49539	-5637.5	-117.05
0.51608	-5634.6	-120.27
0.53735	-5634.5	-123.68
0.55924	-5636.4	-127.13
0.58174	-5635.1	-130.63
0.60487	-5637.5	-134.29
0.62863	-5631.8	-137.89
0.65304	-5629.4	-141.55
0.67811	-5623.4	-145.28
0.70384	-5623.7	-149.08
0.73025	-5627.5	-152.95
0.75734	-5622.4	-156.84
0.78513	-5626.4	-160.82
0.81363	-5624.9	-164.83
0.84284	-5625.1	-168.92
0.87278	-5620.7	-173.02
0.90345	-5621.6	-177.25
0.93488	-5599.0	-181.46
0.96705	-5607.9	-185.70
1.0000	-5592.6	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5706.855903633371
