PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5931.7	-0.0013008
2.1544e-07	-5901.4	-0.011808
2.1715e-06	-5920.1	-0.037541
8.3895e-06	-5925.9	-0.081493
2.1888e-05	-5931.4	-0.14584
4.6050e-05	-5922.6	-0.23241
8.4561e-05	-5912.6	-0.34274
0.00014136	-5910.9	-0.47829
0.00022061	-5895.7	-0.64041
0.00032669	-5910.2	-0.82986
0.00046416	-5934.4	-1.0472
0.00063774	-5917.5	-1.2957
0.00085232	-5933.3	-1.5734
0.0011130	-5924.6	-1.8827
0.0014248	-5897.8	-2.2238
0.0017932	-5910.7	-2.5948
0.0022237	-5922.7	-3.0036
0.0027216	-5930.4	-3.4451
0.0032929	-5908.7	-3.9217
0.0039432	-5903.9	-4.4335
0.0046784	-5923.1	-4.9799
0.0055047	-5910.5	-5.5644
0.0064280	-5872.2	-6.1854
0.0074546	-5908.5	-6.8416
0.0085909	-5910.5	-7.5394
0.0098431	-5912.7	-8.2731
0.011218	-5914.9	-9.0502
0.012722	-5890.3	-9.8648
0.014361	-5904.8	-10.721
0.016143	-5909.4	-11.607
0.018075	-5909.1	-12.541
0.020162	-5894.0	-13.520
0.022413	-5890.9	-14.532
0.024834	-5842.5	-15.586
0.027432	-5887.9	-16.683
0.030215	-5887.4	-17.822
0.033190	-5875.5	-19.002
0.036364	-5866.9	-20.231
0.039745	-5883.2	-21.505
0.043339	-5837.9	-22.801
0.047156	-5857.7	-24.137
0.051201	-5851.1	-25.548
0.055484	-5839.7	-26.952
0.060011	-5828.2	-28.434
0.064790	-5853.0	-29.983
0.069830	-5775.0	-31.505
0.075138	-5816.2	-33.083
0.080722	-5830.2	-34.736
0.086591	-5770.3	-36.371
0.092751	-5780.8	-38.103
0.099213	-5779.0	-39.854
0.10598	-5769.9	-41.659
0.11307	-5755.7	-43.539
0.12048	-5752.5	-45.335
0.12823	-5741.1	-47.207
0.13631	-5716.6	-49.230
0.14475	-5702.8	-51.196
0.15355	-5680.5	-53.190
0.16271	-5687.2	-55.268
0.17226	-5685.8	-57.400
0.18218	-5671.8	-59.581
0.19250	-5664.4	-61.674
0.20322	-5638.8	-63.953
0.21436	-5657.8	-66.190
0.22591	-5651.0	-68.545
0.23789	-5639.4	-70.910
0.25031	-5638.9	-73.288
0.26318	-5621.8	-75.721
0.27650	-5608.1	-78.118
0.29029	-5618.5	-80.717
0.30455	-5604.1	-83.409
0.31930	-5602.5	-85.986
0.33454	-5603.7	-88.769
0.35028	-5606.0	-91.619
0.36653	-5606.4	-94.455
0.38330	-5603.2	-97.437
0.40060	-5604.3	-100.38
0.41844	-5602.8	-103.37
0.43683	-5604.3	-106.53
0.45578	-5600.8	-109.66
0.47530	-5603.0	-112.87
0.49539	-5602.1	-116.10
0.51608	-5603.0	-119.49
0.53735	-5599.6	-122.86
0.55924	-5594.0	-126.34
0.58174	-5596.9	-129.84
0.60487	-5598.2	-133.34
0.62863	-5597.6	-137.00
0.65304	-5596.2	-140.65
0.67811	-5594.8	-144.37
0.70384	-5597.7	-148.14
0.73025	-5594.2	-151.96
0.75734	-5589.4	-155.84
0.78513	-5586.4	-159.81
0.81363	-5590.9	-163.79
0.84284	-5581.3	-167.85
0.87278	-5586.1	-172.00
0.90345	-5578.3	-176.14
0.93488	-5548.4	-180.23
0.96705	-5536.7	-184.53
1.0000	-5531.0	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5679.275239687228
