PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5720.2	-0.0012392
2.1544e-07	-5704.2	-0.011250
2.1715e-06	-5707.8	-0.035764
8.3895e-06	-5716.1	-0.077669
2.1888e-05	-5712.2	-0.13898
4.6050e-05	-5713.1	-0.22145
8.4561e-05	-5717.7	-0.32666
0.00014136	-5703.6	-0.45583
0.00022061	-5713.3	-0.60997
0.00032669	-5716.3	-0.79063
0.00046416	-5717.8	-0.99821
0.00063774	-5720.5	-1.2343
0.00085232	-5713.2	-1.4985
0.0011130	-5717.0	-1.7933
0.0014248	-5718.0	-2.1184
0.0017932	-5713.3	-2.4755
0.0022237	-5713.8	-2.8633
0.0027216	-5711.8	-3.2852
0.0032929	-5714.1	-3.7392
0.0039432	-5710.6	-4.2273
0.0046784	-5716.6	-4.7513
0.0055047	-5705.1	-5.3082
0.0064280	-5706.3	-5.9026
0.0074546	-5703.2	-6.5302
0.0085909	-5715.2	-7.1988
0.0098431	-5712.9	-7.9013
0.011218	-5706.5	-8.6442
0.012722	-5716.7	-9.4221
0.014361	-5715.8	-10.242
0.016143	-5710.0	-11.099
0.018075	-5714.3	-11.995
0.020162	-5715.9	-12.931
0.022413	-5710.7	-13.911
0.024834	-5712.7	-14.928
0.027432	-5713.2	-15.988
0.030215	-5712.4	-17.088
0.033190	-5718.9	-18.231
0.036364	-5714.6	-19.418
0.039745	-5712.4	-20.648
0.043339	-5707.7	-21.918
0.047156	-5708.2	-23.235
0.051201	-5698.7	-24.589
0.055484	-5708.9	-25.996
0.060011	-5713.7	-27.441
0.064790	-5706.0	-28.929
0.069830	-5710.1	-30.472
0.075138	-5706.8	-32.057
0.080722	-5703.5	-33.681
0.086591	-5709.5	-35.351
0.092751	-5704.6	-37.073
0.099213	-5705.1	-38.845
0.10598	-5706.1	-40.651
0.11307	-5699.6	-42.518
0.12048	-5703.6	-44.434
0.12823	-5700.6	-46.381
0.13631	-5692.2	-48.390
0.14475	-5696.3	-50.442
0.15355	-5691.2	-52.526
0.16271	-5688.3	-54.675
0.17226	-5698.5	-56.896
0.18218	-5675.3	-59.113
0.19250	-5687.6	-61.363
0.20322	-5671.3	-63.738
0.21436	-5683.1	-66.108
0.22591	-5679.4	-68.553
0.23789	-5685.6	-71.054
0.25031	-5674.2	-73.521
0.26318	-5676.8	-76.118
0.27650	-5662.2	-78.708
0.29029	-5674.5	-81.356
0.30455	-5667.9	-84.073
0.31930	-5670.4	-86.988
0.33454	-5655.1	-89.673
0.35028	-5654.9	-92.479
0.36653	-5653.8	-95.409
0.38330	-5655.7	-98.377
0.40060	-5655.6	-101.31
0.41844	-5654.3	-104.46
0.43683	-5654.3	-107.71
0.45578	-5649.0	-110.74
0.47530	-5650.4	-114.02
0.49539	-5647.7	-117.18
0.51608	-5649.4	-120.74
0.53735	-5652.4	-124.08
0.55924	-5650.2	-127.44
0.58174	-5646.1	-131.07
0.60487	-5645.4	-134.62
0.62863	-5642.9	-138.32
0.65304	-5644.9	-141.88
0.67811	-5645.5	-145.65
0.70384	-5645.5	-149.45
0.73025	-5638.2	-153.34
0.75734	-5638.5	-157.24
0.78513	-5634.5	-161.21
0.81363	-5637.8	-165.26
0.84284	-5639.2	-169.36
0.87278	-5639.8	-173.51
0.90345	-5631.4	-177.69
0.93488	-5629.0	-181.92
0.96705	-5621.4	-186.21
1.0000	-5542.6	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5686.5687569406855
