PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6014.1	-0.0013199
2.1544e-07	-6010.1	-0.011978
2.1715e-06	-6004.1	-0.038066
8.3895e-06	-6006.3	-0.082668
2.1888e-05	-6022.5	-0.14799
4.6050e-05	-6012.5	-0.23588
8.4561e-05	-6006.0	-0.34780
0.00014136	-6012.4	-0.48541
0.00022061	-6037.8	-0.64970
0.00032669	-6025.9	-0.84148
0.00046416	-6026.8	-1.0626
0.00063774	-6020.9	-1.3134
0.00085232	-6013.8	-1.5959
0.0011130	-6016.3	-1.9092
0.0014248	-6001.6	-2.2545
0.0017932	-6019.8	-2.6352
0.0022237	-6014.9	-3.0476
0.0027216	-6014.1	-3.4960
0.0032929	-5999.5	-3.9790
0.0039432	-6003.5	-4.4987
0.0046784	-6010.6	-5.0562
0.0055047	-5991.0	-5.6473
0.0064280	-6006.5	-6.2799
0.0074546	-6017.5	-6.9441
0.0085909	-6013.9	-7.6577
0.0098431	-6010.3	-8.3990
0.011218	-5976.5	-9.1929
0.012722	-5995.9	-10.011
0.014361	-5998.7	-10.885
0.016143	-6001.5	-11.790
0.018075	-5999.9	-12.735
0.020162	-5975.3	-13.729
0.022413	-6007.3	-14.760
0.024834	-5959.3	-15.835
0.027432	-5954.9	-16.949
0.030215	-6000.8	-18.111
0.033190	-5985.5	-19.325
0.036364	-5982.6	-20.555
0.039745	-5958.8	-21.848
0.043339	-5971.3	-23.174
0.047156	-5982.0	-24.575
0.051201	-5934.7	-25.959
0.055484	-5953.0	-27.433
0.060011	-5915.7	-28.908
0.064790	-5946.0	-30.478
0.069830	-5936.8	-32.059
0.075138	-5929.8	-33.680
0.080722	-5916.2	-35.357
0.086591	-5906.0	-37.061
0.092751	-5891.8	-38.826
0.099213	-5912.3	-40.649
0.10598	-5875.3	-42.437
0.11307	-5877.7	-44.346
0.12048	-5855.0	-46.243
0.12823	-5837.8	-48.161
0.13631	-5823.5	-50.115
0.14475	-5823.8	-52.127
0.15355	-5816.5	-54.205
0.16271	-5779.5	-56.264
0.17226	-5772.7	-58.391
0.18218	-5754.7	-60.574
0.19250	-5763.6	-62.733
0.20322	-5729.5	-64.998
0.21436	-5704.3	-67.132
0.22591	-5688.1	-69.410
0.23789	-5691.1	-71.860
0.25031	-5685.3	-74.286
0.26318	-5680.9	-76.595
0.27650	-5670.7	-79.061
0.29029	-5640.0	-81.615
0.30455	-5632.0	-83.929
0.31930	-5631.4	-86.693
0.33454	-5620.0	-89.538
0.35028	-5618.6	-92.185
0.36653	-5617.8	-95.083
0.38330	-5616.9	-97.912
0.40060	-5614.5	-100.70
0.41844	-5611.2	-103.94
0.43683	-5609.8	-106.79
0.45578	-5612.7	-109.99
0.47530	-5611.6	-113.16
0.49539	-5613.5	-116.51
0.51608	-5613.3	-119.73
0.53735	-5607.1	-123.12
0.55924	-5610.9	-126.55
0.58174	-5610.5	-130.09
0.60487	-5607.4	-133.61
0.62863	-5604.2	-137.19
0.65304	-5602.0	-140.91
0.67811	-5599.3	-144.60
0.70384	-5590.6	-148.45
0.73025	-5608.9	-152.28
0.75734	-5595.7	-156.14
0.78513	-5592.5	-160.10
0.81363	-5599.2	-164.11
0.84284	-5603.3	-168.19
0.87278	-5593.9	-172.28
0.90345	-5575.8	-176.40
0.93488	-5570.3	-180.61
0.96705	-5548.9	-184.81
1.0000	-5589.5	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5718.6352068745255
