PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5629.1	-0.0012196
2.1544e-07	-5635.1	-0.011074
2.1715e-06	-5631.0	-0.035201
8.3895e-06	-5631.1	-0.076416
2.1888e-05	-5633.3	-0.13684
4.6050e-05	-5627.1	-0.21801
8.4561e-05	-5630.7	-0.32161
0.00014136	-5631.0	-0.44877
0.00022061	-5637.0	-0.60045
0.00032669	-5635.7	-0.77811
0.00046416	-5632.7	-0.98236
0.00063774	-5626.7	-1.2146
0.00085232	-5634.5	-1.4751
0.0011130	-5629.3	-1.7652
0.0014248	-5625.7	-2.0848
0.0017932	-5630.8	-2.4355
0.0022237	-5632.0	-2.8186
0.0027216	-5628.6	-3.2326
0.0032929	-5636.4	-3.6804
0.0039432	-5628.5	-4.1602
0.0046784	-5633.8	-4.6753
0.0055047	-5630.8	-5.2246
0.0064280	-5630.5	-5.8074
0.0074546	-5631.7	-6.4276
0.0085909	-5632.7	-7.0825
0.0098431	-5630.9	-7.7762
0.011218	-5630.1	-8.5058
0.012722	-5633.4	-9.2729
0.014361	-5623.6	-10.077
0.016143	-5630.3	-10.919
0.018075	-5629.8	-11.803
0.020162	-5623.1	-12.726
0.022413	-5629.6	-13.687
0.024834	-5623.4	-14.689
0.027432	-5632.4	-15.731
0.030215	-5629.0	-16.813
0.033190	-5629.2	-17.940
0.036364	-5636.4	-19.105
0.039745	-5626.2	-20.315
0.043339	-5624.4	-21.564
0.047156	-5621.8	-22.857
0.051201	-5628.9	-24.195
0.055484	-5624.1	-25.578
0.060011	-5633.5	-27.005
0.064790	-5632.5	-28.473
0.069830	-5629.8	-29.985
0.075138	-5625.9	-31.545
0.080722	-5628.7	-33.148
0.086591	-5631.9	-34.797
0.092751	-5627.1	-36.489
0.099213	-5626.1	-38.233
0.10598	-5626.7	-40.026
0.11307	-5627.6	-41.858
0.12048	-5628.0	-43.737
0.12823	-5621.7	-45.666
0.13631	-5624.1	-47.644
0.14475	-5622.8	-49.664
0.15355	-5625.8	-51.747
0.16271	-5626.5	-53.861
0.17226	-5624.5	-56.032
0.18218	-5625.6	-58.257
0.19250	-5622.3	-60.516
0.20322	-5623.1	-62.822
0.21436	-5624.1	-65.195
0.22591	-5624.0	-67.609
0.23789	-5621.1	-70.045
0.25031	-5620.6	-72.617
0.26318	-5619.9	-75.131
0.27650	-5621.3	-77.800
0.29029	-5620.0	-80.430
0.30455	-5619.0	-83.145
0.31930	-5619.2	-85.884
0.33454	-5618.9	-88.736
0.35028	-5618.4	-91.636
0.36653	-5619.4	-94.528
0.38330	-5619.2	-97.496
0.40060	-5614.8	-100.54
0.41844	-5618.9	-103.66
0.43683	-5615.1	-106.69
0.45578	-5615.1	-109.95
0.47530	-5616.2	-113.10
0.49539	-5615.9	-116.45
0.51608	-5613.0	-119.76
0.53735	-5616.5	-123.15
0.55924	-5616.4	-126.61
0.58174	-5612.5	-130.12
0.60487	-5613.6	-133.70
0.62863	-5606.3	-137.30
0.65304	-5608.0	-140.99
0.67811	-5614.2	-144.74
0.70384	-5610.8	-148.52
0.73025	-5603.9	-152.37
0.75734	-5611.9	-156.29
0.78513	-5597.5	-160.22
0.81363	-5594.1	-164.19
0.84284	-5606.7	-168.31
0.87278	-5582.6	-172.41
0.90345	-5588.9	-176.56
0.93488	-5574.6	-180.81
0.96705	-5557.3	-184.87
1.0000	-5490.5	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5632.301709645706
