# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri May 10 20:28:03 AEST 2019 [seed=1557484082227]
# -overwrite GSS_strict_ultra_utlra_clock_sim_10.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-5832.880040410304	-103.04650146005841	-5729.833538950245	1.2005006077123368	1.2005006077123368	8.28156710047715	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-5729.833538950245	0.0	-97.43133127407032
5000	-5641.704371967631	-21.441053271840747	-5620.26331869579	0.32703097897331107	0.32703097897331107	2.69606652125197	0.6017230048373264	6.183587961915653	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.18620068107930887	0.005	0.005000000000000001	-5620.26331869579	0.0	-10.273876531730012
10000	-5591.731394482047	14.839924739821466	-5606.571319221868	0.212888949415947	0.212888949415947	2.016511834513323	0.29194387534594485	1.1534500000644325	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1690846298571413	0.005	0.005	-5606.571319221868	0.0	20.93963362434173
15000	-5542.131134869191	49.116813767352745	-5591.247948636544	0.10396171583586213	0.10396171583586213	1.2352575486870172	0.17259347742350595	1.2673510915604846	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6519970062737709	0.005	0.005	-5591.247948636544	0.0	56.2950549922231
20000	-5520.229107122836	72.16238124831327	-5592.391488371149	0.1228802516657311	0.1228802516657311	1.1906050020839567	0.15970783697594976	1.3887601221877646	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.7436864154075916	0.005	0.005000000000000003	-5592.391488371149	0.0	79.64528146567406
25000	-5458.2801286406775	123.40838724203785	-5581.688515882715	0.1268532458181963	0.1268532458181963	0.8348200035274295	0.09263522543838258	-0.37201332282277866	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5646810356595559	0.005	0.004999999999999998	-5581.688515882715	0.0	129.51585917442222
30000	-5438.376572001197	145.7858350369013	-5584.1624070380985	0.07530375740986615	0.07530375740986615	0.5840845159714085	0.08409236142419399	1.1464137907073282	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.527012530871102	0.005	0.0049999999999999975	-5584.1624070380985	0.0	152.59228499895315
35000	-5445.635995092938	140.07313332262814	-5585.709128415567	0.08887605411213433	0.08887605411213433	0.701983864978252	0.07877890666613449	0.043616198215086666	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9447710138405105	0.005	0.005000000000000004	-5585.709128415567	0.0	146.612249523579
40000	-5435.950173907191	147.30186883403528	-5583.252042741226	0.11539323296097118	0.11539323296097118	0.6936214432418669	0.09014556154805095	-0.053416984864670614	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.6908623806543535	0.005	0.005000000000000001	-5583.252042741226	0.0	153.3430822218122
45000	-5431.376236406523	151.2517137603636	-5582.627950166887	0.048765931406277545	0.048765931406277545	0.5175741218348485	0.07280398289977456	-0.2501348917033326	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.9988535743118969	0.005	0.0050000000000000044	-5582.627950166887	0.0	158.1054540265078
