PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5732.0	-0.0012419
2.1544e-07	-5732.6	-0.011277
2.1715e-06	-5731.1	-0.035856
8.3895e-06	-5732.2	-0.077818
2.1888e-05	-5729.6	-0.13929
4.6050e-05	-5735.5	-0.22208
8.4561e-05	-5725.8	-0.32749
0.00014136	-5734.7	-0.45696
0.00022061	-5730.7	-0.61159
0.00032669	-5724.9	-0.79243
0.00046416	-5732.7	-1.0009
0.00063774	-5730.8	-1.2371
0.00085232	-5733.7	-1.5027
0.0011130	-5737.0	-1.7976
0.0014248	-5732.5	-2.1240
0.0017932	-5736.1	-2.4814
0.0022237	-5736.5	-2.8708
0.0027216	-5727.2	-3.2927
0.0032929	-5738.2	-3.7481
0.0039432	-5732.2	-4.2379
0.0046784	-5734.4	-4.7628
0.0055047	-5722.6	-5.3217
0.0064280	-5728.8	-5.9181
0.0074546	-5723.0	-6.5482
0.0085909	-5737.6	-7.2165
0.0098431	-5732.9	-7.9228
0.011218	-5736.4	-8.6655
0.012722	-5729.2	-9.4462
0.014361	-5733.7	-10.269
0.016143	-5729.2	-11.129
0.018075	-5720.5	-12.027
0.020162	-5728.1	-12.965
0.022413	-5732.1	-13.946
0.024834	-5732.5	-14.969
0.027432	-5725.7	-16.030
0.030215	-5732.0	-17.134
0.033190	-5728.8	-18.282
0.036364	-5727.4	-19.468
0.039745	-5725.1	-20.702
0.043339	-5728.3	-21.974
0.047156	-5731.3	-23.296
0.051201	-5732.5	-24.655
0.055484	-5729.3	-26.063
0.060011	-5727.9	-27.516
0.064790	-5728.4	-29.012
0.069830	-5727.8	-30.549
0.075138	-5725.3	-32.136
0.080722	-5725.7	-33.773
0.086591	-5725.9	-35.458
0.092751	-5720.7	-37.178
0.099213	-5727.7	-38.955
0.10598	-5717.7	-40.767
0.11307	-5720.7	-42.638
0.12048	-5725.0	-44.555
0.12823	-5710.5	-46.506
0.13631	-5714.4	-48.513
0.14475	-5714.1	-50.584
0.15355	-5714.2	-52.676
0.16271	-5721.0	-54.850
0.17226	-5713.3	-57.029
0.18218	-5712.1	-59.293
0.19250	-5711.3	-61.579
0.20322	-5716.0	-63.958
0.21436	-5711.8	-66.382
0.22591	-5708.6	-68.781
0.23789	-5692.3	-71.253
0.25031	-5696.8	-73.826
0.26318	-5699.3	-76.366
0.27650	-5701.3	-79.078
0.29029	-5699.2	-81.767
0.30455	-5686.7	-84.470
0.31930	-5675.5	-87.141
0.33454	-5680.9	-89.979
0.35028	-5672.8	-92.908
0.36653	-5682.0	-95.847
0.38330	-5671.9	-98.824
0.40060	-5672.3	-101.85
0.41844	-5666.0	-104.74
0.43683	-5666.8	-107.99
0.45578	-5661.8	-110.97
0.47530	-5665.4	-114.28
0.49539	-5665.2	-117.73
0.51608	-5662.3	-120.92
0.53735	-5663.3	-124.36
0.55924	-5660.9	-127.83
0.58174	-5660.5	-131.33
0.60487	-5652.9	-134.93
0.62863	-5650.3	-138.50
0.65304	-5658.3	-142.27
0.67811	-5657.4	-146.04
0.70384	-5656.4	-149.82
0.73025	-5658.3	-153.69
0.75734	-5657.8	-157.61
0.78513	-5644.8	-161.62
0.81363	-5654.4	-165.65
0.84284	-5646.5	-169.72
0.87278	-5642.8	-173.87
0.90345	-5630.8	-178.03
0.93488	-5647.5	-182.33
0.96705	-5639.0	-186.62
1.0000	-5613.0	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5702.550126880812
