PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5614.6	-0.0012210
2.1544e-07	-5613.4	-0.011085
2.1715e-06	-5612.0	-0.035233
8.3895e-06	-5611.5	-0.076464
2.1888e-05	-5611.7	-0.13683
4.6050e-05	-5608.7	-0.21810
8.4561e-05	-5612.4	-0.32221
0.00014136	-5612.1	-0.44909
0.00022061	-5615.0	-0.60111
0.00032669	-5613.9	-0.77821
0.00046416	-5610.2	-0.98317
0.00063774	-5608.7	-1.2144
0.00085232	-5611.1	-1.4761
0.0011130	-5612.9	-1.7643
0.0014248	-5610.3	-2.0837
0.0017932	-5616.9	-2.4346
0.0022237	-5615.4	-2.8158
0.0027216	-5614.7	-3.2296
0.0032929	-5612.3	-3.6772
0.0039432	-5610.6	-4.1553
0.0046784	-5608.8	-4.6688
0.0055047	-5604.6	-5.2163
0.0064280	-5611.9	-5.7988
0.0074546	-5614.4	-6.4172
0.0085909	-5610.9	-7.0689
0.0098431	-5605.6	-7.7599
0.011218	-5611.7	-8.4893
0.012722	-5614.1	-9.2516
0.014361	-5611.5	-10.054
0.016143	-5614.4	-10.897
0.018075	-5611.7	-11.776
0.020162	-5610.9	-12.697
0.022413	-5606.8	-13.652
0.024834	-5613.1	-14.654
0.027432	-5610.5	-15.695
0.030215	-5611.5	-16.772
0.033190	-5615.0	-17.897
0.036364	-5607.7	-19.060
0.039745	-5611.7	-20.264
0.043339	-5612.7	-21.509
0.047156	-5604.1	-22.803
0.051201	-5609.7	-24.137
0.055484	-5600.7	-25.509
0.060011	-5609.5	-26.933
0.064790	-5606.6	-28.399
0.069830	-5600.5	-29.905
0.075138	-5609.6	-31.464
0.080722	-5596.6	-33.048
0.086591	-5594.1	-34.699
0.092751	-5606.2	-36.390
0.099213	-5600.3	-38.119
0.10598	-5599.4	-39.905
0.11307	-5608.4	-41.743
0.12048	-5609.1	-43.611
0.12823	-5598.1	-45.535
0.13631	-5601.0	-47.511
0.14475	-5599.0	-49.521
0.15355	-5587.5	-51.557
0.16271	-5600.4	-53.696
0.17226	-5597.9	-55.862
0.18218	-5596.0	-58.051
0.19250	-5595.5	-60.322
0.20322	-5593.3	-62.601
0.21436	-5595.4	-64.975
0.22591	-5582.5	-67.338
0.23789	-5580.8	-69.820
0.25031	-5596.9	-72.335
0.26318	-5581.2	-74.778
0.27650	-5592.3	-77.370
0.29029	-5580.0	-80.047
0.30455	-5578.8	-82.810
0.31930	-5578.6	-85.402
0.33454	-5576.9	-88.207
0.35028	-5579.7	-91.021
0.36653	-5576.4	-94.031
0.38330	-5578.0	-96.748
0.40060	-5576.7	-99.745
0.41844	-5577.4	-102.79
0.43683	-5578.6	-105.99
0.45578	-5582.3	-109.32
0.47530	-5579.2	-112.48
0.49539	-5574.9	-115.59
0.51608	-5572.4	-118.83
0.53735	-5570.6	-122.21
0.55924	-5574.5	-125.68
0.58174	-5570.8	-129.14
0.60487	-5574.0	-132.72
0.62863	-5570.6	-136.36
0.65304	-5567.9	-139.96
0.67811	-5572.2	-143.67
0.70384	-5567.4	-147.42
0.73025	-5564.7	-151.22
0.75734	-5558.1	-155.11
0.78513	-5561.9	-159.05
0.81363	-5561.1	-163.05
0.84284	-5560.0	-167.08
0.87278	-5548.0	-171.13
0.90345	-5547.4	-175.30
0.93488	-5533.2	-179.33
0.96705	-5484.6	-183.12
1.0000	-5475.4	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5598.549643012325
