PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5612.3	-0.014693
2.1544e-07	-5622.9	-0.030678
2.1715e-06	-5609.1	-0.057770
8.3895e-06	-5619.8	-0.10206
2.1888e-05	-5614.6	-0.16252
4.6050e-05	-5612.5	-0.24157
8.4561e-05	-5609.3	-0.34826
0.00014136	-5618.2	-0.48001
0.00022061	-5611.8	-0.63188
0.00032669	-5611.0	-0.80472
0.00046416	-5618.1	-1.0168
0.00063774	-5610.0	-1.2453
0.00085232	-5619.9	-1.5107
0.0011130	-5607.1	-1.7946
0.0014248	-5606.1	-2.1183
0.0017932	-5609.4	-2.4687
0.0022237	-5607.1	-2.8544
0.0027216	-5610.0	-3.2672
0.0032929	-5619.1	-3.7154
0.0039432	-5606.8	-4.1941
0.0046784	-5609.6	-4.7110
0.0055047	-5612.5	-5.2579
0.0064280	-5607.9	-5.8440
0.0074546	-5610.2	-6.4628
0.0085909	-5610.9	-7.1201
0.0098431	-5605.7	-7.8057
0.011218	-5606.0	-8.5357
0.012722	-5598.5	-9.3016
0.014361	-5614.4	-10.107
0.016143	-5612.1	-10.950
0.018075	-5603.4	-11.825
0.020162	-5608.1	-12.752
0.022413	-5602.7	-13.710
0.024834	-5605.4	-14.701
0.027432	-5598.6	-15.742
0.030215	-5605.2	-16.821
0.033190	-5595.9	-17.935
0.036364	-5597.9	-19.104
0.039745	-5601.9	-20.299
0.043339	-5600.8	-21.549
0.047156	-5604.5	-22.836
0.051201	-5608.4	-24.169
0.055484	-5599.2	-25.546
0.060011	-5607.9	-26.961
0.064790	-5605.3	-28.425
0.069830	-5587.0	-29.930
0.075138	-5598.4	-31.464
0.080722	-5597.5	-33.066
0.086591	-5595.7	-34.704
0.092751	-5591.2	-36.398
0.099213	-5600.5	-38.112
0.10598	-5593.2	-39.896
0.11307	-5598.6	-41.715
0.12048	-5592.0	-43.581
0.12823	-5592.3	-45.476
0.13631	-5593.4	-47.462
0.14475	-5594.1	-49.481
0.15355	-5592.0	-51.532
0.16271	-5587.8	-53.627
0.17226	-5593.9	-55.795
0.18218	-5586.6	-57.979
0.19250	-5586.4	-60.232
0.20322	-5587.8	-62.512
0.21436	-5582.1	-64.829
0.22591	-5585.1	-67.250
0.23789	-5586.4	-69.725
0.25031	-5574.5	-72.153
0.26318	-5586.6	-74.771
0.27650	-5579.9	-77.266
0.29029	-5578.8	-79.902
0.30455	-5586.6	-82.731
0.31930	-5578.1	-85.304
0.33454	-5581.5	-88.170
0.35028	-5579.6	-90.944
0.36653	-5581.7	-93.874
0.38330	-5579.5	-96.811
0.40060	-5580.2	-99.864
0.41844	-5578.3	-102.93
0.43683	-5577.2	-105.97
0.45578	-5575.1	-109.14
0.47530	-5573.3	-112.34
0.49539	-5569.3	-115.65
0.51608	-5572.6	-118.93
0.53735	-5571.9	-122.31
0.55924	-5570.3	-125.77
0.58174	-5571.1	-129.24
0.60487	-5574.7	-132.80
0.62863	-5572.1	-136.39
0.65304	-5571.2	-140.08
0.67811	-5568.6	-143.70
0.70384	-5563.1	-147.42
0.73025	-5569.8	-151.31
0.75734	-5544.2	-155.11
0.78513	-5561.2	-159.11
0.81363	-5539.1	-163.05
0.84284	-5557.2	-167.08
0.87278	-5543.7	-171.10
0.90345	-5546.7	-175.28
0.93488	-5515.9	-179.35
0.96705	-5433.7	-183.00
1.0000	7.7332e+47	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5599.142604181181
