PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5594.5	-0.0063498
2.1544e-07	-5591.3	-0.023861
2.1715e-06	-5597.7	-0.053886
8.3895e-06	-5593.5	-0.094142
2.1888e-05	-5595.0	-0.15422
4.6050e-05	-5595.7	-0.24308
8.4561e-05	-5584.2	-0.34357
0.00014136	-5598.0	-0.47182
0.00022061	-5596.2	-0.62905
0.00032669	-5599.7	-0.79808
0.00046416	-5592.9	-1.0040
0.00063774	-5596.3	-1.2379
0.00085232	-5593.3	-1.4985
0.0011130	-5593.4	-1.7859
0.0014248	-5592.5	-2.1022
0.0017932	-5592.5	-2.4516
0.0022237	-5589.0	-2.8361
0.0027216	-5596.3	-3.2498
0.0032929	-5589.5	-3.6951
0.0039432	-5590.2	-4.1754
0.0046784	-5596.0	-4.6868
0.0055047	-5588.0	-5.2337
0.0064280	-5592.6	-5.8159
0.0074546	-5586.3	-6.4289
0.0085909	-5585.3	-7.0843
0.0098431	-5583.4	-7.7680
0.011218	-5581.1	-8.4956
0.012722	-5585.4	-9.2637
0.014361	-5594.9	-10.057
0.016143	-5588.3	-10.897
0.018075	-5583.8	-11.776
0.020162	-5591.8	-12.690
0.022413	-5580.6	-13.650
0.024834	-5579.3	-14.638
0.027432	-5588.4	-15.680
0.030215	-5585.0	-16.750
0.033190	-5578.8	-17.865
0.036364	-5582.8	-19.034
0.039745	-5580.4	-20.222
0.043339	-5576.6	-21.472
0.047156	-5583.1	-22.752
0.051201	-5576.6	-24.074
0.055484	-5589.0	-25.445
0.060011	-5587.4	-26.860
0.064790	-5578.3	-28.309
0.069830	-5575.3	-29.816
0.075138	-5579.4	-31.355
0.080722	-5578.4	-32.948
0.086591	-5581.4	-34.593
0.092751	-5574.5	-36.260
0.099213	-5574.0	-37.985
0.10598	-5580.5	-39.767
0.11307	-5579.2	-41.570
0.12048	-5576.3	-43.437
0.12823	-5575.7	-45.343
0.13631	-5573.0	-47.298
0.14475	-5571.6	-49.324
0.15355	-5577.4	-51.380
0.16271	-5574.6	-53.473
0.17226	-5571.0	-55.568
0.18218	-5574.7	-57.802
0.19250	-5571.6	-60.030
0.20322	-5574.0	-62.372
0.21436	-5570.0	-64.690
0.22591	-5569.4	-67.061
0.23789	-5567.6	-69.491
0.25031	-5569.0	-71.977
0.26318	-5570.4	-74.495
0.27650	-5570.1	-77.027
0.29029	-5570.5	-79.708
0.30455	-5569.1	-82.413
0.31930	-5562.7	-85.107
0.33454	-5569.5	-87.940
0.35028	-5568.7	-90.757
0.36653	-5565.5	-93.601
0.38330	-5561.5	-96.545
0.40060	-5566.8	-99.542
0.41844	-5563.1	-102.59
0.43683	-5566.0	-105.73
0.45578	-5565.5	-108.96
0.47530	-5562.2	-112.07
0.49539	-5563.4	-115.36
0.51608	-5565.9	-118.66
0.53735	-5559.9	-122.05
0.55924	-5560.4	-125.42
0.58174	-5547.4	-128.95
0.60487	-5558.8	-132.48
0.62863	-5547.0	-136.08
0.65304	-5560.6	-139.72
0.67811	-5558.8	-143.44
0.70384	-5559.4	-147.18
0.73025	-5552.8	-150.93
0.75734	-5551.0	-154.83
0.78513	-5547.0	-158.77
0.81363	-5544.7	-162.70
0.84284	-5535.5	-166.74
0.87278	-5518.8	-170.74
0.90345	-5529.2	-174.90
0.93488	-5521.1	-178.85
0.96705	-5463.5	-182.92
1.0000	3.1790e+42	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5584.58015121345
