PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5734.5	-0.0019407
2.1544e-07	-5749.8	-0.012827
2.1715e-06	-5741.9	-0.043356
8.3895e-06	-5732.8	-0.087325
2.1888e-05	-5736.3	-0.15009
4.6050e-05	-5738.0	-0.23464
8.4561e-05	-5742.8	-0.34594
0.00014136	-5746.2	-0.47642
0.00022061	-5722.0	-0.64018
0.00032669	-5746.2	-0.81990
0.00046416	-5732.8	-1.0292
0.00063774	-5728.8	-1.2670
0.00085232	-5746.4	-1.5402
0.0011130	-5745.7	-1.8381
0.0014248	-5744.6	-2.1648
0.0017932	-5752.5	-2.5281
0.0022237	-5748.6	-2.9169
0.0027216	-5735.1	-3.3455
0.0032929	-5744.2	-3.8044
0.0039432	-5730.3	-4.2986
0.0046784	-5740.2	-4.8289
0.0055047	-5735.6	-5.3935
0.0064280	-5747.6	-5.9974
0.0074546	-5734.6	-6.6292
0.0085909	-5733.9	-7.3007
0.0098431	-5741.5	-8.0129
0.011218	-5741.1	-8.7635
0.012722	-5733.0	-9.5467
0.014361	-5720.7	-10.365
0.016143	-5737.0	-11.232
0.018075	-5730.2	-12.138
0.020162	-5728.7	-13.073
0.022413	-5732.2	-14.054
0.024834	-5723.5	-15.081
0.027432	-5729.4	-16.139
0.030215	-5713.3	-17.245
0.033190	-5729.4	-18.393
0.036364	-5722.7	-19.578
0.039745	-5725.7	-20.806
0.043339	-5719.1	-22.093
0.047156	-5726.6	-23.404
0.051201	-5719.7	-24.756
0.055484	-5710.9	-26.153
0.060011	-5714.9	-27.611
0.064790	-5714.1	-29.090
0.069830	-5713.2	-30.633
0.075138	-5713.3	-32.212
0.080722	-5708.7	-33.837
0.086591	-5710.8	-35.514
0.092751	-5711.0	-37.223
0.099213	-5706.8	-38.983
0.10598	-5702.2	-40.790
0.11307	-5711.1	-42.643
0.12048	-5706.1	-44.554
0.12823	-5702.2	-46.494
0.13631	-5684.6	-48.489
0.14475	-5704.5	-50.536
0.15355	-5687.6	-52.601
0.16271	-5697.2	-54.733
0.17226	-5686.8	-56.954
0.18218	-5687.0	-59.177
0.19250	-5681.7	-61.392
0.20322	-5685.8	-63.749
0.21436	-5688.6	-66.158
0.22591	-5686.0	-68.602
0.23789	-5675.2	-70.997
0.25031	-5671.8	-73.559
0.26318	-5670.3	-76.094
0.27650	-5670.9	-78.751
0.29029	-5667.7	-81.444
0.30455	-5669.4	-84.091
0.31930	-5651.0	-86.714
0.33454	-5638.8	-89.535
0.35028	-5658.8	-92.563
0.36653	-5653.8	-95.446
0.38330	-5647.4	-98.328
0.40060	-5652.1	-101.30
0.41844	-5640.0	-104.33
0.43683	-5639.0	-107.27
0.45578	-5641.3	-110.47
0.47530	-5635.1	-113.64
0.49539	-5633.7	-117.06
0.51608	-5636.0	-120.30
0.53735	-5632.0	-123.70
0.55924	-5630.0	-127.14
0.58174	-5631.7	-130.68
0.60487	-5627.3	-134.20
0.62863	-5623.5	-137.74
0.65304	-5625.7	-141.50
0.67811	-5623.9	-145.32
0.70384	-5627.8	-149.05
0.73025	-5623.4	-152.86
0.75734	-5614.9	-156.74
0.78513	-5613.3	-160.72
0.81363	-5613.2	-164.77
0.84284	-5596.0	-168.77
0.87278	-5605.2	-172.93
0.90345	-5588.6	-176.94
0.93488	-5579.5	-181.27
0.96705	-5576.6	-185.47
1.0000	1.3856e+08	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5682.223400256281
