PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5811.3	-0.0035765
2.1544e-07	-5829.7	-0.014200
2.1715e-06	-5827.6	-0.043109
8.3895e-06	-5822.2	-0.087512
2.1888e-05	-5816.9	-0.15373
4.6050e-05	-5829.8	-0.23871
8.4561e-05	-5828.2	-0.35057
0.00014136	-5817.4	-0.48267
0.00022061	-5819.6	-0.64543
0.00032669	-5822.1	-0.83376
0.00046416	-5826.7	-1.0468
0.00063774	-5818.2	-1.2939
0.00085232	-5830.8	-1.5665
0.0011130	-5817.6	-1.8741
0.0014248	-5805.5	-2.2090
0.0017932	-5815.6	-2.5751
0.0022237	-5821.4	-2.9710
0.0027216	-5821.9	-3.4075
0.0032929	-5807.2	-3.8758
0.0039432	-5817.6	-4.3795
0.0046784	-5807.8	-4.9261
0.0055047	-5826.5	-5.4891
0.0064280	-5809.0	-6.1046
0.0074546	-5815.7	-6.7295
0.0085909	-5812.3	-7.4194
0.0098431	-5815.1	-8.1434
0.011218	-5803.3	-8.8838
0.012722	-5814.0	-9.6986
0.014361	-5809.2	-10.528
0.016143	-5809.5	-11.406
0.018075	-5812.1	-12.322
0.020162	-5799.4	-13.254
0.022413	-5811.3	-14.296
0.024834	-5811.7	-15.290
0.027432	-5799.5	-16.374
0.030215	-5795.5	-17.483
0.033190	-5806.7	-18.656
0.036364	-5800.3	-19.835
0.039745	-5796.6	-21.091
0.043339	-5800.8	-22.364
0.047156	-5798.6	-23.694
0.051201	-5786.6	-25.078
0.055484	-5789.7	-26.508
0.060011	-5793.7	-27.968
0.064790	-5791.0	-29.463
0.069830	-5787.7	-31.021
0.075138	-5790.5	-32.633
0.080722	-5781.8	-34.266
0.086591	-5787.9	-35.969
0.092751	-5777.3	-37.690
0.099213	-5777.4	-39.470
0.10598	-5773.0	-41.299
0.11307	-5774.9	-43.169
0.12048	-5759.8	-45.104
0.12823	-5777.7	-47.062
0.13631	-5773.7	-49.081
0.14475	-5762.5	-51.154
0.15355	-5762.0	-53.272
0.16271	-5757.7	-55.441
0.17226	-5759.4	-57.652
0.18218	-5762.9	-59.931
0.19250	-5742.5	-62.217
0.20322	-5758.1	-64.577
0.21436	-5748.8	-67.007
0.22591	-5745.6	-69.429
0.23789	-5743.4	-71.925
0.25031	-5751.9	-74.516
0.26318	-5741.4	-77.069
0.27650	-5722.6	-79.622
0.29029	-5718.4	-82.317
0.30455	-5731.7	-85.098
0.31930	-5708.1	-87.785
0.33454	-5694.5	-90.575
0.35028	-5710.9	-93.527
0.36653	-5695.3	-96.202
0.38330	-5693.6	-99.226
0.40060	-5672.4	-102.07
0.41844	-5680.3	-105.29
0.43683	-5674.4	-108.42
0.45578	-5666.6	-111.25
0.47530	-5663.3	-114.43
0.49539	-5643.2	-117.41
0.51608	-5632.0	-120.72
0.53735	-5644.1	-124.19
0.55924	-5633.4	-127.51
0.58174	-5636.9	-131.05
0.60487	-5629.3	-134.50
0.62863	-5631.5	-138.02
0.65304	-5631.2	-141.79
0.67811	-5630.8	-145.42
0.70384	-5629.4	-149.19
0.73025	-5618.3	-152.99
0.75734	-5629.4	-156.95
0.78513	-5626.3	-160.89
0.81363	-5606.1	-164.83
0.84284	-5619.5	-168.93
0.87278	-5612.2	-173.09
0.90345	-5594.2	-177.23
0.93488	-5580.5	-181.34
0.96705	-5549.9	-185.28
1.0000	1.7331e+13	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5719.1208060866375
