PathParameter	MaxPathLikelihood	MLContribution
0.0000	-5648.8	-0.0034667
2.1544e-07	-5653.4	-0.018480
2.1715e-06	-5657.1	-0.043638
8.3895e-06	-5656.4	-0.088098
2.1888e-05	-5652.1	-0.15072
4.6050e-05	-5659.7	-0.23679
8.4561e-05	-5656.4	-0.34897
0.00014136	-5655.1	-0.47109
0.00022061	-5659.2	-0.62574
0.00032669	-5662.8	-0.80819
0.00046416	-5660.4	-1.0118
0.00063774	-5666.4	-1.2513
0.00085232	-5651.7	-1.5126
0.0011130	-5653.7	-1.8059
0.0014248	-5660.4	-2.1294
0.0017932	-5647.6	-2.4816
0.0022237	-5652.4	-2.8706
0.0027216	-5653.2	-3.2894
0.0032929	-5652.7	-3.7388
0.0039432	-5656.5	-4.2245
0.0046784	-5643.9	-4.7415
0.0055047	-5644.0	-5.2941
0.0064280	-5652.5	-5.8870
0.0074546	-5651.5	-6.5102
0.0085909	-5649.3	-7.1696
0.0098431	-5649.4	-7.8709
0.011218	-5647.5	-8.6065
0.012722	-5653.5	-9.3702
0.014361	-5644.5	-10.186
0.016143	-5648.0	-11.033
0.018075	-5650.4	-11.924
0.020162	-5647.9	-12.846
0.022413	-5651.2	-13.820
0.024834	-5649.3	-14.829
0.027432	-5645.2	-15.877
0.030215	-5643.4	-16.958
0.033190	-5627.0	-18.087
0.036364	-5641.6	-19.259
0.039745	-5643.3	-20.473
0.043339	-5646.3	-21.730
0.047156	-5639.9	-23.027
0.051201	-5636.9	-24.375
0.055484	-5639.2	-25.754
0.060011	-5642.9	-27.185
0.064790	-5637.8	-28.657
0.069830	-5643.8	-30.173
0.075138	-5638.5	-31.742
0.080722	-5638.8	-33.345
0.086591	-5636.7	-34.982
0.092751	-5627.0	-36.681
0.099213	-5625.5	-38.430
0.10598	-5619.8	-40.201
0.11307	-5630.4	-42.050
0.12048	-5633.7	-43.935
0.12823	-5629.6	-45.869
0.13631	-5628.4	-47.827
0.14475	-5624.3	-49.844
0.15355	-5624.4	-51.927
0.16271	-5622.6	-54.033
0.17226	-5619.2	-56.203
0.18218	-5618.5	-58.399
0.19250	-5619.1	-60.622
0.20322	-5616.1	-62.975
0.21436	-5612.8	-65.303
0.22591	-5616.9	-67.737
0.23789	-5597.7	-70.138
0.25031	-5614.1	-72.664
0.26318	-5607.1	-75.127
0.27650	-5597.7	-77.727
0.29029	-5600.4	-80.425
0.30455	-5596.2	-83.093
0.31930	-5597.9	-85.756
0.33454	-5598.1	-88.663
0.35028	-5597.7	-91.390
0.36653	-5594.7	-94.331
0.38330	-5594.9	-97.171
0.40060	-5593.3	-100.24
0.41844	-5593.9	-103.29
0.43683	-5591.8	-106.37
0.45578	-5585.7	-109.41
0.47530	-5592.0	-112.80
0.49539	-5588.2	-115.98
0.51608	-5588.5	-119.23
0.53735	-5585.6	-122.70
0.55924	-5588.2	-126.16
0.58174	-5586.5	-129.64
0.60487	-5580.6	-133.10
0.62863	-5583.8	-136.72
0.65304	-5581.4	-140.34
0.67811	-5583.9	-144.04
0.70384	-5580.7	-147.78
0.73025	-5574.2	-151.59
0.75734	-5574.8	-155.58
0.78513	-5581.3	-159.50
0.81363	-5562.1	-163.41
0.84284	-5565.3	-167.51
0.87278	-5557.7	-171.46
0.90345	-5529.9	-175.59
0.93488	-5546.4	-179.78
0.96705	-5479.9	-183.99
1.0000	1.1929e+37	

log marginal likelihood (using generalized stepping stone sampling) from (pathLikelihood.source - pathLikelihood.destination) = -5623.555456979599
